,_id,NOME_DA_CACHAÇA,PREÇO,VOLUME,ANÁLISE_DO_CACHACIER,DESCRIÇÃO_DA_CACHAÇA,HISTÓRIA_DO_ALAMBIQUE,LOCAL_DE_PRODUÇÃO,RECIPIENTE_DE_ARMAZENAMENTO,TEMPO_DE_ARMAZENAMENTO,GRADUAÇÃO_ALCOÓLICA,PREMIOS,DATA_COLETA,LINK
0,60df74848882c8982eaecd31,Cachaça Costa Rica Carvalho 670ml,"R$ 55,00",670ml,"Cachaça levemente amadeirada, mas com o sabor e predominância do carvalho francês, podendo ser degustada pura ou em drinks mais elaborados. Equilíbrio perfeito entre o amadeirado e o frutado.","A Cachaça Costa Rica Carvalho 670ml é armazenada por um ano em barris de carvalho. Leve, possui graduação alcoólica de 40%. Apresenta o equilíbrio perfeito entre o amadeirado e o frutado, originando uma bebida suave com sabor marcante.
","A Cachaça Costa Rica é produzida em Guarani, Minas Gerais. O alambique foi projetado e concebido para produzir de forma sustentável, preservando as tradições seculares de fabricação da cachaça mineira de qualidade. Mesmo assim, não abre mão do que existe de mais moderno e eficiente em boas práticas de fabricação e segurança dos alimentos, resultando em um produto sem igual e sem comparação. No Alambique Guarani, o que faz a diferença na bebida é o carinho com que é produzida. O esmero no controle de todas as fases da produção coloca a cachaça entre os melhores destilados do mundo.
",Guarani - MG,Carvalho,1 ano,40%,,25/6/2021 - 19:25:58,https://www.cachacarianacional.com.br/cachaca-costa-rica-carvalho-670ml-01717/p
1,60df74848882c8982eaecd32,Cachaça Do Chefe Extra Premium 750ml,"R$ 139,70",750ml,"De cor amarelo-palha, possui uma mescla de aromas adocicados, amadeirados, frutados e de especiarias. No paladar, traz um gosto doce. Além disso, causa uma sensação aveludada e licorosa na boca. Retrogosto agradável e forte.","Em meados da década de 1940, Don Corleone dominava Nova York com a família italiana de maior prestígio. O que poucos sabem é que, no Brasil, também existia uma família com um poderoso chefão, Don Toni Paolinelli, e que ambos se conheciam e trocavam cartas e mercadorias.

A operação do Brasil era bem sucedida e o principal produto era a cachaça. Don Corleone, no entanto, não conhecia o produto e sempre se perguntava como essa bebida que não existia nos Estados Unidos fazia tanto sucesso.

Então, Don Toni Paolinelli decidiu produzir uma reserva especial para presentear o líder que tanto admirava, criando uma bebida exclusiva e a chamou de “Cachaça Do Chefe”. Ele enviou a garrafa feita especialmente para Don Corleone, com detalhes impecáveis, em um kit com um Charuto Nacional Dannemann de qualidade, que harmoniza perfeitamente com a bebida, e uma taça personalizada para a degustação do destilado brasileiro.

A bebida envelheceu por três anos em barris de carvalho francês antes de ser envasada e, para finalizar, Don Toni Paolinelli adicionou um toque de cachaças armazenadas em tonéis de amburana, madeira nativa do Brasil.

Ao receber o presente nos EUA, Don Corleone ficou extasiado. Ele jamais havia provado algo tão bom em toda a sua vida, dizia ele, e queria imediatamente um carregamento daquela bebida que conquistaria o mundo.

Em resposta, Don Toni Paolinelli disse não ter como enviar a carga, pois a cachaça era feita em pequena escala, numerada em lotes únicos, e que, de fato, só era fabricada para pessoas realmente especiais.

Mas Corleone não gostou nada do que leu e, após algumas trocas de cartas e desentendimentos sobre o assunto, Don Toni Paolinelli desapareceu e nunca mais soube-se do seu paradeiro. Os pequenos lotes de cachaça que foram produzidos ficaram escondidos em porões nas propriedades da família, e foram descobertos décadas depois, em 2018.
","A Cachaça Do Chefe Extra Premium 750ml é produzida no Alambique do Engenho da Cana, em Ouro Branco, Minas Gerais. Convidamos Rafael Araújo, co-fundador da Cachaçaria Nacional, a maior loja online de cachaças artesanais do Brasil, para participar da composição do blend da nossa cachaça. Produzimos uma bebida tipicamente mineira, com uma pegada de carvalho bem valorizada. O corpo da Cachaça do Chefe é composto por destilados envelhecidos até três anos em barris de carvalho francês novos de primeiro uso e alguns carvalhos mais antigos, com um toque de amburana.

Possui uma coloração amarelo palha, puxando para o dourado. É uma cachaça que passa por inúmeros processos de controle de qualidade, desde seu plantio até o engarrafamento. Toda cana-de-açúcar é processada para extrair a garapa em até 48 horas após o corte, que é feito de forma totalmente manual e sem queimadas. A bebida passa por filtros de carvão ativado, que são regularmente trocados.

O resultado é uma bebida encorpada, límpida, cristalina e translúcida. O glicerol interage com a taça de forma harmoniosa e escorre lentamente, convidando para degustação. O bouquet originado do carvalho francês é adocicado, frutado, com notas de frutas secas, sendo ressaltado o aroma de ameixa. Pelo fato de os barris possuírem tostas internas, a pegada de carvalho se torna bastante intensa.

A Cachaça Do Chefe é bem complexa e possui nuances de castanhas, café e notas de especiarias. Na boca, o gosto é predominantemente doce, onde prevalece o amadeirado acentuado. Com sensações aveludadas e licorosas bem interessantes, é levemente picante devido ao envelhecimento em barris novos. Com retrogosto forte e persistente, relembra a castanha e o café. O amadeirado peculiar do carvalho francês de primeiro uso convida para o próximo gole.
",Ouro Branco - MG,Carvalho Francês e 5% Amburana,3 anos,40%,"2020 - Medalha de Ouro ExpoCachaça
",25/6/2021 - 19:26:5,https://www.cachacarianacional.com.br/cachaca-do-chefe-extra-premium-750ml-00449/p
2,60df74848882c8982eaecd33,Cachaça Legítima de Minas Três Madeiras 700ml,"R$ 59,00",700ml,"De cor amarelo-palha, possui uma mescla de aromas frutados, amadeirados, de baunilha e especiarias. No paladar, traz um gosto predominantemente doce. Além disso, causa uma sensação aveludada e licorosa na boca. Retrogosto moderado e marcante.","A Cachaça Legítima de Minas Três Madeiras 700ml é envelhecida por três anos em dornas de carvalho, bálsamo e amburana. Os barris maduros conferem aromas frutados e de especiarias. Com graduação alcoólica de 39%, destaca-se no paladar um adocicado na medida certa, sensação aveludada e licorosa. Retrogosto com persistência moderada remetendo à especiarias e convidando ao próximo gole.
","Produzida em Itaverava, Minas Gerais, no Alambique Taverna de Minas, a Cachaça Legítima de Minas é um reflexo da essência mineira deixada pelos tropeiros na Estrada Real.

Quem é mineiro se orgulha da tradição que o estado tem e a sua importância no crescimento e desenvolvimento do país. Mas quem é de fora também sabe do legado que Minas Gerais carrega na produção das melhores Cachaças Artesanais do Brasil desde o século XIV.
",Itaverava - MG,"Carvalho, Bálsamo e Amburana",3 anos,39%,,25/6/2021 - 19:26:13,https://www.cachacarianacional.com.br/cachaca-legitima-de-minas-tres-madeiras-700ml-01902/p
3,60df74848882c8982eaecd34,Cachaça Famosinha de Minas 600ml,"R$ 29,90",600ml,"De cor amarelo-palha, possui uma mescla de aromas frutado e de cana-de-açúcar, com notas de amêndoas. No paladar, traz um gosto predominantemente doce. Além disso, causa uma sensação aveludada na boca. Retrogosto agradável e leve.","A Cachaça Famosinha De Minas 600ml faz jus ao nome que recebeu. Premiada nacional e internacionalmente, é uma das bebidas mais vendidas do Brasil e proporciona aos apreciadores um produto de altíssima qualidade com um preço acessível. Envelhecida por um ano em barris de amburana, possui graduação alcoólica de 42%.

Produzida no Engenho Buriti há mais de 20 anos, surgiu a partir da ideia de Thales Paiva criar uma marca que seria famosa em Minas. Assim, o produtor da Famosinha decidiu que gostaria de homenagear a mãe, a pessoa mais famosa de sua vida. A partir daí, criou o rótulo da cachaça com a foto da mãe no dia do casamento.

A Cachaça Famosinha de Minas 600ml é ideal para ser degustada como aperitivo, pura ou como acompanhamento para sobremesas. Harmoniza com cervejas lager ou em cocktails elaborados.
","O Engenho Buriti está localizado em Papagaios, na região Centro-Oeste de Minas Gerais, e surgiu a partir do sonho do Sr. Eros Vieira de produzir uma cachaça de qualidade, mas mantendo a tradição da fabricação do produto. Apesar de manter as práticas tradicionais da destilação, os produtores conseguem conciliar a qualidade com o uso de técnicas modernas.
",Papagaios - MG,Amburana,1 ano,42%,"2016 - Medalha de Prata no Concurso Mundial de Bruxelas
2015 - Medalha de Prata no Concurso Mundial de Bruxelas
2014 - Medalha de Duplo Ouro no Concurso Mundial de Bruxelas
2014 - Medalha de Prata no ExpoCachaça
2013 - Medalha de Ouro no Concurso Mundial de Bruxelas
2013 - Medalha de Ouro no ExpoCachaça
2013 - Medalha de Prata no Cachaça Gourmet
",25/6/2021 - 19:26:26,https://www.cachacarianacional.com.br/cachaca-famosinha-de-minas-600ml-00559/p
4,60df74848882c8982eaecd35,Cachaça Cabaré Extra Premium 15 Anos 700ml,"R$ 348,90",700ml,,"Em 2014, o cantor sertanejo Leonardo lançou o CD e DVD Cabaré. Com o sucesso do disco, surgiu a Cachaça Cabaré Extra Premium 15 Anos 700ml, uma cachaça armazenada por 15 anos em barris de carvalho, com graduação alcoólica de 38%. O destilado é uma parceria do músico com o engenho Dom Tápparo, de Mirassol, São Paulo.
","A Cachaça Cabaré surgiu por iniciativa do Sr. José Tápparo, que em 1978 resolveu produzir cachaça para consumo próprio e presentear os amigos. A bebida fez tanto sucesso que apreciadores começaram a querer comprá-la. Foi então que ele viu nessa atividade uma oportunidade de negócio.

Com o passar dos anos, e a entrada dos filhos Ademílson e Carlos na empresa, o engenho cresceu e passou a produzir vários tipos de cachaças, coquetéis alcoólicos e licores. Hoje, a empresa conta com a colaboração da terceira geração da família Tápparo: Bruno, Giovanni, Breno, Marcus, Fernando e Carla.

Toda a produção da cachaça acontece na propriedade da família, desde o plantio da cana-de-açúcar até a moagem e a destilação. O envelhecimento é feito em barris de carvalho europeu e americano, além de outras madeiras, como amburana e amendoim.
",Mirassol - SP,Carvalho,15 anos,38%,"2018 - Medalha de Ouro no Concurso Mundial de Bruxelas Edição Brasil
2017 - Medalha de Ouro no ExpoCachaça
2017 - Medalha de Prata no Concurso Mundial de Bruxelas Edição Brasil
2016 - Medalha de Ouro no ExpoCachaça
2016 - Medalha de Prata no Concurso Mundial de Bruxels Edição Brasil
",25/6/2021 - 19:26:33,https://www.cachacarianacional.com.br/cachaca-cabare-extra-premium-15-anos-700ml-00309/p
5,60df74858882c8982eaecd36,Cachaça Blend Nordestino 750ml,"R$ 163,00",750ml,,"A Cachaça Blend Nordestino 750ml é uma edição especial, onde apenas mil garrafas foram produzidas. A bebida é a união de destilados feito por cinco dos melhores alambiques do Nordeste. Dois produtores da Paraíba (Nobre e Gregório), um de Pernambuco (Sanhaçu), um da Bahia (Matriarca) e outro de Alagoas (Gogó da Ema) se uniram e criaram o blend de cachaças brancas. Robusta, possui graduação alcoólica de 45,8%.
","A Cachaçaria Nacional é a maior loja de Cachaças On-line do Mundo e foi fundada em 25 de janeiro de 2010. Idealizada por Rafael Araújo e Marcos Paolinelli, tem o objetivo de difundir e democratizar o consumo da Cachaça, a bebida mais genuinamente brasileira.

A CN oferece mais de 2000 rótulos de Cachaças Artesanais de alambiques das principais regiões produtoras do Brasil. Também comercializa dornas, barris, acessórios para degustação e produtos gourmet, como queijos, mostardas e pururuca de pequenos produtores de Minas Gerais, além de licores, gins e bebidas mistas à base de cachaça.
",São Sebastião - AL,,,"45,8%",,25/6/2021 - 19:26:40,https://www.cachacarianacional.com.br/cachaca-blend-nordestino-750ml-041696/p
6,60df74858882c8982eaecd37,Cachaça Weber Haus Rota 48 Pura 1000ml,"R$ 70,00",1000ml,"Transparente, possui aroma de cana-de-açúcar. No paladar, traz um doce. Além disso, causa uma sensação aveludada, licorosa e levemente picante na boca. Retrogosto agradável, leve e marcante.","A Cachaça Weber Haus Rota 48 Pura 1000ml é uma homenagem da destilaria Weber Haus à Rota 48, um trajeto muito utilizado por tropeiros no século XIX, construída por imigrantes alemães que povoaram a cidade de Ivoti, no Rio Grande do Sul, e finalizada com recursos de Dom Pedro II, devido a sua importância comercial.

Parte da rota ficou conhecida como a “Ponte do Imperador” e contava com hospedarias para os viajantes, ferrarias, comércio de charque e, inclusive, de cachaça. Ponto turístico da região, hoje a Rota 48 faz parte da “Rota Romântica” e é o principal acesso à Weber Haus.

A Cachaça Weber Haus Rota 48 Pura é armazenada por seis meses em tonéis de inox. Robusta, é uma bebida que possui graduação alcoólica de 48%.
","A Weber Haus é administrada por Evandro Weber, descendente de alemães de Ivoti, encosta da Serra Gaúcha, interior do Rio Grande do Sul. Quando chegaram da Alemanha, seus bisavós adquiriram terras na cidade, onde plantavam mandioca e cana-de-açúcar e produziam farinha. A família deu início à fabricação de cachaça em 1848 para consumo próprio.

O alambique foi construído em 1948, e consistia em um galpão com um engenho no meio movimentado por quatro mulas. Com o tempo, foram modernizando a produção. O negócio acabou passando de pais para filhos. Foi esta união de familiares que contribuiu para a longevidade do empreendimento.

O processo manual, desde a escolha do tipo correto de cana-de-açúcar, que se adaptou ao solo da região, até o corte manual, assim como o tratamento ecologicamente correto dado ao canavial, trouxe excelência na fabricação da cachaça.

A agroindústria Weber Haus conta com mais de 35 premiações nacionais e internacionais e é a cachaça mais premiada do Brasil. Possui duas certificações importantes: orgânica e rastreabilidade concedidas pelo Inmetro, sendo umas das primeiras a receber o selo da agricultura familiar do Brasil.

Os produtos produzidos pela agroindústria Weber Haus vão além da cachaça. Possuem também licores, sucos de uva e açúcar mascavo, dentre outros.

",Ivoti - RS,Inox,,48%,,25/6/2021 - 19:26:46,https://www.cachacarianacional.com.br/cachaca-weber-haus-rota-48-pura-1000ml-01925/p
7,60df74858882c8982eaecd38,Cachaça Senta a Púa Extra Premium 750ml,"R$ 299,00",750ml,,"A Cachaça Senta a Púa Extra Premium 750ml é produzida através de um blend. Envelhecida por três anos em barris de amburana, madeira tipicamente brasileira, e carvalho francês, possui graduação alcoólica de 40%.

De cor amarelada e paladar inconfundível, o aroma é marcante e o sabor adocicado e frutado, associado a baunilha e ameixa. Além disso, remete ao sabor da cana-de-açúcar fresca. Ideal para pessoas de fino paladar. Acompanha uma caixa personalizada.

Segundo Austregésilo de Athayde, “Senta a Pua!” significa lançar-se sobre o inimigo com decisão, golpe de vista e vontade de aniquilá-lo. “Quem vai sentar a pua não tergiversa. Arremete de ferro em brasa e verruma o bruto”.

O “Senta a Pua!” passou a fazer parte do palavreado obrigatório do 1° Grupo de Caça. E o “Senta a Pua!” viajou. Deixou o Panamá indo para os Estados Unidos, onde o grupo “sentava a pua” nos nights clubs, no P-47. Partiu para a Itália, transformando-se no grito de guerra do grupo, simbolizado pelo avestruz guerreiro.

E o “Senta a Pua!” foi ganhando corpo, ganhando força. De repente ninguém mais dizia uma frase sem um “Senta a Pua!” como complemento. Nasceu, assim, com naturalidade, o grito de guerra dos Jambocks do 1° Grupo de Caça.
","Instituiu-se o 1° Grupo de Aviação de Caça em 18 de dezembro de 1943. Criada a Unidade e nomeado o seu Comandante, o então Major Nero Moura, foi aberto o voluntariado na FAB para a constituição do pessoal que iria em breve desagravar a honra da pátria nos céus da Itália.

Nero Moura recrutou 32 homens que com ele embarcaram, em 3 de janeiro de 1944, para a Escola de Tática, em Orlando, nos Estados Unidos, enquanto os outros seguiram por via aérea para Albrook Field, Panamá, onde aguardaram o Comandante e seus homens-chave.

Com a chegada de Nero Moura, todos foram para a Base Aérea de Aguadulce, equipada com aviões de caça P-40, ali iniciando o treinamento da unidade. Em 11 de maio, o grupo passou a operar de forma independente, participando do esquema da defesa do Canal do Panamá, com cerca de cem saídas em missões de interceptação.

Ao final do curso, deixaram Aguadulce em 22 de junho, por via terrestre, até Albrook, embarcando, em 27 de junho, às 12 horas, em navio de transporte americano que, após atravessar as comportas do Canal do Panamá, os levou ao porto de Nova York, onde desembarcaram em dia 4 de julho. Dali, seguiram em barcaças, subindo o rio Hudson até Camp Shank, no estado de Nova York, permanecendo 48 horas naquele local, em quarentena.

Na manhã do dia 16, um trem vagaroso e desconfortável levou-os a Suffolk, Long Island, quando, finalmente, terminaram a longa viagem. Por lá, foram apresentados ao P-47 – Thunderbolt, então moderníssimo avião de caça da USAF, que marcou época nos Teatros de Operações do Pacífico e Europa durante a Segunda Guerra Mundial.

Nesse aparelho, repetiram o mesmo treinamento anteriormente. Partiram em 10 de setembro, chegando em Patrick Henry, Virgínia, no dia seguinte. Dali, aguardaram o embarque para a Itália, que se deu em 19 de setembro, no navio UST Colombie.

Desembarcaram em Livorno, Itália, em 6 de outubro, partindo imediatamente de trem para a Base Aérea de Tarquínia, chegando no dia seguinte. Após os primeiros dias na base, na instalação da unidade em acampamento armado em barracas de lona, passaram ao controle operacional do 350th Fighter Group, operando com a denominação de 1st Brazilian Fighter Squadron, pois na organização, o efetivo do 1° Grupo de Aviação de Caça correspondia ao efetivo de um Esquadrão de Caça, na organização de Força Aérea Americana.

Há pouco instalados, já iniciaram as operações em 31 de outubro. Logo a seguir, em 21 de novembro, tiveram que se deslocar para a Base Aérea de San Giusto, na cidade de Pisa, onde ocuparam alguns dos principais prédios da cidade, inclusive o Albergo Nettuno, ali ficando até o final da guerra.

No regresso ao Brasil, o grupo deixou Pisa em caminhões, em 26 de junho de 1945, embarcando no navio General Meighs, no porto de Nápoles, em 6 de julho, atracando no cais da Praça Mauá em 18 do mesmo mês. Comandados pelo Coronel Nero Moura, uma formação de 19 Thunderbolts deslocou-se pelo ar desde Kelly Field, Texas, pousando no Campos do Afonsos, Rio de Janeiro, dois dias antes. - Síntese do livro “Senta a Pua!”. (LIMA, Rui Moreira. SENTA A PUA!, p 17, Biblioteca do Exército, 1979).
",Ouro Branco - MG,Amburana e Carvalho Francês,3 anos,40%,"2017 - Medalha de Prata no Concurso Mundial de Bruxelas
",25/6/2021 - 19:26:52,https://www.cachacarianacional.com.br/cachaca-senta-a-pua-extra-premium-750ml-01917/p
8,60df74858882c8982eaecd39,Cachaça Claudionor 1000ml,"R$ 59,00",1000ml,,"A Cachaça Claudionor 1000ml é uma bebida forte, com aroma de cana-de-açúcar madura, que descansa por dois anos em tonéis de amburana de quase 100 anos. De cor límpida, com um leve tom amarelado, possui graduação alcoólica de 48%.
","A Cachaça Claudionor é produzida artesanalmente em Januária, norte de Minas Gerais, seguindo a tradição que nasceu em 1925 com o fundador Claudionor Carneiro. A bebida era comercializada em garrafões e dornas para comerciantes e barqueiros que navegavam pelo Rio São Francisco e passavam pela cidade à procura da cachaça Januária de Claudionor. Na terceira geração da família, a dedicação e o cuidado com a história seguem honrando os princípios do criador do destilado.
",Januária - MG,Amburana,1 ano,48%,"2018 - 21ª Colocada no III Ranking da Cúpula da Cachaça
2016 - 37ª Colocada no II Ranking da Cúpula da Cachaça
",25/6/2021 - 19:27:0,https://www.cachacarianacional.com.br/cachaca-claudionor-1000ml-01422/p
9,60df74858882c8982eaecd3a,Cachaça Weber Haus Amburana 700ml,"R$ 80,00",700ml,,"A Cachaça Weber Haus Amburana 700ml é uma bebida armazenada por um ano em barris de amburana, madeira tipicamente brasileira. Leve, possui graduação alcoólica de 38%.
","A Weber Haus é administrada por Evandro Weber, descendente de alemães de Ivoti, encosta da Serra Gaúcha, interior do Rio Grande do Sul. Quando chegaram da Alemanha, seus bisavós adquiriram terras na cidade, onde plantavam mandioca e cana-de-açúcar e produziam farinha. A família deu início à fabricação de cachaça em 1848 para consumo próprio.

O alambique foi construído em 1948, e consistia em um galpão com um engenho no meio movimentado por quatro mulas. Com o tempo, foram modernizando a produção. O negócio acabou passando de pais para filhos. Foi esta união de familiares que contribuiu para a longevidade do empreendimento.

O processo manual, desde a escolha do tipo correto de cana-de-açúcar, que se adaptou ao solo da região, até o corte manual, assim como o tratamento ecologicamente correto dado ao canavial, trouxe excelência na fabricação da cachaça.

A agroindústria Weber Haus conta com mais de 35 premiações nacionais e internacionais e é a cachaça mais premiada do Brasil. Possui duas certificações importantes: orgânica e rastreabilidade concedidas pelo Inmetro, sendo umas das primeiras a receber o selo da agricultura familiar do Brasil.

Os produtos produzidos pela agroindústria Weber Haus vão além da cachaça. Possuem também licores, sucos de uva e açúcar mascavo, dentre outros.

",Ivoti - RS,Amburana,1 ano,38%,"2018 - 7ª Colocada no III Ranking da Cúpula da Cachaça
2016 - 25ª Colocada no II Ranking da Cúpula da Cachaça
2016 - Medalha de Ouro no Concurso Mundial de Bruxelas Edição Brasil
2014 - 1ª Colocada no Concours Mondial Spirits Selection
2014 - 29ª Colocada no I Ranking da Cúpula da Cachaça
2013 - Medalha de Prata no Concurso Mundial de Bruxelas
2009 - Medalha de Prata no San Francisco World Spirits Competition
2008 - Medalha de Bronze no San Francisco World Spirits Competition
2008 - Medalha de Ouro no International Review of Spirits Award Chicago
",25/6/2021 - 19:27:6,https://www.cachacarianacional.com.br/cachaca-weber-haus-amburana-700ml-01317/p
