,_id,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,VOLUME,GRADUAÇÃO_ALCOÓLICA,LINK,DATA_COLETA
0,60da9b0258cad6ad2ba72f45, Cachaça Jamel Ouro,"R$ 24,90"," Cachaça Jamel Ouro 970ml. Cachaça amarela, elaborada a partir de caldo de cana-de-açúcar, envelhecida em barris de carvalho. ",Volume: 970 ml, 39% vol.,https://www.casadabebida.com.br/cachaca/cachaca-jamel-ouro-970-ml/,29/06/2021 00:43
1,60da9b0358cad6ad2ba72f46, Cachaça Leblon,"R$ 99,90"," Cachaça Leblon 750 ml. A Leblon é uma cachaça fina de alambique produzida artesanalmente em Patos de Minas - MG. Abaixo as características que fazem da Leblon um cachaça artesanal diferenciada: - O mestre: Todo o processo é liderado por Gilles Merlet, famoso Máster Distiller de Cognac, e agora um dos mais proeminentes produtores de cachaça artesanal. - Descanso: A cachaça Leblon é refinada através de um descanso de até 6 meses em barris de Cognac XO, resultando em um sabor ultra suave. - Filtragem: A Leblon é triplamente filtrada usando um processo orgânico exclusivo desenvolvido pela família Merlet durante séculos de produção de cognac. - Engarrafamento: O toque final é o engarrafamento em uma garrafa cristalina de luxo. ",Volume: 750 ml, 40% vol.,https://www.casadabebida.com.br/cachaca/cachaca-leblon/,29/06/2021 00:43
2,60da9b0458cad6ad2ba72f47, Cachaça Ypióca 150,"R$ 89,90"," Cachaça Ypióca 150 700 ml. Edição comemorativa de 150 anos de História. Nova embalagem com mesmo sabor. A perfeita combinação dos sabores nobres de bálsamo e carvalho. Aguardente destilada de cana-de-açúcar envelhecida 06 anos, sendo 03 anos em tonéis de bálsamo e 03 anos em tonéis de carvalho, adquirindo sabor e bouquet inconfundíveis. Notas de baunilha, caramelo e melaço encorporam esta cachaça aveludada. Para degustar pura, deixe gelar no freezer e sirva acompanhado dos petiscos de sua preferência. ",Volume: 700 ml, 39% vol.,https://www.casadabebida.com.br/cachaca/ypioca-150-700-ml/,29/06/2021 00:43
3,60da9b0458cad6ad2ba72f48, Cachaça Ypióca 160,"R$ 149,90"," Cachaça Ypióca 160 700 ml. Nova Garrafa, mesmo sabor!!! Medalha de Ouro no Concurso Mundial de Bruxelas edição Brasil em 2017. Cachaça Ypioca 160 é a edição comemorativa aos 160 anos de Ypióca. Um blend único e exclusivo de cachaça e malte, resultando em um sabor surpreendente e aveludado. Para degustar pura, deixe gelar no freezer. O processo de envelhecimento leva seis anos em barris de carvalho, sendo a única cachaça no mundo que leva malte em sua composição. O nome remete ao aniversário de 160 anos da marca. A sofisticação da cachaça começa na embalagem e continua dentro da garrafa, com 39% de teor alcoólico, a bebida tem como notas de composição o carvalho e o malte, sendo que o este último lhe confere um sabor adocicado. A Ypioca 160 é considerada um dos melhores rótulos do mundo. Em 2007, antes mesmo de ser lançada no Brasil, a bebida foi premiada como a melhor Cachaça Premium, no International Cane Spirits Festival and Tasting Competition (ISCF), realizado nos Estados Unidos. ",Volume: 700 ml, 39% vol.,https://www.casadabebida.com.br/cachaca/cachaca-ypioca-160-700-ml/,29/06/2021 00:43
4,60da9b0558cad6ad2ba72f49, Cachaça Ypióca 5 Chaves,"R$ 149,90"," Cachaça Ypióca 5 Chaves 700 ml. É um blend de cachaças raras envelhecidas em barris de carvalho e castanheira. Um líquido raro e diferenciado muito bem avaliado pelos apreciadores de cachaça. Seu nome ""Cinco chaves"" dizem respeito aos segredos da produção: cuidado com a fermentação, tempo correto para o envelhecimento, talento na criação, qualidade da cana e precisão na destilação. A mistura desses 5 fatores fazem essa cachaça ter uma alta qualidade, misturando seu sabor frutado picante com diferentes aromas. ",Volume: 700 ml, 39% vol.,https://www.casadabebida.com.br/cachaca/ypioca-5-chaves-700-ml/,29/06/2021 00:43
5,60da9b0558cad6ad2ba72f4a, Cachaça Ypióca Ouro,"R$ 19,90"," Cachaça Ypióca Ouro 965 ml. Desde 1846, a Ypióca é um grande exemplo da arte de produzir cachaça de qualidade. Agora, sob o comando da Diageo, o maior grupo de bebidas premium do mundo, YPIÓCA prossegue exaltando sua qualidade, tradição e raízes. Ypióca não adiciona açúcar às receitas, preservando as características originais da verdadeira cachaça. YPIÓCA® Brasilizar Ouro Armazenada é armazenada durante 1 ano em toneis de bálsamo, realçando o seu sabor e aroma em uma cachaça diferenciada. O melhor da cana de açúcar. A arte de fazer bebida é antiga, e cada país tem seus produtos, como é o caso da cachaça Ypióca Ouro feita no Ceará desde 1843, vinda do melhor da cana de açúcar. Hoje ela ajuda a trazer mais alegrias e bons momentos entre amigos e familiares. Diferenciais da versão ouro Nesta versão, a Ypióca passa por um processo de envelhecimento em bálsamo, transformando-a em uma cachaça premium. Ela traz toda a diferença em caipirinhas de frutas e outros tipos de drinks e coquetéis. Mais suave Ela tem o sabor mais suave, e acompanha bem refeições, seja para abrir o apetite ou para fechar o almoço de domingo. Experimente com moderação e sinta o sabor de uma das melhores aguardentes do país. ",Volume: 965 ml, 38% vol.,https://www.casadabebida.com.br/cachaca/ypioca-ouro-965-ml/,29/06/2021 00:43
6,60da9b0658cad6ad2ba72f4b, Cachaça Companheira EXTRA PREMIUM 8 anos Carvalho,"R$ 269,90"," Cachaça Companheira EXTRA PREMIUM 8 anos Carvalho 700 ml.* *Copo da imagem não incluso. Dez anos antes de chegar ao copo, um primoroso, detalhado e artesanal processo de produção tem início. A escolha da variedade de cana a ser plantada, com alto teor de açúcar e colhida exclusivamente no inverno, uma poda manual e cuidadosa, um sistema de destilação magistral e um processo de envelhecimento de 8 anos em barril de carvalho, fazem com que a Companheira Extra Premium seja uma cachaça que além do sabor inigualável traga também o amor de quem a produz. Afinal, mais do que feita a mão, Companheira Extra Premium é feita com o coração. Gran Ouro no Concurso Mundial de Bruxelas, 14ª edição do Concurso Nacional de Vinhos Finos e Destilados CMB Brasil 2016 e 2018. Medalha de ouro no Concurso Mundial de Bruxelas 2016 (Spirits Sellection 2016), realizado na cidade de Tequila, no México. Medalha de ouro no Concurso de Degustação às Cegas, realizado durante a Expocachaça, em Belo Horizonte, Minas Gerais, Brasil. 3º lugar no II Ranking 2016 da Cúpula da Cachaça, conforme resultado publicado no jornal O Estado de S.Paulo. 5º lugar no Ranking Revista VIP da Cachaça 2015. Medalha de prata no Concurso Mundial de Bruxelas 2014 (Spirits Selection 2014), realizado na cidade de Florianópolis, Santa Catarina, Brasil. Medalha de ouro no Concurso de Degustação às Cegas 2014, realizado durante a Expocachaça, em Belo Horizonte, Minas Gerais, Brasil, ocasião em que a Companheira foi reconhecida como a Cachaçaria do Ano 2014, por ter obtido a maior nota (9,5) e o maior número de medalhas nos quatro concursos promovidos pelo evento. 7º lugar no I Ranking da Cúpula da Cachaça 2014. Medalha de ouro no Concurso de Degustação às Cegas 2013, realizado durante a Expocachaça Dose Dupla, no Mercado Municipal de São Paulo. Detalhes: Somente em 1994 começa esta jornada. Um ano de muito trabalho, investimento e escolhas corajosas, sabiamente vindas da experiência do produtor, Natanael Carli Bonicontro. A paixão pela produção de cachaça teve início nas aulas de engenharia bioquímica, em cujo laboratório fabricou pela primeira vez uma cachaça que o surpreendeu. Seu nome é inspirado no pássaro joão-de-barro, espécie famosa por passar a vida toda ao lado de uma única companheira. Todo o engenho foi projetado e desenhado pelo engenheiro químico Natanael, possuindo a Cachaçaria Companheira, engenho de criação própria, idealizado e arquitetado exclusivamente para a produção da cachaça COMPANHEIRA. O alambique foi construído na cidade de Jandaia do Sul, ao Norte do Estado do Paraná, região do Vale do Rio Ivaí, lugar de boas terras, água proveniente de um poço artesiano e clima favorável para o cultivo da cana-de-açúcar. A cachaça COMPANHEIRA tem origem em uma variedade de cana de alto teor de açúcar colida no inverno. A escolha e o projeto de plantio e colheita da cana-de-açúcar passam por uma pesquisa metódica, o seu cuidado é harmonioso e competente, e a poda é manual e detalhada. Com o caldo de cana se prepara o mosto, onde a temperatura e o teor de açúcar são controlados, para depois ser fermentado em dornas de aço inoxidável, onde é transformado em vinho. Este precioso vinho é destilado de tal modo que com a riqueza de aromas nele concentrada faz brotar uma cachaça cristalina, suave, aromática e extremamente agradável ao paladar. Assim nasce a cachaça COMPANHEIRA, cujo caráter não poderia ser, se não único e inimitável, particularmente intenso e amplo nas múltiplas e inconfundíveis notas de madeira e, ao mesmo tempo, equilibrado e franco. Em 2012, Sara e Raquel abraçaram o sonho do pai, que com o mesmo encanto e amor, dedicam-se a empreitada de continuar produzindo uma cachaça de excelência. ",Volume: 700 ml, 40% vol.,https://www.casadabebida.com.br/cachaca/companheira-extra-premium-8-anos-carvalho-700-ml/,29/06/2021 00:43
7,60da9b0758cad6ad2ba72f4c, Cachaça Leblon Signature,"R$ 99,90"," Cachaça Leblon Signature. Envelhecida 2 anos em Barris de Carvalho de Cognac XO. A Cachaça Leblon Signature Merlet é envelhecida por 2 anos em barris de carvalho francês, adquirindo notas de frutas secas, mel, nozes e passas. Produzida em alambiques de cobre, seguindo os mais altos padrões de qualidade internacional, ela descansa em barricas de carvalho francês, da região de Limousin, que já envelheceram Cognac XO. ""O resultado é diferente de uma Cachaça típica, um aroma vivo e frutado, com complexas camadas de sabor e um final longo e suave"". Premiações: 2014 - 6º lugar no ranking da Cúpula da Cachaça. 2013 - Medalha de Ouro na competição mundial de destilados de San Francisco, Califórnia. ",Volume: 375 ml, 42% vol.,https://www.casadabebida.com.br/cachaca/cachaca-leblon-signature/,29/06/2021 00:44
8,60da9b0758cad6ad2ba72f4d, Cachaça Sagatiba Cristalina Prata,"R$ 39,90"," Cachaça Sagatiba Cristalina Prata 700 ml. A CACHAÇA QUE REINVENTOU A CACHAÇA. Sagatiba Cristalina é aquela cachaça brasileira que você já conhece, só que diferente. Ela é feita com um moderno e inovador processo de destilação (a primeira marca a produzir dessa maneira!): a Multidestilação. Nesse processo, destilamos a cachaça mais de uma vez, separando qualquer impureza. O resultado é um líquido puro e cristalino, que cai bem com qualquer mistura, desde a tradicional caipirinha até drinks! Premiações: San Francisco World Spirits Competition Medalha Bronze O San Francisco World Spirits Competition experimentou e avaliou líquidos de todo o mundo, em busca de bebidas excepcionais. Com a conquista de uma medalha de Bronze na competição de 2017, Sagatiba Cristalina mostrou a que veio, reafirmando sua posição entre as melhores bebidas da categoria. NY International Spirits Competition Medalha Silver O New York International Spirits Competition é um renomado prêmio internacional, que conta com um júri seleto, composto exclusivamente por especialistas envolvidos no mercado. Este ano, Sagatiba Cristalina se consagrou na premiação, convertendo o seu sabor e aroma únicos em uma importantíssima medalha Silver! Blue Lifestyle Seal Of Approval 92 pontos Todos os anos, no prêmio Blue Lifestyle, mais de 5.500 bebidas são avaliadas por Anthony Dias Blue, especialista renomado por seu conhecimento de bebidas destiladas. Na premiação, somente as melhores bebidas ganham o selo Seal Of Approval e, em 2017, Sagatiba Cristalina não só foi selecionada como recebeu a medalha Gold, com uma pontuação excelente, ressaltando sua qualidade e sabor únicos. ",Volume: 700 ml, 38% vol.,https://www.casadabebida.com.br/cachaca/sagatiba-cristalina-prata-700-ml/,29/06/2021 00:44
9,60da9b0858cad6ad2ba72f4e, Aguardente Adega Velha 12 anos XO,"R$ 549,90"," Aguardente Adega Velha 12 anos XO 500 ml. Produzir uma aguardente como Adega Velha requer não só tempo, mas principalmente, uvas de qualidade, além de lentas e cuidadas destilações em alambiques Charentais, trazidos da região de Cognac (França). As uvas, selecionadas pela sua elevada acidez e baixo teor de açúcares, estão na origem de um vinho leve e equilibrado. O vinho é posteriormente submetido a duas lentas e cuidadas destilações em alambique Charentais, trazido da região de Cognac, em França. Após o processo de destilação, a Aguardente é sujeita a um envelhecimento em cascos de carvalho francês, provenientes da região de Limousin, tendo o lote final uma idade média de 12 anos de envelhecimento. A arte da mãe natureza e o toque final dos adegueiros da Quinta da Aveleda dão a tônica desta preciosa aguardente que vem a ser uma verdadeira obra prima. É ideal para servir como digestivo após uma refeição, recomendando-se o seu serviço a uma temperatura entre os 18 e 20ºC. Detalhes: cor: A cor âmbar magnífica resulta do repouso em cascos de carvalho da região de Limousin, famosos pelas características únicas de sua madeira. Região: Vinhos Verdes DOC Composição: Vinhão, Azal Tinti, Borraçal e Espadeiro Aroma: Muito rico e complexo. Notas de frutos secos Paladar: Textura densa e aveludade,. Final intenso e prolongado Temperatura: 18ºC - 20ºC Envelhecimento: 12 anos em carvalho francês SOBRE O PRODUTOR: No final do século XVIII, Francisco de Horta Machado, primeiro Embaixador de Portugal na Rússia Imperial, traz consigo de São Petersburgo, uma elegante garrafa, que o marcara pelo seu carácter invulgar e que viria a servir de testemunho da sua passagem no país dos Czares. Um século depois, esta garrafa seria oferecida a Manoel Pedro Guedes, proprietário da Casa d'Avelleda, por um neto do embaixador, como formar de celebrar as primeiras produções de vinho na propriedade, corria o ano de 1870. Ao receber esta garrafa, Manoel Pedro Guedes teve de prometer que a conservaria até à criação de um produto com características únicas, que perpetuasse este legado familiar. Na penumbra da velha adega, Roberto Guedes realizou as primeiras experiências com destilações de Vinho Verde, após uma viagem realizada à região de Cognac em França, onde viria a adquirir um alambique charentais em cobre. As barricas, resultantes destes ensaios, permaneceram ao cuidado do tempo até António Guedes, seu filho, as apresentar a Amândio Galhano que, entusiasmado com esta descoberta, decide enviar amostras para Cognac. A reação gerada motivou António Guedes a prosseguir com o projeto de desenvolver uma aguardente única. Roll barrels Em 1971, nasce assim, uma das primeiras aguardentes de Vinho Verde, à qual foi dada o nome de Adega Velha, em homenagem ao lugar onde tudo começou. À vista da magnífica cor âmbar deste produto, resutlante de um longo repouso em cascos de carvalho da região de Limousin, António Guedes soube ter encontrado o néctar perfeito para a garrafa guardada desde o tempo do seu bisavô. Roll barrels Nos anos que se seguiram, a excelência da Adega Velha tornaram-na numa aguardente muito afamada e procurada em todo o país. O sucesso da primeira edição de Adega Velha foi tal, que a produção disponível esgotou-se rapidamente, não permitindo a António Guedes dar resposta aos pedidos, nem dos seus amigos mais próximos. Hoje, a história de Adega Velha permanece imutável. Herdando o conhecimento e memória prodigiosa dos mestres adegueiros, que compuseram este néctar com a reverência de um alquimista, a Adega Velha continua a ser produzida como uma verdadeira obra-prima. ",Volume: 500 ml, 40% vol.,https://www.casadabebida.com.br/cachaca/adega-velha-12-anos-xo-500-ml/,29/06/2021 00:44
