,_id,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,VOLUME,LOCAL_DE_PRODUÇÃO,PRODUTOR,GRADUAÇÃO_ALCOÓLICA,RECIPIENTE_DE_ARMAZENAMENTO,ANÁLISE_SENSORIAL,LINK,DATA_COLETA
0,60c814ef679d88dafb13a96a,Cachaça Princesa Isabel Prata 600ml,"R$ 47,00","
Cachaça Princesa Isabel Prata 600ml
A Cachaça Princesa Isabel Prata tem característica vegetal, adocicada e com sabor prolongado agradável na boca.
Espírito Santo - Brasil
Produzida em Linhares, no Espírito Santo, pela família Cellia, a cachaça Princesa Isabel Prata é uma cachaça pura, que não passa por madeira, e uma excelente pedida para preparar sua caipirinha. 
Conheça mais a Cachaça Princesa Isabel Prata
A cachaça Princesa Isabel Prata é a versão purinha, que não passa por madeira, dessa cachaça capixaba produzida nas margens do Rio Doce.
O lema da Cachaça Princesa Isabel Prata é: Paixão não tem muita explicação vem de dentro, vem do peito.
Seguindo este ideal tudo que é feito com paixão é bem feito! Para Adão e Pedro, produtores da Princesa Isabel, a cachaça traz o Brasil em seu DNA. Cada conquista que a Cachaça obteve nacionalmente e internacionalmente deve-se honrar os antepassados que lutaram para passar as tradições da produção do nosso destilado para a próxima geração.
A produção da Princesa Isabel
A cachaça Princesa Isabel é produzida em Linhares, no Espírito Santo, na fazenda Tupã, a apenas 40 km do litoral capixaba. Por lá, a família Cellia produz 20 mil litros por safra por ano.
A produção da cachaça Princesa Isabel é a concretização do sonho de infância de Adão Cellia, idealizador da marca. Desde pequeno, na cidade de Nova Venécia, no interior do Espírito Santo, Adão observava seus tios trabalhando na produção de cachaça artesanal.
Adão e a esposa, Isabel, foram buscar conhecimento em todo país e tiverem contato com as melhores práticas de produção. 
Características da cachaça
Ano de lançamento: 2020
Graduação alcoólica: 42%
Sabor: adocicada, vegetal, retrogosto prolongado 
Volume da unidade: 600ml 
 
",Volume: 600 ml,Espírito Santo - Brasil,Produtor: Princesa Isabel,42%,,"VISÃO: incolor
OLFATO: adocicados
PALADAR: adocicado, aromatico
",https://ethylica.com.br/produto/cachaca-princesa-isabel-prata-600ml/,27/05/2021 10:57
1,60c814f0679d88dafb13a96b,Cachaça Encantos da Marquesa Prata 2010 600ml,"R$ 80,00","
Cachaça Encantos da Marquesa Prata 2010 600ml
A Encantos da Marquesa é a primeira cachaça safrada do Brasil. Experimente a safra 2010
Minas Gerais - Brasil
A Encantos da Marquesa Prata Safra 2010 tem sabor doce em balanço com o alcoólico e a acidez. A picância leve torna esta cachaça redonda e gentil. 
Conheça mais a história da Cachaça Encantos da Marquesa Prata
A Cachaça Encantos da Marquesa Prata 2010, produzida em Indaiabira (Marquesa é o nome da fazenda). Comprada em 2009 por Eduardo Martins,  pesquisador da área ambiental, por duas vezes presidente do Ibama, a propriedade já tinha tradição na fabricação da bebida. Com a compra, foi investido no aprimoramento do processo de fabricação de cachaça com mais qualidade e produzida com o padrão orgânico.
O Produtor
Na fazenda Marquesa a cana é colhida manualmente e transportada por animais até o alambique, para evitar que ela se contamine com a fumaça dos veículos motorizados.
Para fermentação, empregam leveduras autóctones selecionadas. Com rendimento de 200 mil litros por ano, a dupla também demonstra vanguarda ao trazer conceitos da Escola Varietal, como identificação da safra e reconhecimento da variedade de cana como fundamental para distinguir as características sensoriais da cachaça.
Sensorial
Floral no odor, remete a flores apícolas. O sabor confirma a intensidade de doçura, em balanço com o alcoólico e a acidez. A picância leve torna esta cachaça redonda e gentil.
 
",Volume: 600 ml,Minas Gerais - Brasil,Produtor: Encantos da Marquesa,40%,,"VISÃO: incolor
OLFATO: adocicados, floral, garapa
",https://ethylica.com.br/produto/cachaca-encantos-da-marquesa-prata-2010-600ml/,27/05/2021 10:57
2,60c814f0679d88dafb13a96c,Cachaça Weber Haus Premium 7 Madeiras 750ml,"R$ 87,00","
Cachaça Weber Haus Premium 7 Madeiras 750ml
A cachaça Weber Haus Premium 7 madeiras é um blend complexo composto por cachaças que passaram por 7 madeiras.
Rio Grande do Sul - Brasil
A Weber Haus foi também uma das primeiras marcas adeptas da fermentação feita com leveduras autóctones selecionadas. 
O Blend, cachaça Weber Haus Premium 7 madeiras
A cachaça Weber Haus Premium 7 madeiras é um blend complexo composto por cachaças que passaram por 7 madeiras. Como o produtor Evandro Weber diz a 7 Madeiras é uma cachaça para “meditação” – quando o degustador busca diferentes experiências e sabores trazidos pelas distintas madeiras.
Como é a produção dos Weber?
A cana-de-açúcar é orgânica, assim como algumas cachaças do portfolio da Weber Haus.
A Weber Haus foi também uma das primeiras marcas adeptas da fermentação feita com leveduras autóctones selecionadas. A levedura é selecionada do canavial e lavada para multiplicação em laboratórios – toda safra, a mesma levedura é utilizada no processo de fermentação, mantendo padrão e fortalecendo a ideia de terroir.
No envelhecimento também inovam, sendo uma das primeiras marcas a fazer tosta a vapor das barricas de madeira, técnica que, de acordo com Evandro, é o segredo para a doçura característica das cachaças envelhecidas da empresa.
Por ano, destilam entre 180 mil e 200 mil litros de cachaça para as marcas Weber Haus, Lundu, Velho Pescador, Umas e Outras, Leandro Batista e Yaguara, da Carmosina.
",Volume: 750 ml,Rio Grande do Sul - Brasil,Produtor: Weber Haus,38%,Madeira: Amburana,"VISÃO: dourada
OLFATO: adocicados, amadeirado, madeira
PALADAR: adocicado, aromatico, aveludada
",https://ethylica.com.br/produto/cachaca-weber-haus-premium-7-madeiras-750ml/,27/05/2021 10:58
3,60c814f0679d88dafb13a96d,Cachaça Princesa Isabel Edição Especial 600ml,"R$ 75,00","
Cachaça Princesa Isabel Edição Especial 600ml
A Cachaça Princesa Isabel Edição Especial além do rótulo que encanta, a cachaça que compõe a nova edição também é muito especial e premiada.
Espírito Santo - Brasil
Além do novo rótulo, a edição Cachaça Princesa Isabel Edição Especial, nasce com um novo propósito: ajudar na conscientização para a preservação das antas 
A história por trás da Cachaça Princesa Isabel Edição Especial
Além do novo rótulo, a edição Cachaça Princesa Isabel Edição Especial, nasce com um novo propósito: ajudar na conscientização para a preservação das antas – no Espírito Santo esses animais só ocorrem, e sobrevivem, na região de Linhares e Sooretama. Para isso, a Princesa Isabel vai doar 15% de toda a renda arrecadada, com a venda da cachaça. O dinheiro será investido em ações de educação ambiental e divulgação científica, para alunos do ensino fundamental e médio. Assim, além de valorizar a biodiversidade regional, a Princesa Isabel vai colaborar com a formação de base para a conservação dos animais silvestres.
Pedro Henrique Cellia, produtor da cachaça e filho de Adão Cellia, proprietário do alambique, conta que todos estão muito entusiasmados com o lançamento. “Meu pai, na última década, tem se empenhado muito na preservação ambiental e as antas precisam disso, precisam de uma grande área de floresta para sobreviverem”, explica. A Fazenda, onde a cachaça Princesa Isabel é produzida, fica localizada há cerca de 40 quilômetros da Reserva Biológica de Sooretama, habitat de importantes espécies da fauna e flora brasileiras.
Para além do rótulo que encanta, a cachaça que compõe a nova edição também é muito especial e premiada. Foi eleita, em 2018, como a melhor cachaça do Brasil e tem tudo a ver com a terra. “Escolhemos uma cachaça Princesa Isabel Aquarela orgânica armazenada por três anos em dornas de Jequitibá Rosa, a árvore símbolo do Espírito Santo”
CACHAÇA E ARTE COMO FERRAMENTAS DE CONSERVAÇÃO DA BIODIVERSIDADE AO LADO DE QUEM RESPEITA A FLORESTA E PRODUZ COM SUSTENTABILIDADE
Na natureza, a convivência de pássaros e antas já é considerada uma parceria de sucesso. As antas são conhecidas como as jardineiras da floresta, espalhando sementes frutíferas que servirão de alimento e proteção a outros animais. Andressa acredita que essa união com a cachaça Princesa Isabel também vai gerar bons frutos, disseminando e levando, ainda mais longe, a mensagem de preservação da fauna e flora para novos públicos. “Enquanto as antas seguem plantando árvores, nós seguimos por aqui plantando novas ideias”, completa.
Fonte mapa da cachaça.
",Volume: 600 ml,Espírito Santo - Brasil,Produtor: Princesa Isabel,40%,Madeira: Jequitibá-Rosa,"VISÃO: incolor
OLFATO: adocicados
PALADAR: adocicado, fino
",https://ethylica.com.br/produto/cachaca-princesa-isabel-edicao-especial-750ml/,27/05/2021 10:58
4,60c814f0679d88dafb13a96e,Cachaça Tiê Prata 700ml,"R$ 52,00","
Cachaça Tiê Prata 700ml
A Cachaça Tiê Prata é produzida de forma artesanal, conservando o melhor da tradição mineira.
Minas Gerais - Brasil
O corte da planta é feito manualmente sem uso de fogo evitando que componentes indesejáveis surjam durante a fermentação realizada em dornas de inox com levedo especial e por tempo controlado. 
Produção da cachaça Tiê Prata
A cachaça Tiê Prata é produzida pelo casal Arnaldo Ramoska e Cris Amin, na fazenda Guapiara numa propriedade de 1.000 hectares, sendo 20 dedicados à cachaça.
O portfólio da cachaça Tiê
Com ajuda de Otacílio e de seu filho Tobias, Arnaldo e Cris trazem uma versão purinha, a Tiê Prata, uma versão envelhecida em barris de carvalho europeu, a Tiê Ouro, e uma aguardente composta com canela.
Além de prêmios conquistados no Brasil e exterior, como a 3 melhor cachaça branca do país pela Cúpula da Cachaça, o casal conquistou também a certificação do IMA/Inmetro, um selo de qualidade que poucas cachaças possuem.
Origem do nome Tiê
Tiê é o nome de um pássaro que habita áreas da Mata Atlântica e aparece algumas vezes por ano na região da Fazenda Guapiara. O pássaro batiza a cachaça e é representado com um lindo desenho no rótulo.
Harmonize ao seu gosto.
Sua produção é artesanal e alinha os métodos tradicionais com as boas práticas de produção necessárias para garantir a sua alta qualidade. Sinta o sabor e aroma levemente perfumado da Cachaça Tiê. Sinta todas essas sensações à flor da pele! Aiuruoca está localizada no Sul de Minas Gerais no limite do Circuito das Águas. Faz parte do Circuito Terras Altas da Mantiqueira do Parque Estadual da Serra do Papagaio e Serra da Mantiqueira sendo considerada uma das melhores cidades para o Ecoturismo e com grande tradição na produção da artesanal de cachaça. Do plantio da cana ao engarrafamento da bebida a cachaça TIÊ passa por um rigoroso controle de qualidade. O corte da planta é feito manualmente sem uso de fogo evitando que componentes indesejáveis surjam durante a fermentação realizada em dornas de inox com levedo especial e por tempo controlado. O mosto fermentado resultado da etapa anterior é colocado em um alambique de cobre para obtenção do produto final: a cachaça. Do total destilado apenas o “coração” é armazenado em tonéis de aço inox e de carvalho e se transformam em TIÊ OURO ou TIÊ PRATA.
",Volume: 700 ml,Minas Gerais - Brasil,Produtor: Tiê,42%,,"VISÃO: incolor
OLFATO: adocicados
PALADAR: adocicado, amargo
",https://ethylica.com.br/produto/cachaca-tie-prata-700ml/,27/05/2021 10:58
5,60c814f1679d88dafb13a96f,Aguardente Tiê Canelinha 700ML,"R$ 79,90","
Aguardente Tiê Canelinha 700ML
A Aguardente Tiê Canelinha tem picância e toques equilibrados de especiarias, feita para aquecer os corações.
Minas Gerais - Brasil
A mais nova integrante da família Tiê é um destilado extremamente agradável e fácil de beber.  
Conheça mais a aguardente Tiê Canelinha
A Aguardente Tiê Canelinha tem picância e toques equilibrados de especiarias. A mais nova integrante da família Tiê é um destilado extremamente agradável e fácil de beber. Feito para aquecer os corações.
O portfólio da cachaça Tiê
Com ajuda de Otacílio e de seu filho Tobias, Arnaldo e Cris trazem uma versão purinha, a Tiê Prata, uma versão envelhecida em barris de carvalho europeu, a Tiê Ouro, e uma aguardente composta com canela.
Além de prêmios conquistados no Brasil e exterior, como a 3 melhor cachaça branca do país pela Cúpula da Cachaça, o casal conquistou também a certificação do IMA/Inmetro, um selo de qualidade que poucas cachaças possuem.
Origem do nome Tiê
Tiê é o nome de um pássaro que habita áreas da Mata Atlântica e aparece algumas vezes por ano na região da Fazenda Guapiara. O pássaro batiza a cachaça e é representado com um lindo desenho no rótulo.
Harmonize ao seu gosto.
Sua produção é artesanal e alinha os métodos tradicionais com as boas práticas de produção necessárias para garantir a sua alta qualidade. Sinta o sabor e aroma levemente perfumado da Cachaça Tiê. Sinta todas essas sensações à flor da pele! Aiuruoca está localizada no Sul de Minas Gerais no limite do Circuito das Águas. Faz parte do Circuito Terras Altas da Mantiqueira do Parque Estadual da Serra do Papagaio e Serra da Mantiqueira sendo considerada uma das melhores cidades para o Ecoturismo e com grande tradição na produção da artesanal de cachaça. Do plantio da cana ao engarrafamento da bebida a cachaça TIÊ passa por um rigoroso controle de qualidade.
",Volume: 700 ml,Minas Gerais - Brasil,Produtor: Tiê,42%,,"OLFATO: adocicados, especiarias
PALADAR: aromatico, especiarias, picante
",https://ethylica.com.br/produto/cachaca-tie-canelinha-700ml/,27/05/2021 10:58
6,60c814f1679d88dafb13a970,Cachaça Antonieta Amburana 750ml,"R$ 90,00","
Cachaça Antonieta Amburana 750ml
A Cachaça Antonieta Amburana é produzida em alambiques de cobre e armazenada em tonéis de amburana
Minas Gerais - Brasil
Versátil, pode ser degustada pura, utilizada na preparação de coquetéis mais complexos e usada na gastronomia. Harmoniza com carnes vermelhas, queijos, nozes, chocolates e outros. 
Conheça mais a Cachaça Antonieta Amburana
A Cachaça Antonieta Amburana é produzida em alambiques de cobre e armazenada em tonéis de amburana, madeira nobre que lhe atribui cor dourada e buqué aromático intenso, com notas de baunilha, mel e frutas secas . O sabor amadeirado e levemente adocicado da amburana confere-lhe personalidade e suavidade.
Versátil, pode ser degustada pura, utilizada na preparação de coquetéis mais complexos e usada na gastronomia. Harmoniza com carnes vermelhas, queijos, nozes, chocolates e outros.
O Produtor
Criada em 2015 pelos Mestres Cachaciers Renato Bittencourt e Arnaldo Ribeiro, Antonieta é produzida na fazenda Taverna Real, em Itaverava, Minas Gerais.
A Taverna Real situa-se na antiga Estrada Real, rota designada pela coroa portuguesa em meados do Século XVII para escoar o ouro e os diamantes mineiros.
A Cachaça Antonieta é produzida no município de Ituverava, em Minas Gerais. A cadeia produtiva segue um rigoroso processo de controle, desde o cuidado com o solo onde a cana-de-açúcar é plantada, passando pela destilação feita em pequena escala em alambiques de cobre, até o envase em garrafas importadas da França.
Harmonize ao seu gosto!
",Volume: 750 ml,Minas Gerais - Brasil,Produtor: Antonieta,37%,Madeira: Amburana,"VISÃO: caramelo
OLFATO: baunilha, frutas-secas, mel
PALADAR: adocicado, madeira
",https://ethylica.com.br/produto/cachaca-antonieta-amburana-750ml/,27/05/2021 10:59
7,60c814f1679d88dafb13a971,Cachaça Antonieta Jequitibá 750ml,"R$ 80,00","
Cachaça Antonieta Jequitibá 750ml
A Cachaça Antonieta Jequitibá é produzida em alambique de cobre e armazenada em tonéis de jequitibá.
Minas Gerais - Brasil
De uso versátil, pode ser degustada pura, utilizada em coquetéis que demandam uma base suave, e usada na gastronomia. 
Conheça mais a Cachaça Antonieta Jequitibá
A Cachaça Antonieta Jequitibá é produzida em alambique de cobre e armazenada em tonéis de jequitibá, madeira nobre brasileira que preserva a cristalinidade da bebida, confere-lhe maciez, suaviza o aroma e sabor da cana, além de acrescentar leves notas herbácea. É um destilado equilibrado.
De uso versátil, pode ser degustada pura, utilizada em coquetéis que demandam uma base suave, e usada na gastronomia. Harmoniza com frutos do mar, carnes brancas, comidas apimentadas e queijos com sabor acentuado.
O Produtor
Criada em 2015 pelos Mestres Cachaciers Renato Bittencourt e Arnaldo Ribeiro, Antonieta é produzida na fazenda Taverna Real, em Itaverava, Minas Gerais.
A Taverna Real situa-se na antiga Estrada Real, rota designada pela coroa portuguesa em meados do Século XVII para escoar o ouro e os diamantes mineiros.
A Cachaça Antonieta é produzida no município de Ituverava, em Minas Gerais. A cadeia produtiva segue um rigoroso processo de controle, desde o cuidado com o solo onde a cana-de-açúcar é plantada, passando pela destilação feita em pequena escala em alambiques de cobre, até o envase em garrafas importadas da França.
",Volume: 750 ml,Minas Gerais - Brasil,Produtor: Antonieta,39%,Madeira: Jequitibá,"VISÃO: amarelo-palha
OLFATO: adocicados
PALADAR: adocicado, aromatico
",https://ethylica.com.br/produto/cachaca-antonieta-jequitiba-750ml/,27/05/2021 10:59
8,60c814f1679d88dafb13a972,Cachaça Arbórea Amburana 700ml,"R$ 69,21","
Cachaça Arbórea Amburana 700ml
A Cachaça Arbórea Amburana apresenta dulçor característico trazendo canela, erva doce e baunilha, está em equilíbrio com a acidez
Minas Gerais - Brasil
É produzida em Pirapetinga - Minas Gerais por Augusto Lima e Osmindo Souza. 
A Cachaça Arbórea Amburana
A Cachaça Arbórea Amburana é produzida em Pirapetinga – Minas Gerais por Augusto Lima e Osmindo Souza.
Uma típica cachaça mineira armazenada na amburana. A presença do dulçor característico da cachaça Arbórea amburana, trazendo canela, erva doce e baunilha, está em equilíbrio com a acidez, fazendo da cachaça uma boa pedida para coquetéis com frutas tropicais.
A origem de nome Arbórea.
A fazenda São João, produtora também de gado, está localizada entre mares de morros mineiros, com recortes de rios e lagos e abundância de água e sol, como resultado tem terras cercadas de corredores de eucaliptos. consequentemente A ideia do nome veio dos topos altos das árvores, assim batizada de: Arbórea.
O compromisso dos produtores é fazer da Arbórea uma cachaça que traga a identidade da região, mas que ao mesmo tempo possa inovar trazendo uma bebida para quem ainda não bebe cachaça, em outras palavras, abrindo o mercado para um público mais jovem e que busca novas formas de consumo, como o uso da cachaça na coquetelaria.
",Volume: 700 ml,Minas Gerais - Brasil,Produtor: Arbórea,,Madeira: Amburana,"PALADAR: adocicado, aveludada, encorpado
",https://ethylica.com.br/produto/cachaca-arborea-amburana-700ml/,27/05/2021 10:59
9,60c814f1679d88dafb13a973,Cachaça Arbórea Amburana e Carvalho 700ml,"R$ 69,61","
Cachaça Arbórea Amburana e Carvalho 700ml
A Cachaça Arbórea Amburana e Carvalho é produzida em Pirapetinga seguindo os melhores padrões de qualidade no processo de produção, buscando a sustentabilidade.
Minas Gerais - Brasil
Tem aromas frutados frescos como de pêssego em união com suave e cremoso dulçor e evolução complexa. 
A produção da cachaça Arbórea Amburana e Carvalho
A Cachaça Arbórea  Amburana e Carvalho é produzida em Pirapetinga seguindo os melhores padrões de qualidade no processo de produção, buscando a sustentabilidade.
O bagaço da cana é reaproveitado para alimentar a caldeira e para fazer compostagem. Durante o corte, a cana não é queimada. O engenho tem alta capacidade de extração e a sala de fermentação obedece às exigências sanitárias para se ter uma fermentação saudável. O alambique é em cobre, que retira odores indesejáveis durante a destilação da cachaça, quando são separadas as frações: cabeça, coração e cauda. Apenas o coração é usado para a elaboração dessa cachaça artesanal. Após a destilação, a cachaça Arbórea vai para o armazenamento, onde as cachaças brancas (prata) ficam em tanques em inox e para as amarelas (ouro) em tonéis de carvalho, amburana e maple, que dão um toque único.
Degustação
Aromas frutados frescos como de pêssego em união com suave e cremoso dulçor e evolução complexa.
Harmonização
Conservas, ovos, cogumelos, base de tomate ou cremosas como moqueca e carnes cruas.
 
 
 
",Volume: 700 ml,Minas Gerais - Brasil,Produtor: Arbórea,,Madeira: Amburana,"VISÃO: caramelo
PALADAR: adocicado, aromatico
",https://ethylica.com.br/produto/cachaca-arborea-amburana-e-carvalho-700ml/,27/05/2021 10:59
