,palavras,Arthur,Thiago,Priscilla
0,Três,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
1,Coronéis,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
2,R$,PRECO,PRECO,PRECO
3,35,PRECO,PRECO,PRECO
4,",",PRECO,PRECO,PRECO
5,00,PRECO,PRECO,PRECO
6,Três,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
7,Coronéis,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
8,700ml,VOLUME,VOLUME,VOLUME
9,750ml,VOLUME,VOLUME,VOLUME
10,39,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
11,",",GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
12,2%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
13,Barril,o,o,RECIPIENTE_ARMAZENAMENTO
14,Carvalho,TIPO_MADEIRA,RECIPIENTE_ARMAZENAMENTO,TIPO_MADEIRA
15,Glauri,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
16,Ind,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
17,Com,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
18,.,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
19,Ltda,o,NOME_ORGANIZACAO,NOME_ORGANIZACAO
20,Boituva,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
21,São,NOME_LOCAL,NOME_LOCAL,CARACTERISTICA_SENSORIAL_SABOR
22,Paulo,NOME_LOCAL,NOME_LOCAL,CARACTERISTICA_SENSORIAL_SABOR
23,Princesa,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
24,Isabel,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
25,Jaqueira,TIPO_MADEIRA,NOME_BEBIDA,TIPO_MADEIRA
26,Ouro,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
27,R$,PRECO,PRECO,PRECO
28,85,PRECO,PRECO,PRECO
29,",",PRECO,PRECO,PRECO
30,00,PRECO,PRECO,PRECO
31,2015,TEMPO,TEMPO,TEMPO
32,barris,o,o,RECIPIENTE_ARMAZENAMENTO
33,fazenda,NOME_LOCAL,NOME_LOCAL,o
34,Tupã,NOME_LOCAL,NOME_LOCAL,o
35,Princesa,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
36,Isabel,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
37,amarelho,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
38,esverdeado,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
39,límpida,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
40,brilhante,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
41,muito,o,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA
42,encorpada,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA
43,pouco,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
44,álcool,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
45,adocicados,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
46,frutados,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
47,baixa,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
48,acidez,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
49,suave,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,o
50,adocicado,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
51,levemente,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
52,picante,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
53,gengibre,CARACTERISTICA_SENSORIAL_SABOR,o,CARACTERISTICA_SENSORIAL_SABOR
54,agradável,CARACTERISTICA_SENSORIAL_SABOR,o,o
55,madeira,o,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
56,Princesa,NOME_ORGANIZACAO,NOME_LOCAL,NOME_ORGANIZACAO
57,Isabel,NOME_ORGANIZACAO,NOME_LOCAL,NOME_ORGANIZACAO
58,amarela,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
59,intensa,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
60,límpida,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
61,brilhante,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
62,ótimo,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA
