,_id,NOME_DA_CACHAÇA,PREÇO,VOLUME,DESCRIÇÃO_DA_CACHAÇA,LOCAL_DE_PRODUÇÃO,TEMPO_DE_ARMAZENAMENTO,GRADUAÇÃO_ALCOÓLICA,DATA_COLETA,LINK
0,60d64d51e0db956271508441,Cachaça Gramiais,"R$ 29,90",Volume: 600 ml,"Grad. Alcool.: 42,% Vol.)
Envelhecida em barril de Balsamo
Tempo de Envelhecimento: 3 Anos
Conteúdo : 600 ml
Garrafa : tradicional
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 3 anos,,25/6/2021 - 18:13:27,https://cachacaepinga.com.br/produto/213/cachaca-gramiais
1,60d64d51e0db956271508442,Cachaça Seleta 270 ml,"R$ 24,90",Volume: 270 ml,"Cachaça Seleta 

Grad. Alcool.: 44 % Vol.)
Envelhecimento: 2 anos em Umburana
Conteúdo : 270 ml
Garrafa : transparente
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 2 anos,Grad. Alcool: 44%,25/6/2021 - 18:13:31,https://cachacaepinga.com.br/produto/212/cachaca-seleta-270-ml
2,60d64d51e0db956271508443,Cachaça Premissa 670 ML,"R$ 34,90",Volume: 670 ml,"Cachaça Premissa 
 
A arte de Produzir a PREMISSA associa tradição a técnica exclusivas de blendagem tonando-a uma cachaça de incomparável qualidade. Honramos esta ideia com uma cuidadosa e pequena produção que apresenta em cada Gole sua Retribuição. 
 
Graduação: 42 %
Madeira: Balsamo 
Envelhecimento: 3 anos 
Garrafa: 670 ML 
Características: Cachaça Suave de baixa acidez com um buquê complexo que agrada aos paladares mais exigentes.",,Tempo de Envelhecimento: 3 anos,Grad. Alcool: 42%,25/6/2021 - 18:13:37,https://cachacaepinga.com.br/produto/210/cachaca-premissa-670-ml
3,60d64d51e0db956271508444,Cachaça Nova Aliança Porcelana,"R$ 89,90",Volume: 600 ml,"Cachaça Nova Aliança  Porcelana em formato de Mulher 

Em Formato de Mocinha essa e a Campeã de Vendas

A Cachaça Nova Aliança foi criada pensando estabelecer relação de confiança
e o reconhecimento do consumidor junto ao produtor industria, Comercio e Exportação de Cachaça
Beija - Flor Ltda, empresa familiar de Salinas que está no mercado desde de 1988, que tamnbem produz a famosa e tradicional Indaiazinha.

Alem de ser uma exelente Cachaça e um Exelente Presente, concerteza a pessoa presenteada vai ficar muito Surpresa e Feliz. 


Grad. Alcool.: 48 % Vol.)
Envelhecida em  Balsamo
Tempo de Envelhecimento: 3 Anos
Conteúdo : 600 ml
Garrafa : Especial Porcelana
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 3 anos,Grad. Alcool: 48%,25/6/2021 - 18:13:41,https://cachacaepinga.com.br/produto/209/cachaca-nova-alianca-porcelana
4,60d64d51e0db956271508445,Cachaça Antonio Rodrigues,"R$ 339,90",Volume: 700 ml,"Antônio Rodrigues
 
A LENDA VIVA
 

Antônio Rodrigues é uma bebida única, a verdadeira joia liquida. Uma série limitada, especial para os apreciadores da cachaça típica de Minas.
Envelhecida em carvalho, seu aroma é encorpado e paladar inesquecível.
Garrafa Especial 700 ML
Graduação alcoólica: 42%
Madeira: Carvalho",,,Grad. Alcool: 42%,25/6/2021 - 18:13:46,https://cachacaepinga.com.br/produto/208/cachaca-antonio-rodrigues
5,60d64d51e0db956271508446,Cachaça Havaninha,"R$ 99,90",Volume: 600 ml,"Cachaça Havaninha, mais uma filha da Fámilia Santiago, Produzida pelo Sr. Osvaldo Santiago filho do Saudoso Anisio Santiago produtor da Anisio Santiago e Havana.


A Cachaça Havaninha recem lançada 2014 com produção limitada e um rigoroso processo de seleção das canas e processo de fabricação é armazenada e envelhecida em toneis de Balsamo por 05 anos.


Tem pouco tempo mais já vem conquistando apreciadores de todo Brasil e do mundo ! 

 
 
 
 
 
 
 
Informações do produto
 
 
 
 
 
 
 
Grad. Alcool.: 48 % Vol.)
Envelhecida em  Tónel de Balsamo
Tempo de Envelhecimento: 05 Anos
Conteúdo : 600 ml
Garrafa : Tradicional
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 05 anos,Grad. Alcool: 48%,25/6/2021 - 18:13:56,https://cachacaepinga.com.br/produto/205/cachaca-havaninha
6,60d64d51e0db956271508447,Miniatura Seleta,"R$ 12,90",Volume: 50 ml,"Cachaça Seleta 50 ml 



Grad. Alcool.: 44 % Vol.)
Envelhecimento: 2 anos em Umburana
Conteúdo : 50 ml
Garrafa : miniatura
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 2 anos,Grad. Alcool: 44%,25/6/2021 - 18:14:0,https://cachacaepinga.com.br/produto/202/miniatura-seleta
7,60d64d51e0db956271508448,Miniatura Terra de Ouro Prata,"R$ 9,90",Volume: 50 ml,Terra de Ouro Prata 50 ML Grad. Alcool.: 44 % Vol.) Conteúdo : 50 ml  Garrafa : Miniatura   Prazo de Validade : Indeterminado  Evite o consumo Excessivo de Álcool,,,Grad. Alcool: 44%,25/6/2021 - 18:14:5,https://cachacaepinga.com.br/produto/201/miniatura-terra-de-ouro-prata
8,60d64d52e0db956271508449,Miniatura Terra de Ouro Balsamo,"R$ 9,90",Volume: 50 ml,Terra de Ouro Balsamo 50 ML Grad. Alcool.: 44 % Vol.) Conteúdo : 50 ml  Garrafa : Miniatura   Prazo de Validade : Indeterminado  Evite o consumo Excessivo de Álcool,,,Grad. Alcool: 44%,25/6/2021 - 18:14:9,https://cachacaepinga.com.br/produto/200/miniatura-terra-de-ouro-balsamo
9,60d64d52e0db95627150844a,Cachaça Hanavilhana Copa especial 1000 ml,"R$ 59,90",Volume: 1000 ml,Cachaça Hanavilhana Copa especial 1000 mlProduzida na cidade de Salinas (MG)Armazenado em tonéis de UmburanaConteúdo : 1000 mlGarrafa : Especial copa do mundo transparentePrazo de Validade : IndeterminadoGraduação : 42 %Evite o consumo Excessivo de Álcool,,,Grad. Alcool: 42%,25/6/2021 - 18:14:13,https://cachacaepinga.com.br/produto/198/cachaca-hanavilhana-copa-especial-1000-ml
