,_id,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,VOLUME,GRADUAÇÃO_ALCOÓLICA,RECIPIENTE_DE_ARMAZENAMENTO,LOCAL_DE_PRODUÇÃO,TEMPO_DE_ARMAZENAMENTO,PREMIOS,LINK,DATA_COLETA
0,60fc83a370b4b14381fe410d,Cachaça Evelhecida Jequitibá Da Torre 500 ML,"      R$43,90      ","Cachaça Evelhecida Jequitibá Da Torre 500 ML ORIGEM: Produzido em Amparo - São Paulo   Alambique da Torre Cachaça da Torre Envelhecida em Barril de Jequitibá Rosa por 18 meses. Grad. alc: 40% Volume: 500 ml. A Cachaça da Torre descansada foi premiada em 3o lugar (medalha de bronze) em 2008 e em 2o lugar (medalha de prata) em 2012, no Concurso de Avaliação de Cachaças, durante o Brazilian Meeting on Chemistry of Food and Beverages, supervisionado pelo Instituto de Química de São Carlos (IQSC-USP). ",Volume: 500 ML,,, Produzido em Amparo - São Paulo ,,,https://www.cachacaepresente.com.br/produtos/cachaca-evelhecida-jequitiba-da-torre-500-ml/,24/07/2021 17:37
1,60fc83a470b4b14381fe410e,"Cachaça Rio do Engenho Reserva Umburana, Itiúba, Louro Canela e Balsamo 670 ml","      R$89,90      ","Cachaça Rio do Engenho Reserva Umburana, Itiúba, Louro Canela e Balsamo 670 ml www.cachacaepresente.com.br ORIGEM: Cachaça Baiana produzida em Ilhéus - Bahia - Brasil Produzida pela Cachaça Rio do Engenho Cachaça de alambique destilada do mosto fermentado de caldo da cana-de-açúcar Não contém glúten. Validade Indeterminada. Madeira: Umburana/Amburana, Itiúba, Louro-Canela e Bálsamo Conteúdo: 670ml - Garrafa Paraíba Graduação Alcoólica: 38% Medidas: Altura: 20 cm - Diâmetro: 10,6 cm MAPA: BA 09778 00002-9 O envelhecimento mínimo de três anos em tonéis de madeira de Umburana/Amburana, Itiúba, Louro-Canela e Bálsamo, proporciona características inigualáveis ao produto. Suas notas amadeiradas, sua cor amarelo ouro e seus sabores que se sobrepõem criam um aroma marcante e um sabor inconfundível. PRÊMIOS: 2014 - Silver Medal - Concours Mondial de Bruxelles 2012 - 5.o Lugar - Ranking das Melhores Cachaças Envelhecidas da Revista VIP ",Volume: 670 ml, 38%," Umburana/Amburana, Itiúba, Louro-Canela e Bálsamo", Cachaça Baiana produzida em Ilhéus - Bahia - Brasil ,,"2014 - Silver Medal - Concours Mondial de Bruxelles
2012 - 5.o Lugar - Ranking das Melhores Cachaças Envelhecidas da Revista VIP",https://www.cachacaepresente.com.br/produtos/cachaca-rio-do-engenho-reserva-umburana-itiuba-louro-canela-e-balsamo-670-ml/,24/07/2021 17:38
2,60fc83a470b4b14381fe410f,CACHAÇA LUA NOVA AMBURANA 700 ML,"      R$49,90      ","CACHAÇA LUA NOVA AMBURANA 700 ML - 00038 ORIGEM: Cachaça Mineira produzida em Novorizonte - Minas Gerais - Brasil Produzida pela Cachaça Salinas Cachaça de alambique destilada do mosto fermentado de caldo da cana-de-açúcar Não contém glúten. Validade Indeterminada. Madeira: Amburana/Umburana, envelhecida de 18 a 24 meses Conteúdo: 670ml - Garrafa Cachaça de Minas Graduação Alcoólica: 42% Medidas: Altura : 29 cm Diâmetro : 7 cm MAPA: 06748 0004-6 Opinião: Blog MARVADA: ""A Lua Nova é uma cachaça produzida desde 1995 pelo Grupo Salinas com o mesmo rigor e cuidado artesanal em alambiques de cobre na produção de sua irmã Salinas. Mas ao contrário desta, a Lua Nova é envelhecida em tonéis de umburana o que lhe confere cor, perfume e maciez. é bebida leve e agradável capaz de atender aos paladares mais apurados"". ",Volume: 700 ML, 42%, Amburana/Umburana, Cachaça Mineira produzida em Novorizonte - Minas Gerais - Brasil ,,,https://www.cachacaepresente.com.br/produtos/cachaca-lua-nova-amburana-700-ml/,24/07/2021 17:38
3,60fc83a470b4b14381fe4110,Cachaça Carvalheira Flor de Limão 500 ml www.cachacaepresente.com.br,"      R$29,90      ","Cachaça Carvalheira Flor de Limão 500 ml cachacaepresente.com.br A Flor de Limão é uma cachaça branca, composta com extrato cítrico natural. Sua textura cristalina e seu sabor refrescante de limão lhe conferem uma personalidade suave, mas marcante, com características de uma bebida tipicamente tropical. Excelente para fazer uma bela caipirinha. Graduação Alcoólica: 38% Medidas da Garrafa: A: 24,0 C: 7,0 L: 7,0 ",Volume: 500 ml, 38%    ,,,,,https://www.cachacaepresente.com.br/produtos/cachaca-carvalheira-flor-de-limao-500-ml-www-cachacaepresente-com-br/,24/07/2021 17:38
4,60fc83a570b4b14381fe4111,Cachaça Artesanal Terra Dourada Ouro Carvalho Premium 750 ml,"      R$99,00      ","Cachaça Terra Dourada Ouro Carvalho Premium 750 ml www.cachacaepresente.com.br ORIGEM: Cachaça Catarinense produzida em Luiz Alves - Santa Catarina - Brasil Produzida pela Cachaça Terra Dourada Cachaça de alambique destilada do mosto fermentado de caldo da cana-de-açúcar Não contém glúten. Validade Indeterminada. Madeira: Envelhecida em média 04 anos em barris de Carvalho Tipo: Premium Conteúdo: 750ml - Garrafa Trinity (tipo exportação) Graduação Alcoólica: 40% A Cachaça Ouro Terra Dourada Linha Premium, mais sofisticada, é produzida artesanalmente e envelhecida em barris de carvalho, adquirindo coloração dourada e sabor suave. Garrafa com informações em inglês com bandeira do Brasil, tendo a arara como símbolo. PRÊMIO: MEDALHA DE OURO 2013 International Spirits Challenge ",Volume: 750 ml, 40%, Envelhecida em média 04 anos em barris de Carvalho, Cachaça Catarinense produzida em Luiz Alves - Santa Catarina - Brasil ,,"MEDALHA DE OURO 2013 International Spirits Challenge",https://www.cachacaepresente.com.br/produtos/cachaca-artesanal-terra-dourada-ouro-carvalho-premium-750-ml/,24/07/2021 17:38
5,60fc83a570b4b14381fe4112,Bebida Alcoólica Mista de Cachaça Com Mel - Santo Mel 700 ml,"      R$49,90      ","Bebida Alcoólica Mista de Cachaça Com Mel - Santo Mel 700 ml www.cachacaepresente.com.br Desenvolvida a base de cachaça destilada no cobre,com 27 % de teor alcoólico,mel natural de flora silvestre e caramelo Produto altamente diferenciado e direcionado para um público com paladar exigênte. A cachaça é um produto genuinamente brasileiro e faz parte da nossa história e da cultura nacional. O Santo Mel nasceu num bar em São Bernardo do Campo, no ABC paulista, inicialmente produzida de forma artesanal e comercializada entre amigos e frequentadores da casa. Devido à grande aceitação e procura, decidiu-se então partir para a produção industrial em larga escala. A fórmula original até hoje é mantida. Uma bebida alcoólica mista feita com ingredientes selecionados, cachaça de baixa acidez destilada em alambiques de cobre e mel natural da flora silvestre. Todos os processos, desde o plantio da cana de açúcar em solo adequado até a comercialização do produto, são acompanhados por profissionais altamente qualificados, garantindo assim alta qualidade e sabor único. É proibida a venda e o consumo de bebidas alcoólicas para menores de 18 anos.Se beber não dirija.Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor.Imagens meramente ilustrativas. ",Volume: 700 ml,,,,,,https://www.cachacaepresente.com.br/produtos/bebida-alcoolica-mista-de-cachaca-com-mel-santo-mel-700-ml/,24/07/2021 17:38
6,60fc83a570b4b14381fe4113,Cachaça com Cambuci 500 ml cachaça é Presente,"      R$49,90      ","Cachaça com Cambuci 500 ml cachaça é Presente ORIGEM: Bebida Mista Paulista produzida em São Bernardo do Campo - São Paulo - Brasil Cachaça de alambique destilada do mosto fermentado de caldo da cana-de-açúcar, curtida com cambuci, Cachaça curtida com frutas adoçado com mel e uvas passas Conteúdo: 500ml - Garrafa Seduction Graduação Alcoólica: 20% ",Volume: 500 ml, 20%,, Bebida Mista Paulista produzida em São Bernardo do Campo - São Paulo - Brasil ,,,https://www.cachacaepresente.com.br/produtos/cachaca-com-cambuci-500-ml-cachaca-e-presente/,24/07/2021 17:38
7,60fc83a670b4b14381fe4114,Cachaça de Alambique Terra Dourada Prata Caipirinha 750 ml,"      R$89,90      ","Cachaça de Alambique Terra Dourada Prata Caipirinha 750 ml www.cachacaepresente.com.br ORIGEM: Cachaça Catarinense produzida em Luiz Alves - Santa Catarina - Brasil Produzida pela Cachaça Terra Dourada Cachaça de alambique destilada do mosto fermentado de caldo da cana-de-açúcar Não envelhecida, apenas armazenada em madeiras neutras Tipo: Prata Conteúdo: 750ml - Garrafa Trinity (tipo exportação) Graduação Alcoólica: 40% A Cachaça Ouro Terra Dourada Prata é produzida artesanalmente e armazenada em barris de madeiras neutras que não interferem na cor. Pode ser apreciada pura ou em coquetéis - ""Ideal for Caipirinha"" Garrafa com informações em inglês com bandeira do Brasil, tendo a arara como símbolo.   PRÊMIO: MEDALHA DE PRATA 2013 International Spirits Challenge ",Volume: 750 ml, 40%,, Cachaça Catarinense produzida em Luiz Alves - Santa Catarina - Brasil ,,"MEDALHA DE PRATA 2013 International Spirits Challenge",https://www.cachacaepresente.com.br/produtos/cachaca-de-alambique-terra-dourada-prata-caipirinha-750-ml/,24/07/2021 17:39
8,60fc83a670b4b14381fe4115,Cachaça Artesanal de Alambique Carvalheira 750ml,"      R$119,90      ","Cachaça Artesanal de Alambique Carvalheira 750 ml - www.cachacaepresente.com.br Armazenadas em barris de cachaça de freijó proporcionando aromas e sabores únicos da legitima cachaça. Carvalheira Alambique preserva em seu espírito os mais tradicionais conceitos da puro e genuína cachaça brasileira , revelando à cada gole o sabor inconfundível de nossas origens. Origem: PE Madeira: Freijó Envelhecimento: 6 meses Grad. Alcoólica: 38% Volume: 750ml ",Volume: 750ml,, Freijó , PE ,,,https://www.cachacaepresente.com.br/produtos/cachaca-artesanal-de-alambique-carvalheira-750ml/,24/07/2021 17:39
9,60fc83a670b4b14381fe4116,Cachaça Fazenda Jeremias Prata 600 ML,"      R$49,00      ","Cachaça Fazenda Jeremias Prata 600 ML ORIGEM: Cachaça Mineira produzida em Dores do Turvo - Minas Gerais -Brasil Produzida pela Fazenda Jeremias, região da zona da Mata. Cachaça de alambique destilada do mosto fermentado de caldo da cana-de-açúcar Madeira: Armazenada 02 anos em tonéis de jequitibá Conteúdo: 670ml Graduação Alcoólica: 42% A Cachaça Fazenda Jeremias possui canaviais próprios, cultivado sem o uso de agro-tóxicos e utiliza o mesmo processo natural para destilação, utilizando alambiques de cobre. Sem pressa a cachaça vai sendo destilada e em seguida lentamente resfriada com todo controle e capricho. O armazenamento da Cachaça Fazenda Jeremias é feito em tonéis de jequitibá no período de dois anos,e depois triplicamente filtrada e engarrafada na própria fazenda para sua tranquilidade e garantia. ",Volume: 600 ML, 42%, Armazenada 02 anos em tonéis de jequitibá, Cachaça Mineira produzida em Dores do Turvo - Minas Gerais -Brasil ,,,https://www.cachacaepresente.com.br/produtos/cachaca-fazenda-jeremias-prata-600-ml/,24/07/2021 17:39
