,_id,NOME_DA_CACHAÇA,PREÇO,VOLUME,DESCRIÇÃO_DA_CACHAÇA,LOCAL_DE_PRODUÇÃO,RECIPIENTE_DE_ARMAZENAMENTO,TEMPO_DE_ARMAZENAMENTO,GRADUAÇÃO_ALCOÓLICA,PREMIOS,DATA_COLETA,LINK
0,60d61d6bfad9153ab6f5d761,Cachaça Dom Tápparo Envelhecida 1000ml,R$ 24.00,Volume: 1000ml,Cachaça envelhecida por 1 ano em barris de carvalho.,Local: Mirassol/SP,Madeira: Carvalho,Envelhecimento: 1 anos,Grad. Alcoólica: 38%,,23/06/2021 15:48,https://www.cachacasbrasileiras.com.br/cachacas/cachaca-dom-tapparo-envelhecida-1-ano-1000ml
1,60d61d6bfad9153ab6f5d762,Cachaça Cabaré Amburana Dom Tápparo 700ml,R$ 37.00,Volume: 700ml,"A Cachaça Cabaré Ouro é armazenada por 6 meses em tonéis de amburana. A cachaça é uma parceria da dupla de cantores Leonardo e Eduardo Costa, com o Engenho Dom Tápparo.",Local: Mirassol/SP,Madeira: Amburana,Envelhecimento: 6 meses,Grad. Alcoólica: 38%,"2020 - Medalha de Duplo Ouro no Concurso Vinhos e Destilados do Brasil, realizado em São Paulo",23/06/2021 15:48,https://www.cachacasbrasileiras.com.br/cachacas/cachaca-cabare-amburana-dom-tapparo-700ml
2,60d61d6cfad9153ab6f5d763,Cachaça Asa Branca Amburana 670ml,R$ 38.00,Volume: 670ml,"De uma forma artesanal a quase 50 anos de produz a Cachaça Asa Branca em Salinas Minas Gerais, contamos com a generosidade do Criador do Universo que, nos entregou o clima apropriado e nos permite produzir o produto de Extrema Qualidade!Nariz: Uma percepção levemente adocicada e uma pequena acidez lembrando frutas cítricas, com notas combinando castanha do Pará e damasco cristalizado. Boca: A Amburana entrega um sabor amadeirado arrastando um mix de frutas cristalizadas e defumados, a impressão etĩlica quase não é percebida pois sua característica invade o palato de uma forma intensa.Retrogosto: Podemos perceber que a impressão alcoólica praticamente se esvai após breves minutos, ficando apenas a lembrança amadeirada cítrica e frutada, pairando sobre o palato.",Local: Salinas/MG,Madeira: Amburana,Envelhecimento: 2 anos,Grad. Alcoólica: 40%,,23/06/2021 15:48,https://www.cachacasbrasileiras.com.br/cachacas/cachaca-asa-branca-amburana-670ml
3,60d61d6cfad9153ab6f5d764,Cachaça Cabaré Prata Dom Tápparo 700ml,R$ 27.00,Volume: 700ml,"A Cachaça Cabaré Prata é mais uma parceria da dupla de cantores Leonardo e Eduardo Costa, com o Engenho Dom Tápparo.",Local: Mirassol/SP,Madeira: Amendoim,Envelhecimento: Não envelhecida,Grad. Alcoólica: 38%,"2020 - Medalha de Prata no Concurso Vinhos e Destilados do Brasil, realizado em Atibaia/SP",23/06/2021 15:48,https://www.cachacasbrasileiras.com.br/cachacas/cachaca-cabare-prata-dom-tapparo-700ml
4,60d61d6cfad9153ab6f5d765,Cachaça São Luiz Prata Amendoim 600ml,R$ 45.00,Volume: 600ml,"Cachaça nova, prata, descansada por seis meses em tonéis de amendoim, que confere menor acidez e sabor aprimorado. Perfeita para elaboração de drinks e coquetéis, por garantir ao paladar uma experiência agradável e, ainda assim, muito marcante.",Local: Lençóis Paulista/SP,Madeira: Amendoim,Envelhecimento: 6 meses,Grad. Alcoólica: 42%,"2020 - 28º Lugar no IV Ranking da Cúpula da Cachaça
2018 - 6° Lugar no III Ranking da Cúpula da Cachaça na Categoria Prata
2016 - 2° Lugar no Superior Taste Award - Bruxelas/Bélgica / Conferido pelo ITQI
2015 - 2° Lugar categoria ""destilados"" no Spirits Selection 2015. Etapa realizada no Brasil.2012 - 3° Lugar na II Expocachaça dose dupla""- São Paulo/SP - Categoria: Cachaças Brancas e Envelhecidas ""Degustação as Cegas”2011 - 5° Lugar na Expocachaça Dose Dupla - São Paulo/SP - Categoria: Cachaças Brancas ""Degustação as Cegas”",23/06/2021 15:48,https://www.cachacasbrasileiras.com.br/cachacas/cachaca-sao-luiz-descansada-amendoim-600ml
5,60d61d6cfad9153ab6f5d766,Cachaça São Luiz Extra Premium Carvalho 600ml,R$ 95.00,Volume: 600ml,"Excelência sensorial máxima. Cachaça dourada, 100% envelhecida por 36 meses em barris de carvalho, promovendo uma bebida única. Tanto o aroma quanto o sabor afloram sua nobreza e requinte, tornando-a uma companhia ideal para se apreciar entre pessoas e momentos especiais.",Local: Lençóis Paulista/SP,Madeira: Carvalho,Envelhecimento: 3 anos,Grad. Alcoólica: 42%,"2020 - 9º Lugar no IV Ranking da Cúpula da Cachaça
2018 - 13ª colocada no 3º Ranking Cúpula da Cachaça
2016 - 2ª colocada no Superior Taste Award - Bruxelas/Bélgica / Conferido pelo ITQI",23/06/2021 15:48,https://www.cachacasbrasileiras.com.br/cachacas/cachaca-sao-luiz-extra-premium-carvalho-600ml
6,60d61d6cfad9153ab6f5d767,Cachaça Famosinha de Minas 600ml,R$ 27.00,Volume: 600ml,"A cachaça Famosinha de Minas é armazenada em tonéis de Amburana por 2 anos e produzida na cidade de Papagaios/ MG, no Engenho Buriti.Uma cachaça deliciosamente equilibrada. Ressalta sabor frutado e floral.Descansada por 2 anos, possui sabor único que combina notas de canela, aromas de baunilha e banana.
Seu sabor equilibrado remete também à notas herbais e florais, no palato termina com uma sensação picante de baunilha e especiarias.
O Engenho  Buriti se localiza em Papagaios, região centro-oeste do Estado de Minas Gerais. Situado na Fazenda Pontinha, nasceu do sonho da família do Sr. Eros Vieira de produzir Cachaça de qualidade, mantendo todo o tradicionalismo do produto, mas conciliando praticas modernas de produção e controle de qualidade. Comparáveis aos melhores destilados do mundo.
O projeto se iniciou em 2008 e desde o inicio a Cachaça encantou a exigentes degustadores por possuir características únicas, sabor encorpado e uma excelente qualidade. De lá para cá o Engenho acumula prêmios em todas as suas linhas de produto, que recebem a assinatura do masterblend Armando Del Bianco.Posso reconhecer as cachaças do Engenho Buriti em qualquer lugar do mundo, pois o sabor é único, delicioso e inconfundível.  ""Armando Del Bianco""",Local: Papagaios/MG,Madeira: Amburana,Envelhecimento: 2 anos,Grad. Alcoólica: 42%,"2014 - Medalha de Grand Gold (Melhor Cachaça) no Concurso Mundial de Bruxelas - Spirits Selection
2014 - Medalha de Prata na Expocachaça
2013 - Medalha de Ouro na Expocachaça",23/06/2021 15:48,https://www.cachacasbrasileiras.com.br/cachacas/cachaca-famosinha-de-minas-600ml
7,60d61d6cfad9153ab6f5d768,Cachaça Weber Haus Extra Premium Reserva Especial 6 Anos 750ml,R$ 240.00,Volume: 750ml,"As qualidades desta cachaça são um brinde aos sentidos. Ao buscar sutilizas de aromas e comparar sabores encontramos surpresas onde a madeira nobre se destaca e evolui. Sem duvida um produto que pode acompanhar aperitivos e pratos como bolinhos de lula ou polvo e um delicioso risoto de camarão.
Os atributos desta cachaça enaltecem a vocação da Família Weber e recebem o reconhecimento internacional em vários concursos.Cachaça envelhecida 6 anos, sendo 5 anos em barris de Carvalho Francês e 1 ano em Bálsamo.",Local: Ivoti/RS,,Envelhecimento: 6anos (5 anos no Carvalho e 1 ano no Bálsamo),Grad. Alcoólica: 38%,"2020 - Medalha de Ouro no Concurso Vinhos e Destilados do Brasil, realizado em Atibaia/SP
2020 - 11º Lugar no IV Ranking da Cúpula da Cachaça
2019 - Medalha de Duplo Ouro no Concurso Vinhos e Destilados do Brasil, realizado em São Paulo
2018 - 5° Lugar no III Ranking da Cúpula da Cachaça
2016 - Medalha de Prata no Concurso Feira Expocachaça Minas Gerais
2016 - 8° Lugar no III Ranking da Cúpula da Cachaça
2015 - Medalha de Ouro no Concurso Mundial de Bruxelas, edição Brasil
2014 - 16° Lugar no III Ranking da Cúpula da Cachaça
2012 - Medalha de Ouro na 21ª Expocachaça, degustação às cegas Dose Dupla
2011 - Medalha de Prata no Concurso Mundial de Bruxelas
2010 - Medalha de Ouro no Concurso Mundial de Bruxelas
2009 - Revista Playboy entre as 20 melhores Cachaças do Brasil
2009 - Medalha de Ouro no Concurso Mundial de Bruxelas
2007 - Medalha de Prata no Concurso Mundial de Bruxelas
2006 - Cinco Estrelas no Concurso Go Where Gastronomia em São Paulo
2006 - Medalha de Ouro no Concurso Mundial de Bruxelas
2005 - Medalha de Prata no Concurso Mundial de Bruxelas",23/06/2021 15:48,https://www.cachacasbrasileiras.com.br/cachacas/cachaca-weber-haus-extra-premium-reserva-especial-6-anos-750ml
8,60d61d6dfad9153ab6f5d769,Cachaça Guaraciaba Prata 970ml,R$ 27.00,Volume: 970ml,"Cachaça fabricada desde 1960, lá em Guaraciaba/MG, com período mínimo de um ano de armazenamento em tonéis de Jequitibá.O Começo:Em 1960, o Sr. José Maria Santana, mais conhecido como Zé Santana, começou a produzir cachaça em um pequeno engenho movido à roda d’água. O seu produto era vendido e entregue nos mercados da região no lombo de burros pelos tropeiros.A fama da cachaça correu a região e aumentou a demanda, fazendo com que o pequeno engenho fosse trocado por um maior, movido a vapor. Em 1965, é registrada a marca Guaraciaba e a tropa de burros foi trocada por um caminhão. Em poucos anos, a marca já era uma das preferidas na capital.",Local: Guaraciaba/MG,Madeira: Jequitibá,Envelhecimento: 1 ano,Grad. Alcoólica: 40%,"2020 - Medalha de Ouro no Concurso Mundial de Bruxelas
2018 - Medalha de Prata no Concurso Mundial de Bruxelas
2017 - Medalha de Prata na Expocachaça",23/06/2021 15:49,https://www.cachacasbrasileiras.com.br/cachacas/cachaca-guaraciaba-prata-970ml
9,60d61d6dfad9153ab6f5d76a,Cachaça Marc Carvalho Americano 700ml,R$ 70.00,Volume: 700ml,"Marc 40 é um blend de barris ex-Tennessee Whiskey com barris de Carvalho Americano de primeiro uso, produzida com maestria e com os mais rigorosos padrões de qualidade, prezando pela excelência e complexidade sensorial.Macia e suave, perfeita para degustar pura ou na criação de coquetéis.
Sem dúvida um blend que vai surpreender até os mais exigentes paladares!
Rica, suave, equilibrada, impecável!",Local:,Madeira: Carvalho ex-Tennessee Whiskey e Carvalho Americano (primeiro uso),Envelhecimento: 1 ano e meio em barris deex-Tennessee Whiskey e 1 ano em Carvalho Americano,Grad. Alcoólica: 40%,,23/06/2021 15:49,https://www.cachacasbrasileiras.com.br/cachacas/cachaca-marc-carvalho-americano-700ml
