,_id,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,INFORMAÇÕES_DO_PRODUTO,TEMPO_DE_ARMAZENAMENTO,MODO_DE_PRODUÇÃO,LOCAL_DE_PRODUÇÃO,RECIPIENTE_DE_ARMAZENAMENTO,VOLUME,GRADUAÇÃO_ALCOÓLICA,LINK,DATA_COLETA
0,60d9e8750b1a752741f73cee,Cachaça Amada Castanheira 750 ml,"R$ 149,00"," Cachaça Amada Castanheira 750 ml, produzida em Dias D'Ávila - BA. Armazenada por 6 anos em tonéris de castanheira que lhe imprime um suave e característico sabor do fruto da castanheira, tornado-a levemente adocicada. "," O Alambique onde é produzida a cachaça amada se encontra às margens do Rio Jacuípe, no município de Dias D'ávila/BA. Esse município é conhecido como o local onde se encontram as melhores fonte de água da Bahia, com solos e clima excepcionalmente apropriados para o cultivo de cana-de-açúcar. O Alambique onde é produzido essa cachaça é atualamente um dos maiores alambiques da Bahia, e sua produção artesanal obedece a todos os padrões de boas práticas de produção de Cachaça. ",,"Modo de Produção:  CACHAÇA DE ALAMBIQUE, OU ARTESANAL ", DIAS D'ÁVILA - BA ,Barril:  CASTANHEIRA ,Volume:  750 ML ,Graduação Alcóolica:  40% ,https://www.cachacacanela-de-ema.com.br/marcas/cachaca-amada/cachaca-amada-castanheira-750-ml--p,25/06/2021 22:39
1,60d9e8750b1a752741f73cef,Cachaça Amada Ouro 700 ml | Empório Cachaça Canela-de-Ema ,"R$ 76,00"," Cachaça Amada Ouro 680 ml , produzida no município de Dias D'Ávila - BA. Armazenada em Barrís de Carvalho Europeu de 2 a 3 anos, com teor alcóolico de 40%. Sabor Intenso e marcante carcterístico de amêndoas e tanino. "," O Alambique onde é produzida a cachaça amada se encontra às margens do Rio Jacuípe, no município de Dias D'ávila/BA. Esse município é conhecido como o local onde se encontram as melhores fonte de água da Bahia, com solos e clima excepcionalmente apropriados para o cultivo de cana-de-açúcar. O Alambique onde é produzido essa cachaça é atualamente um dos maiores alambiques da Bahia, e sua produção artesanal obedece a todos os padrões de boas práticas de produção de Cachaça. ",,,,,Volume: 700 ml,,https://www.cachacacanela-de-ema.com.br/marcas/cachaca-amada/cachaca-amada-castanheira-750-ml--p,25/06/2021 22:39
2,60d9e8760b1a752741f73cf0,Cachaça Amada Prata 700 ml,"R$ 72,50"," Cachaça Amada Prata 700 ml produzida em Dias D'Ávila - BA, armazenada em Iox por 3 meses. Acidez leve. Ideal para drinks, frutos do mar e peixes. Carnes Brancas e queijos leves   "," O Alambique onde é produzida a cachaça amada se encontra às margens do Rio Jacuípe, no município de Dias D'ávila/BA. Esse município é conhecido como o local onde se encontram as melhores fonte de água da Bahia, com solos e clima excepcionalmente apropriados para o cultivo de cana-de-açúcar. O Alambique onde é produzido essa cachaça é atualamente um dos maiores alambiques da Bahia, e sua produção artesanal obedece a todos os padrões de boas práticas de produção de Cachaça.   ",,, DIAS D'ÁVILA - BA ,Barril:  INOX ,Volume:  700 ML ,Graduação Alcóolica:  40% ,https://www.cachacacanela-de-ema.com.br/marcas/cachaca-amada/cachaca-amada-castanheira-750-ml--p,25/06/2021 22:39
3,60d9e8760b1a752741f73cf1,Caipi Caldas 500 ML,"R$ 99,00"," Produzida pela Cachaçaria Vale das Águas Quentes, localizada em Caldas Novas-GO, a Caipi Caldas é uma bebida alcoólica mista, composta de cachaça, mel e limão do tipo Ice Drink, ou seja, para ser servida gelada. Feita com a cachaça Vale das Águas quentes, puro mel e limão, possui alta qualidade e um maravilhoso sabor refrescante, ideal para ser apreciada em dias quentes e uma ótima opção para ser servida em festas e confraternizações. "," Bebida alccoólica mista, composta por cachaça, mel e limão, a Caipi Caldas é produzida pea Cachaçaria Vale das Águas Quentes, empresa de Caldas Novas, Goiás. Trazendo a qualidade dos produtos Vale da Águas Quentes, a Caipi Caldas é uma bebida do tipo ice drink, ou sej,a para ser servida gelada, sendo uma excelente opção para dias quentes.   ",,Modo de Produção:  ALAMBIQUE  , CALDAS NOVAS - GO ,Barril:  TONÉIS DE ALUMÍNIO ,Volume:  500 ML ,,https://www.cachacacanela-de-ema.com.br/marcas/cachaca-amada/cachaca-amada-castanheira-750-ml--p,25/06/2021 22:39
4,60d9e8760b1a752741f73cf2,Cachaça Cambéba Extra Premium - 5 anos - 700ml  | Empório Cachaça Canela-de-Ema ,"R$ 215,00"," Cachaça Cambéba Orgânica Extra Premium 5 anos 700 ml. O alambique Cambéba é pioneiro na produção de cachaça orgânica no Brasil, desde 2003. Todas as Cachaças Cambéba são premiadas. Saiba mais sobre a nomenclatura da cachaça através desse Post do nosso Blog: Cachaça com Madeira e Sem Madeira ","  Cachaça Cambéba Orgânica - Alexânia GO   Em 1808, o então Cap. José Félix de Azevedo e Sá, do regimento marinha do Ceará e Jaguaribe, após combater e aprisionar vários piratas franceses ao largo da cidade costeira de Pecém-Ceará, recebeu a missão do Presidente da Província do Ceará, Borba Alardo, para conduzir os prisioneiros a cadeia pública de Pernambuco evitando a viagem marítima devida a possibilidade de resgate dos Piratas. Chegando a capital pernambucana conheceu o processo de destilar uma Garapa fermentada de cana de açúcar. Trouxe o processo para seu sítio no município de Caucaia – CE. Deu-se então a fabricar cachaça artesanal de alambique. Com seu espírito Guerreiro, continuou a produzir mesmo no período de conflito da confederação do Equador, quando já Coronel foi Presidente da Província do Ceará. As cachaças CAMBÈBA passam por um delicado processo, que vai da moagem da Cana ao armazenamento em Barris de Carvalho. Tudo isso para produzir a Cachaça Orgânica mais querida do Brasil Hoje a Cachaça CAMBÉBA é produzida em sua mais autêntica fórmula na cidade de Alexânia - Goiás – Brasil. Fotos do Antigo Alambique Cambéba no Ceará:      ",Tempo de Envelhecimento: 5 anos,Modo de Produção:  Cachaça Artesanal Orgânica , Alexânia - GO ,Barril:  Carvalho Americano ,Volume:  700 ml ,Graduação Alcóolica:  39% ,https://www.cachacacanela-de-ema.com.br/marcas/cachaca-amada/cachaca-amada-castanheira-750-ml--p,25/06/2021 22:39
5,60d9e8760b1a752741f73cf3,Cachaça Cambéba Extra Premium - 7 anos -  700 ml  | Empório Cachaça Canela-de-Ema ,"R$ 250,00"," Cachaça Cambéba Extra Premium Envelhecida por pelo penos 7anos em barris de Carvalhos Americano. Saiba mais sobre as nomenclaturas das cachaça nesse post do nosso blog: ""Cachaça com madeira e sem madeira"" ","  Cachaça Cambéba Orgânica - Alexânia GO Em 1808, o então Cap. José Félix de Azevedo e Sá, do regimento marinha do Ceará e Jaguaribe, após combater e aprisionar vários piratas franceses ao largo da cidade costeira de Pecém-Ceará, recebeu a missão do Presidente da Província do Ceará, Borba Alardo, para conduzir os prisioneiros a cadeia pública de Pernambuco evitando a viagem marítima devida a possibilidade de resgate dos Piratas. Chegando a capital pernambucana conheceu o processo de destilar uma Garapa fermentada de cana de açúcar. Trouxe o processo para seu sítio no município de Caucaia – CE. Deu-se então a fabricar cachaça Artesanal de alambique. Com seu espírito Guerreiro, continuou a produzir mesmo no período de conflito da confederação do Equador, quando já Coronel foi Presidente da Província do Ceará. As cachaças artesanais CAMBÈBA passam por um delicado processo, que vai da moagem da Cana ao armazenamento em Barris de Carvalho. Tudo isso para produzir a Cachaça Artesanal Orgânica mais querida do Brasil Hoje a Cachaça CAMBÉBA é produzida em sua mais autêntica fórmula na cidade de Alexânia - Goiás – Brasil. Fotos do Antigo Alambique Cambéba no Ceará:    ",Tempo de Envelhecimento: 7 anos,Modo de Produção:  Cachaça Artesanal Orgânica , Alexânia - GO ,Barril:  Carvalho Americano ,Volume:  700 ml ,Graduação Alcóolica:  39% ,https://www.cachacacanela-de-ema.com.br/marcas/cachaca-amada/cachaca-amada-castanheira-750-ml--p,25/06/2021 22:39
6,60d9e8770b1a752741f73cf4,Cachaça Catarina Black 750 ml,"R$ 249,00"," Cachaça Catarina Black 750 ml. O mais novo lançamento entre as Cachaças Catarinas, foi envelhecida por dois anos em barris de carvalho americano de segundo uso, e passou por mais um ano de envelhecimento em barril de jatobá. De grande complexidade sensorial, onde não só as características do carvalho americano são notadas, pois foram adicionados notas herbáceas desta maravilhosa madeira nacional que é o jequitibá. Sua cor também é um marrom avermelhado "," Em 1889 aportava em Santos o navio a vapor Vincenzo Florio, proveniente da cidade de Genova, Itália, Naquele dia desembarcaram várias famílias entre elas a de ERNESTO FIORAVANTI e CATERINA FIORAVANTI, traziam consigo seus filhos e muita vontade de trabalhar nesta nova terra. Produtores de vinho Bardolino  na região do Veneto  e da conhecida aguardente italiana grappa, e como agricultores que eram,  resolverem procurar novas terras agricultáveis na então província de São Paulo. Por muito tempo Dona Caterina, seu marido e filhos, agora mais alguns que nasceram no Brasil, trabalharam de sol a sol nas lavouras de café até conseguirem juntar dinheiro para realizarem o sonho de comprarem uma propriedade, estabelecendo-se no início do século XX na região conhecida como Araraquarense. Passado alguns anos, a agora próspera família Fioravanti começou a desbravar novas terras e acabou por chegar a uma região denominada Alta Paulista, hoje Nova Alta Paulista. Isso era início dos anos 40, com o auge da II guerra Mundial, as condições ficavam cada vez mais difíceis a cada dia, mas isso não foi motivo para tirar o entusiasmo agora dos filhos de Dona Caterina, tendo em vista que ela há pouco tempo falecera. E com este mesmo entusiasmo fundaram naquele lugar, uma cidade de nome Dracena A família Fioravanti ,naqueles primórdios, possuíam uma propriedade em sociedade chamada Fazenda Tocantins, passado alguns anos, por conta da dissolução da sociedade entre os irmãos ela foi desmembrada em várias outras, ficando uma delas para Oswaldo Fioravanti, um dos filhos de Dona Caterina. Querendo então homenagear a sua genitora e matriarca da família Fioravanti, Oswaldo deu o nome a esta nova propriedade de Fazenda Santa Catarina, que mantém este nome até os dias atuais. Hoje a fazenda Santa Catarina juntamente com seus proprietários, netos e bisnetos de Dona Caterina, mantém o entusiasmo dos velhos tempos, área de plantio de café outrora teve na década de 70 seu rumo mudado para a pecuária de corte e gado de elite, mantendo por muito tempo esta condição até início do século XXI, onde uma nova cultura entrou para se fixar nas terras de região e hoje praticamente se estabelecer definitivamente, a Cana de açúcar. Planta versátil, de açúcar aos plásticos biodegradáveis, passando pela produção de bioenergia até a nossa deliciosa cachaça, tudo se aproveita nesta planta, que nos foi introduzida nos primórdios da colonização por Martim Afonso de Souza. E trilhando este caminho, em 2008, os proprietários da fazenda Santa Catarina querendo agregar mais um negócio em sua propriedade resolveram montar a Destilaria Vitória, uma empresa destinada a fabricar cachaça da mais alta  qualidade, realmente um produto de excelência sensorial e química, com vários prêmios nacionais e internacionais em seu currículo,  hoje o lar da CACHAÇA CATARINA, nome em homenagem a esta senhora que foi a inspiração. ",,Modo de Produção:  CACHAÇA DE ALAMBIQUE , DRACENA-SP ,Barril:  CARVALHO  E JATOBÁ ,Volume:  750 ML ,Graduação Alcóolica:  40% ,https://www.cachacacanela-de-ema.com.br/marcas/cachaca-amada/cachaca-amada-castanheira-750-ml--p,25/06/2021 22:39
7,60d9e8770b1a752741f73cf5,Cachaça Catarina Branca 750 ml,"R$ 84,50"," Cachaça Catarina Branca 750 ml, Armazenada em dornas de Amendoim do Campo que não altera significativamente o sabor da cachaça, entretanto reduz sua acidez.   "," Em 1889 aportava em Santos o navio a vapor Vincenzo Florio, proveniente da cidade de Genova, Itália, Naquele dia desembarcaram várias famílias entre elas a de ERNESTO FIORAVANTI e CATERINA FIORAVANTI, traziam consigo seus filhos e muita vontade de trabalhar nesta nova terra. Produtores de vinho Bardolino  na região do Veneto  e da conhecida aguardente italiana grappa, e como agricultores que eram,  resolverem procurar novas terras agricultáveis na então província de São Paulo. Por muito tempo Dona Caterina, seu marido e filhos, agora mais alguns que nasceram no Brasil, trabalharam de sol a sol nas lavouras de café até conseguirem juntar dinheiro para realizarem o sonho de comprarem uma propriedade, estabelecendo-se no início do século XX na região conhecida como Araraquarense. Passado alguns anos, a agora próspera família Fioravanti começou a desbravar novas terras e acabou por chegar a uma região denominada Alta Paulista, hoje Nova Alta Paulista. Isso era início dos anos 40, com o auge da II guerra Mundial, as condições ficavam cada vez mais difíceis a cada dia, mas isso não foi motivo para tirar o entusiasmo agora dos filhos de Dona Caterina, tendo em vista que ela há pouco tempo falecera. E com este mesmo entusiasmo fundaram naquele lugar, uma cidade de nome Dracena A família Fioravanti ,naqueles primórdios, possuíam uma propriedade em sociedade chamada Fazenda Tocantins, passado alguns anos, por conta da dissolução da sociedade entre os irmãos ela foi desmembrada em várias outras, ficando uma delas para Oswaldo Fioravanti, um dos filhos de Dona Caterina. Querendo então homenagear a sua genitora e matriarca da família Fioravanti, Oswaldo deu o nome a esta nova propriedade de Fazenda Santa Catarina, que mantém este nome até os dias atuais. Hoje a fazenda Santa Catarina juntamente com seus proprietários, netos e bisnetos de Dona Caterina, mantém o entusiasmo dos velhos tempos, área de plantio de café outrora teve na década de 70 seu rumo mudado para a pecuária de corte e gado de elite, mantendo por muito tempo esta condição até início do século XXI, onde uma nova cultura entrou para se fixar nas terras de região e hoje praticamente se estabelecer definitivamente, a Cana de açúcar. Planta versátil, de açúcar aos plásticos biodegradáveis, passando pela produção de bioenergia até a nossa deliciosa cachaça, tudo se aproveita nesta planta, que nos foi introduzida nos primórdios da colonização por Martim Afonso de Souza. E trilhando este caminho, em 2008, os proprietários da fazenda Santa Catarina querendo agregar mais um negócio em sua propriedade resolveram montar a Destilaria Vitória, uma empresa destinada a fabricar cachaça da mais alta  qualidade, realmente um produto de excelência sensorial e química, com vários prêmios nacionais e internacionais em seu currículo,  hoje o lar da CACHAÇA CATARINA, nome em homenagem a esta senhora que foi a inspiração   ",,Modo de Produção:  CACHAÇA DE ALAMBIQUE , DRACENA-SP ,Barril:  AMENDOIM ,Volume:  750 ML ,Graduação Alcóolica:  42% ,https://www.cachacacanela-de-ema.com.br/marcas/cachaca-amada/cachaca-amada-castanheira-750-ml--p,25/06/2021 22:39
8,60d9e8770b1a752741f73cf6,Cachaça Catarina Reserva Cabreúva 750 ml,"R$ 89,90"," Cachaça Catarina Reserva Cabreúva 750 ml, armazenada em dornas de cabreúva vermelha, parente, mas não a mesma madeira do Bálsamo. Cachaça super premiada no Brasil e no exterior. Para saber mais a respeito da influência desta e de outras madeiras no aroma e sabor da cachaça, visite esse post do nosso blog: Dicas sobre Aroma, Cor e Sabor da Cachaça envelhecida em 21 diferentes Tipos de Madeira? "," Em 1889 aportava em Santos o navio a vapor Vincenzo Florio, proveniente da cidade de Genova, Itália, Naquele dia desembarcaram várias famílias entre elas a de ERNESTO FIORAVANTI e CATERINA FIORAVANTI, traziam consigo seus filhos e muita vontade de trabalhar nesta nova terra. Produtores de vinho Bardolino  na região do Veneto  e da conhecida aguardente italiana grappa, e como agricultores que eram,  resolverem procurar novas terras agricultáveis na então província de São Paulo. Por muito tempo Dona Caterina, seu marido e filhos, agora mais alguns que nasceram no Brasil, trabalharam de sol a sol nas lavouras de café até conseguirem juntar dinheiro para realizarem o sonho de comprarem uma propriedade, estabelecendo-se no início do século XX na região conhecida como Araraquarense. Passado alguns anos, a agora próspera família Fioravanti começou a desbravar novas terras e acabou por chegar a uma região denominada Alta Paulista, hoje Nova Alta Paulista. Isso era início dos anos 40, com o auge da II guerra Mundial, as condições ficavam cada vez mais difíceis a cada dia, mas isso não foi motivo para tirar o entusiasmo agora dos filhos de Dona Caterina, tendo em vista que ela há pouco tempo falecera. E com este mesmo entusiasmo fundaram naquele lugar, uma cidade de nome Dracena A família Fioravanti ,naqueles primórdios, possuíam uma propriedade em sociedade chamada Fazenda Tocantins, passado alguns anos, por conta da dissolução da sociedade entre os irmãos ela foi desmembrada em várias outras, ficando uma delas para Oswaldo Fioravanti, um dos filhos de Dona Caterina. Querendo então homenagear a sua genitora e matriarca da família Fioravanti, Oswaldo deu o nome a esta nova propriedade de Fazenda Santa Catarina, que mantém este nome até os dias atuais. Hoje a fazenda Santa Catarina juntamente com seus proprietários, netos e bisnetos de Dona Caterina, mantém o entusiasmo dos velhos tempos, área de plantio de café outrora teve na década de 70 seu rumo mudado para a pecuária de corte e gado de elite, mantendo por muito tempo esta condição até início do século XXI, onde uma nova cultura entrou para se fixar nas terras de região e hoje praticamente se estabelecer definitivamente, a Cana de açúcar. Planta versátil, de açúcar aos plásticos biodegradáveis, passando pela produção de bioenergia até a nossa deliciosa cachaça, tudo se aproveita nesta planta, que nos foi introduzida nos primórdios da colonização por Martim Afonso de Souza. E trilhando este caminho, em 2008, os proprietários da fazenda Santa Catarina querendo agregar mais um negócio em sua propriedade resolveram montar a Destilaria Vitória, uma empresa destinada a fabricar cachaça da mais alta  qualidade, realmente um produto de excelência sensorial e química, com vários prêmios nacionais e internacionais em seu currículo,  hoje o lar da CACHAÇA CATARINA, nome em homenagem a esta senhora que foi a inspiração     ",,Modo de Produção:  CACHAÇA DE ALAMBIQUE , DRACENA-SP ,Barril:  CABREÚVA VERMELHA ,Volume:  750 ML ,Graduação Alcóolica:  42% ,https://www.cachacacanela-de-ema.com.br/marcas/cachaca-amada/cachaca-amada-castanheira-750-ml--p,25/06/2021 22:39
9,60d9e8770b1a752741f73cf7,Cachaça Catarina Reserva Carvalho 750 ml,"R$ 89,90"," Cachaça Catarina Reserva Carvallho, permanece por 2 anos em Barris de Carvalho Europeu. Cachaça suave com aroma e sabores de nozes e amêndoas. ",   Tipo:  Origem: Teor Alcoolico: Armazedana em:  Volume: Modo de Produção: Tradição:   OURO   DRACENA - SP   42%   CARVALHO   750 ML   CACHAÇA ARTESANAL OU DE ALAMBIQUE   DESDE 2008   ,,Modo de Produção:  CACHAÇA ARTESANAL OU DE ALAMBIQUE , DRACENA - SP ,Barril:  CARVALHO ,Volume:  750 ML ,Graduação Alcóolica:  42% ,https://www.cachacacanela-de-ema.com.br/marcas/cachaca-amada/cachaca-amada-castanheira-750-ml--p,25/06/2021 22:39
