,_id,NOME_DA_CACHAÇA,DESCRIÇÃO_DA_CACHAÇA,PREÇO,PALAVRAS_COMUMENTE_USADAS,DATA_COLETA,LINK
0,60f87f31e914591b0b3a9347,Cachaça Pitu,"Essa pinga foi surpreendentemente uma das baratas com a maior nota. Na minha cabeça eu sempre achei que velho barreiro e 51 eram claramente melhores que Pitu, mas devo dizer que, depois do teste, eu discordo. Essa pinga claramente não é uma Brastemp, mas ela tem um aroma meio fraco de anis (não aquele super enjoativo de absinto barato), é bastante doce, e apesar de enjoativa para o meu gosto, me surpreendeu positivamente.","R$ 9,62","Palavras comumente usadas: Doce, cheiro de álcool, delicada, anis",21/7/2021 - 15:38:38,https://ceiaclandestina.wordpress.com/2021/06/06/eu-experimentei-quase-todas-as-pingas-do-supermercado-pra-voce-nao-gastar-dinheiro-a-toa/
1,60f87fc4e914591b0b3a9348,Cachaça 51,"Não foi uma das pingas mais aclamadas. Bastante forte (em aroma e gosto) com álcool bastante pronunciado nos dois sentidos também. Acaba sendo uma pinga para caipirinha, visto que beber puro requer ou tragédia na vida ou orçamento mais baixo (mas mesmo com orçamento baixo dá pra fazer caipirinhas ótimas). Dito isso, depois de fazer o teste acho complicado não comprar uma Pitu sempre que eu for num churquinha e quiser levar uma pinga de baixo custo.","R$ 8,33","Palavras comumente usadas: doce, nenhum gosto além de álcool",21/7/2021 - 15:38:38,https://ceiaclandestina.wordpress.com/2021/06/06/eu-experimentei-quase-todas-as-pingas-do-supermercado-pra-voce-nao-gastar-dinheiro-a-toa/
2,60f8800ce914591b0b3a9349,Cachaça Terra Brasilis,"Essa cachaça teve a maior nota dentre todas as do teste. Amadeirada, leve, um equilíbrio muito gostoso entre o doce e salgado, desce suave ao mesmo tempo em que é saborosa e tem gosto de pinga. Obviamente que também custa o dobro do preço de uma 51, mas interessantemente ela ficou bem acima das outras pingas na mesma faixa de preço, então fica a dica.","R$ 19,37","Palavras comumente usadas: abraço quentinho, saborosa, amadeirada",21/7/2021 - 15:38:38,https://ceiaclandestina.wordpress.com/2021/06/06/eu-experimentei-quase-todas-as-pingas-do-supermercado-pra-voce-nao-gastar-dinheiro-a-toa/
3,60f8804ee914591b0b3a934a,Cachaça Saliníssima,"Na minha cabeça de conhecedor bem medíocre de cachaça, a Salinas/Saliníssima era uma opção boa que eu constantemente pedia quando mais jovem nas baladinhas e que também tinha nos supermercados mais chiquetosos. Com o tempo, eu aprendi que ela não era tudo isso, e o teste comprovou o que eu aprendi com a vida. A Saliníssima é gostosa e bastante diferente, inclusive, de todas as outras. Salgada, intensa, ela não é uma Vale Verde que te abraça, pega na sua mão e te leva pra área de fumante – ela é bem punk. Eu gosto, porém preferi a Terra Brasilis. E ela custa quase 50% mais que as outras pingas do teste.","R$ 28,67","Palavras comumente usadas: salgada, forte, intensa",21/7/2021 - 15:38:38,https://ceiaclandestina.wordpress.com/2021/06/06/eu-experimentei-quase-todas-as-pingas-do-supermercado-pra-voce-nao-gastar-dinheiro-a-toa/
4,60f880a2e914591b0b3a934b,Cachaça Velho barreiro,"Uma coisa que eu achei interessante é que a Pitu, por exemplo, teve notas muito altas e outras muito baixas, o que me faz achar que ela não é necessariamente muito melhor que a Velho Barreiro, mas um sabor bastante específico, amado por uns e odiado por outros. A Velho Barreiro, no entanto, teve notas muito mais constantes na faixa do 5, então se você por acaso não tem muita opinião sobre pinga, talvez eu recomende a Velho Barreiro ao invés da Pitu. Tem chance de você odiar a Pitu mais que uma Velho Barreiro.","R$ 11,10","Palavras comumente usadas: aguado, combustível de carro, pinga pra caipirinha",21/7/2021 - 15:38:38,https://ceiaclandestina.wordpress.com/2021/06/06/eu-experimentei-quase-todas-as-pingas-do-supermercado-pra-voce-nao-gastar-dinheiro-a-toa/
5,60f880ece914591b0b3a934c,Cachaça Ypioca Gold,"Das opções “caras”, a Ypioca é a mais barata e ao mesmo tempo obteve a segunda maior nota, na frente de uma pinga com o dobro do preço. Se você quer começar a experimentar pingas diferentes e está meio apertado, essa daqui é uma ótima pedida.","R$ 16,00","Palavras comumente usadas: Forte, alcoólica, saborosa",21/7/2021 - 15:38:38,https://ceiaclandestina.wordpress.com/2021/06/06/eu-experimentei-quase-todas-as-pingas-do-supermercado-pra-voce-nao-gastar-dinheiro-a-toa/
6,60f88130e914591b0b3a934d,Cachaça 51 ouro,"Outra opção sólida. Ardida, salgada, desce forte, porém, foi aprovada por muitos. Essa, inclusive, foi uma outra pinga com notas que variaram mais que outras (homens preferiram muito mais do que as mulheres).","R$ 16,50","Palavras comumente usadas: salgada, ardida",21/7/2021 - 15:38:38,https://ceiaclandestina.wordpress.com/2021/06/06/eu-experimentei-quase-todas-as-pingas-do-supermercado-pra-voce-nao-gastar-dinheiro-a-toa/
7,60f8825ee914591b0b3a934e,Cachaça Vale Verde,Docinha no melhor jeito possível um caramelizado delícia mas ao mesmo tempo um amargo do barril chuta meu queixo ao mesmo tempo que o perfume de belas begônias perfumam o curativo que uma donzela camponesa fez em mim. Spoiler que eu e um dos moradores daqui de casa já tinham experimentado essa pinga (e ele acertou que era ela inclusive). Uma BAITA de uma pinga incrível. Eu já achava ela ótima antes mas mesmo depois de compará-la com outras pingas algumas bem mais caras ela ficou em primeiro lugar. Estou orgulhoso.,"R$ 96,00",,21/7/2021 - 15:38:43,https://ceiaclandestina.wordpress.com/2021/06/29/eu-experimentei-quase-todas-as-cachacas-caras-do-supermercado-pra-voce-nao-gastar-dinheiro-a-toa/
8,60f882a7e914591b0b3a934f,Cachaça Maria Andante,Se a Vale verde ganhou em melhor nota essa aqui ganha DE LONGE em puta case de sucesso visto que a nota é quase a mesma e o preço é 30% mais barato. O aroma dela é bem doce e perfumado mas o gosto é um contraponto incrível. Considerando quão gostosa ela é a garganta sente um pouco do baque mas nada que vai fazer você parar de beber essa gostosura. Com certeza o melhor bang for your fancy cachaça desse teste.,"R$ 67,00",,21/7/2021 - 15:38:43,https://ceiaclandestina.wordpress.com/2021/06/29/eu-experimentei-quase-todas-as-cachacas-caras-do-supermercado-pra-voce-nao-gastar-dinheiro-a-toa/
9,60f882d6e914591b0b3a9350,Cachaça Sagrada,"Considerando que essa pinga é prata eu achei ela bem gostosa visto que na minha opinião bem raza sobre cachaças costuma-se ter mais diversidade de aromas e sabores com pingas que dormiram um tempo numa madeirinha. A maioria das pessoas de casa no entanto descreveram-na como “menos saborosa”. Salgada, destruidora de garganta não é uma pinga pra quem não ama cachaça e considerando a Maria Andante acho que você vai se divertir mais com ela num preço bem mais baixo.","R$ 66,00",,21/7/2021 - 15:38:43,https://ceiaclandestina.wordpress.com/2021/06/29/eu-experimentei-quase-todas-as-cachacas-caras-do-supermercado-pra-voce-nao-gastar-dinheiro-a-toa/
10,60f88303e914591b0b3a9351,Cachaça Ponto Alto,"Essa pinga é MUITO BOA. Infelizmente ela custa 112 reais a garrafa quando a Sagradinha que acabamos discutir sai por metade do preço. Overpriced? Talvez. Mal compreendida? Talvez. Ela é provavelmente a cachaça mais diferente de todas desse lote que testamos. Mineral e herbal acabei achando ela muito mais saborosa que várias pingas ouro que já tomei na minha vida sem contar que ela é super gentil na garganta. Eu diria que a nota não faz juz as qualidades dessa pinga e se você gosta de experimentar sabores diversos fica ai uma sugestão sólida (todas dessa lista são sólidas honestamente). Infelizmente, em questão de puro custo-benefício (que diz muita coisa mas não tudo) ela é uma das piores colocadas devido ao preço.","R$ 112,00",,21/7/2021 - 15:38:43,https://ceiaclandestina.wordpress.com/2021/06/29/eu-experimentei-quase-todas-as-cachacas-caras-do-supermercado-pra-voce-nao-gastar-dinheiro-a-toa/
11,60f8833fe914591b0b3a9352,Cachaça Gogó da Ema,"Muita gente comentou que essa cachaça é pro verão ou então é “leve”. Ela realmente desce muito fácil e tem menos “corpo” que algumas das outras pingas. É esquisito explicar que ela desce fácil ao mesmo tempo que a garganta sente um pouco mas eu devo dizer que durante esse teste foi bem complicado colocar em palavras nuances muito mínimas de pingas boas. É igual tentar descrever a diferença entre dois cavaquinhos diferentes tocando a mesma nota, o timbre claramente é diferente mas muito pouco, enfim. Salgada, não é a mais gentil com a garganta mas depois da primeira ela desce com muito carinho.","R$ 77,00",,21/7/2021 - 15:38:43,https://ceiaclandestina.wordpress.com/2021/06/29/eu-experimentei-quase-todas-as-cachacas-caras-do-supermercado-pra-voce-nao-gastar-dinheiro-a-toa/
12,60f8836ce914591b0b3a9353,Cachaça Fogo de Cana,"Meus queridos. Se alguém um dia só me desse pra cheirar essa cachaça sem me falar oq era eu sinto que eu chutaria várias coisas antes de falar pinga. Um cheiro incrivelmente aromático e doce (do melhor jeito possível). Baunilha, amêndoas, côco, melaço, madeira da expedição de pedro álvares cabral e dai um gosto bastante diferente do cheiro mas de longe isso não é ruim. Inclusive no fundo você sente quase tudo que estava no cheiro mas o gosto de cachaça incrivelmente balanceada (salgado e doce), que ataca a sua boca mas do jeito mais romântico e carinhoso que só aquela crush de pandemia de meses conseguiria fazer você sentir. Teve quem achou o aroma forte até demais e um pouco enjoativo mas eu achei incrível (inclusive dei nota 10).(Achei interessante comentar que tanto a fogo de cana como a Vale verde que ficaram em primeiro e segundo lugar são armazenadas em barris de carvalho e esse gosto de baunilha é uma coisa que é bem comum no whisky também (que vem da madeira).","R$ 140,00",,21/7/2021 - 15:38:43,https://ceiaclandestina.wordpress.com/2021/06/29/eu-experimentei-quase-todas-as-cachacas-caras-do-supermercado-pra-voce-nao-gastar-dinheiro-a-toa/
13,60f88395e914591b0b3a9354,Cachaça Minha Deusa,"Essa pinga vem da mesma distilaria da Vale Verde então inicialmente eu achei que o conteúdo era basicamente a cachaça que eu estou acostumado antes de ser armazenada em barris de carvalho mas depois de visitar o site deles aparentemente essa cachaça fica em tonéis de grápia (nem sabia oq era isso antes de escrever esse review) antes de ser engarrafada.Simplicidade pode ser algo muito bom, essa pinga tem bem menos aroma, não tem nem de perto o mesmo corpo da vale verde e mesmo assim é uma delicinha. Acho que o problema aqui é que se eu tivesse que pagar 80 reais por essa ou 90 pela vale verde eu facilmente emprestaria 10 reais toda vez. A minha deusa não é ruim mas no preço que ela é vendida acho que não está compatível com as cachaças desse teste e várias outras prata que já tomei na vida.","R$ 80,00",,21/7/2021 - 15:38:43,https://ceiaclandestina.wordpress.com/2021/06/29/eu-experimentei-quase-todas-as-cachacas-caras-do-supermercado-pra-voce-nao-gastar-dinheiro-a-toa/
