,_id,NOME_DA_CACHAÇA,VOLUME,DESCRIÇÃO_DA_CACHAÇA,ANÁLISE_SENSORIAL,INGREDIENTES,RECIPIENTE_DE_ARMAZENAMENTO,LINK,DATA_COLETA
0,61151231386ad1ec97e844bd,Smoked,,"DESCRIÇÃO: Produto de cor castanho claro brilhante. Aroma e sabor rico, amadeirado, defumado com leves notas de cereais.
INGREDIENTES: Cachaça, malte whisky, extrato natural de carvalho, corante caramelo INS 150a e água.
","Produto de cor castanho claro brilhante. Aroma e sabor rico, amadeirado, defumado com leves notas de cereais.","Cachaça, malte whisky, extrato natural de carvalho, corante caramelo INS 150a e água.",,https://www.ciamuller.com.br/produtos/cachaca/smoked/51_assinatura,11/08/2021 14:32
1,61151231386ad1ec97e844be,51 Seleção,,"A 51 Seleção foi elaborada a partir de um blend super especial que reuniu a tradicional Cachaça 51 com uma Seleção de Cachaças envelhecidas em barris de carvalho por diferentes períodos. São lotes que foram cuidadosamente armazenados em um local de acesso restrito e em condições térmicas ideais para resultar em um produto de sabor suave e levemente amadeirado.
Cachaça armazenada em barris de carvalho, de coloração amarelada e brilhante. Sabor rico, equilibrado, suave e com notas florais, de baunilha e caramelo. Aroma amadeirado sutil e agradável.
PRODUTO: CACHAÇA
MARCA: 51 PIRASSUNUNGA
DESCRIÇÃO: Produto de cor amarelo-palha, límpido e brilhante. Aroma e sabor levemente amadeirado característicos.
INGREDIENTES: Cachaça, cachaça envelhecida, açúcar e água.
","Produto de cor amarelo-palha, límpido e brilhante. Aroma e sabor levemente amadeirado característicos.","Cachaça, cachaça envelhecida, açúcar e água.",carvalho,https://www.ciamuller.com.br/produtos/cachaca/51_selecao/cachaca,11/08/2021 14:32
2,61151231386ad1ec97e844bf,Cachaça 51,,"Transparência, sabor e aroma inigualáveis são algumas das características da cachaça mais vendida no mundo.
Obtida através de processos produtivos de alta tecnologia e distribuída em mais de 50 países, é líder nacional com mais de 30% do mercado.
PRODUTO: CACHAÇA 
MARCA: 51 PIRASSUNUNGA
DESCRIÇÃO: Produto cristalino, incolor, com aroma e gosto característico.
INGREDIENTES: Destilado do mosto fermentado obtido do caldo da cana de açúcar e água.
","Produto cristalino, incolor, com aroma e gosto característico.",Destilado do mosto fermentado obtido do caldo da cana de açúcar e água.,,https://www.ciamuller.com.br/produtos/cachaca/cachaca_51/cachaca,11/08/2021 14:32
3,61151231386ad1ec97e844c0,51 OURO,,"51 Ouro é um produto obtido através de matérias-primas selecionadas e produzidas com os mesmos rigorosos processos de qualidade da Cachaça 51, para quem sabe apreciar um produto mais que especial.
PRODUTO: AGUARDENTE COMPOSTA
MARCA: 51 OURO
DESCRIÇÃO: Produto de cor castanho avermelhado, translúcido, com aroma e sabor característicos.
INGREDIENTES: Destilado simples de caldo de cana-de-açúcar, extrato natural de carvalho, aroma idêntico ao natural de carvalho, açúcar e corante caramelo.
","Produto de cor castanho avermelhado, translúcido, com aroma e sabor característicos.","Destilado simples de caldo de cana-de-açúcar, extrato natural de carvalho, aroma idêntico ao natural de carvalho, açúcar e corante caramelo.",,https://www.ciamuller.com.br/produtos/cachaca/51-ouro/aguardente_composta,11/08/2021 14:32
4,61151231386ad1ec97e844c1,TERRA BRAZILIS,,"Terra Brazilis 51 é uma cachaça envelhecida, produzida com matérias-primas nobres e envelhecida em barris de carvalho com o mesmo padrão de qualidade da Cachaça 51.
PRODUTO: CACHAÇA ENVELHECIDA
MARCA: TERRA BRAZILIS
DESCRIÇÃO: Produto de cor amarelo-dourada, intensa e brilhante. Aroma e sabor amadeirado característicos.
INGREDIENTES: Destilado do mosto fermentado obtido do caldo de cana-de-açúcar envelhecido, Destilado do mosto fermentado obtido do caldo de cana-de-açúcar, açúcar, corante caramelo e água.
","Produto de cor amarelo-dourada, intensa e brilhante. Aroma e sabor amadeirado característicos.","Destilado do mosto fermentado obtido do caldo de cana-de-açúcar envelhecido, Destilado do mosto fermentado obtido do caldo de cana-de-açúcar, açúcar, corante caramelo e água.",carvalho,https://www.ciamuller.com.br/produtos/cachaca/terra_brazilis/cachaca_envelhecida,11/08/2021 14:32
5,61151231386ad1ec97e844c2,CACHAÇA 29,,"Com apelo popular, a Cachaça 29 atende a um segmento do mercado brasileiro de Cachaças que busca preços mais acessíveis.
PRODUTO: Cachaça
MARCA: 29 
DESCRIÇÃO: Produto cristalino, incolor, com aroma e gosto característico.
INGREDIENTES: Destilado do mosto fermentado obtido do caldo da cana de açúcar e água.
","Produto cristalino, incolor, com aroma e gosto característico.",Destilado do mosto fermentado obtido do caldo da cana de açúcar e água.,,https://www.ciamuller.com.br/produtos/cachaca/cachaca_29/cachaca_,11/08/2021 14:33
6,61151231386ad1ec97e844c3,51 Edição Internacional,,"PRODUTO CACHAÇA
MARCA: 51
DESCRIÇÃO: Produto cristalino, incolor, com aroma e gosto característico.
INGREDIENTES: Cachaça e água.
","Produto cristalino, incolor, com aroma e gosto característico.",Cachaça e água.,,https://www.ciamuller.com.br/produtos/cachaca/51_edicao_internacional/cachaca,11/08/2021 14:33
7,61151231386ad1ec97e844c4,51 Gold,51 Gold 700 ml,"51 Gold 700 ml é uma cachaça envelhecida, produzida com matérias-primas nobres e envelhecida em barris de carvalho com o mesmo padrão de qualidade da Cachaça 51.
PRODUTO: CACHAÇA ENVELHECIDA
MARCA: 51 GOLD
DESCRIÇÃO: Produto de cor amarelo-dourada, intensa e brilhante. Aroma e sabor amadeirado característicos.
INGREDIENTES: Destilado do mosto fermentado obtido do caldo de cana-de-açúcar envelhecido, corante caramelo e água.
","Produto de cor amarelo-dourada, intensa e brilhante. Aroma e sabor amadeirado característicos.","Destilado do mosto fermentado obtido do caldo de cana-de-açúcar envelhecido, corante caramelo e água.",carvalho,https://www.ciamuller.com.br/produtos/cachaca/51_gold/cachaca_envelhecida,11/08/2021 14:33
8,61151231386ad1ec97e844c5,51 Mel,,"PRODUTO: BEBIDA ALCOÓLICA MISTA
MARCA: 51 MEL
DESCRIÇÃO: Produto de coloração amarelo-dourada. Aroma e sabor adocicado, notas de mel e frutas
cítricas características ao produto.
INGREDIENTES: Cachaça, açúcar, acidulante INS 330, aroma natural de limão, aroma idêntico ao
natural de mel, corante caramelo e água.
","Produto de coloração amarelo-dourada. Aroma e sabor adocicado, notas de mel e frutas","Cachaça, açúcar, acidulante INS 330, aroma natural de limão, aroma idêntico ao",,https://www.ciamuller.com.br/produtos/cachaca/51_mel/51_mel,11/08/2021 14:33
9,61151231386ad1ec97e844c6,29 Pernambucana,,"29 Pernambucana é uma aguardente de cana adoçada, com aspecto cristalino, aroma suave e sabor adocicado.
Aparência:transparente, incolor;
Aroma:doce, levemente alcoólico e herbáceo;
Sabor:persistente e equilibrado.
",,,,https://www.ciamuller.com.br/produtos/cachaca/29_pernambucana/aguardente,11/08/2021 14:33
