,_id,NOME_DA_CACHAÇA,PREÇO,VOLUME,DESCRIÇÃO_DA_CACHAÇA,INFORMAÇÕESOES_TÉCNICAS,TEXTO_DESCRITIVO,GRADUAÇÃO_ALCOÓLICA,RECIPIENTE_DE_ARMAZENAMENTO,TEMPO_DE_ARMAZENAMENTO,TIPO,LOCAL_DE_PRODUÇÃO,DATA_COLETA,LINK
0,60fac0f79a4cc55a328655b1,Cachaça Reserva 51 Única Com Box 700ml e Cantil Grátis,"R$ 149,90",700ml,"700ml
40%
carvalho americano anteriormente utilizado para envelhecer whisky bourbon
4 - 5 anos
ouro
Pirassununga/SP","Volume
Graduação Alcoólica
Madeira
Tempo de Armazenamento
Tipo
Origem","Madeira: Carvalho Americano anteriormente utilizado para envelhecer Whisky Bourbon
Envelhecimento: 4 - 5 anos
Teor Alcoólico: 40%
Volume:700ml
Tipo: Ouro
Origem: Pirassununga/SP
A Moça Bonita Cachaçaria é uma loja especializada em Cachaças Artesanais de todo o Brasil. Trabalhamos com mais de 200 marcas de Cachaças em nosso catálogo. Aqui você encontra as melhores Cachaças de diversas regiões do Brasil com o melhor preço do mercado, entrega rápida e com seguro e com a garantia de originalidade e integridade com a emissão de NOTA FISCAL de todas as nossas vendas. 


Todos os produtos comercializados pela Moça Bonita Cachaçaria são novos, originais e com garantia. 

 

Todo pedido efetuado segue acompanhado de nota fiscal emitida para o CPF/CNPJ informado na compra. Não efetuamos vendas sem emissão de nota fiscal.",40%,carvalho americano anteriormente utilizado para envelhecer whisky bourbon,4 - 5 anos,ouro,Pirassununga/SP,15/7/2021 - 20:56:47,https://www.mocabonitacachacaria.com.br/product-page/cachaça-reserva-51-única-com-box-700ml-e-cantil-grátis
1,60fac0f79a4cc55a328655b2,Cachaça Seleta Eu Garanto com mel e Castanha Baru 500ml,"R$ 64,90",500ml,"500ml
33%
Salinas/MG","Volume
Graduação Alcoólica
Origem","Bebida Mista de Cachaça, mel e castanha de Baru
Graduação alcoólica: 33%
Origem: Salinas/MG
Volume: 500ml",33%,,,,Salinas/MG,15/7/2021 - 20:56:54,https://www.mocabonitacachacaria.com.br/product-page/cachaça-seleta-eu-garanto-com-mel-e-castanha-baru-500ml
2,60fac0f79a4cc55a328655b3,Cachaça Matuta Cristal 300ml,"R$ 24,90",300ml,"300ml
40%","Volume
Graduação Alcoólica
Tempo de Armazenamento","Graduação alcoólica: 40% Bidestilada

Cor: Branca

Tempo de armazenamento: 
6 meses em 
 Inox
Volume: 300ml
CARACTERÍSTICAS SENSORIAIS:
Visual: Branca, densa, brilhante e límpida.
Olfativa: Fina e persistente. Nariz típico de uma cachaça frutada lembrando a própria cana-de-açúcar, além de leves notas metálicas e minerais.
Gustativa: Leve corpo e de acidez equilibrada. Deixa a boca enxuta e com leves traços frutados adocicados.
Impressão Final: Fina, intensa e muito persistente. Personalidade marcante.
Harmonização: Própria para acompanhar petiscos à base de frutos do mar, caldinho de peixe ou mariscos. Levemente resfriada, torna-se mais leve e redonda. Apropriada para caipirinha e coquetéis de frutas.",40%,,,,,15/7/2021 - 20:57:1,https://www.mocabonitacachacaria.com.br/product-page/cachaça-matuta-cristal-300ml
3,60fac0f89a4cc55a328655b4,Cachaça Ipueira 355ml,"R$ 14,90",355ml,"355ml
42%
prata
Areia, Paraiba, Brazil","Volume
Graduação Alcoólica
Tipo
Origem","Tipo: Prata
Graduação Alcóolica 42%
Origem: Areia, Paraiba, Brazil
Volume: 355ml
Cachaça de Qualidade, produzida na Região Geográfica de Campina Grande, na zona Rural de Areia - PB.",42%,,,prata,"Areia, Paraiba, Brazil",15/7/2021 - 20:57:8,https://www.mocabonitacachacaria.com.br/product-page/cachaça-ipueira-355ml
4,60fac0f89a4cc55a328655b5,Middas Cachaca Reserva dos Proprietários 700 ml com flocos de ouro,"R$ 437,00",700ml,"700ml
42%","Volume
Graduação Alcoólica","Middas Cachaça Reserva dos Proprietários
A Middas Reserva dos Proprietários é uma edição exclusiva. Em sua edição 2021 são apenas 1.532 garrafas numeradas e assinadas . O novo blend, de número 5, traz em sua garrafa Cachaças envelhecidas por 6 anos em barris de primeiro uso de Carvalho Americano, Bálsamo, Eucalipto, Sassafrás, Jaqueira, Amburana e um toque de Acácia. Todas as garrafas vem acompanhadas de um frasco de ouro de verdade 23 quilates.
Eleita em 2018 e 2020 como uma das melhores cachaças envelhecidas do Brasil segundo o Ranking da Cúpula da Cachaça em parceria com o jornal O Estadão. Com o 9º lugar em 2018 e 2º lugar em 2020.
Também foi premiada internacionalmente com medalha de ouro nos concursos Miami Rum Festival, New York Spirits Competition e International Wine & Spirit Competition.
Qual a melhor Cachaça do Brasil? Como apreciar uma excelente Cachaça? Onde e quando nasceu a Cachaça. A Experiência Middas Cachaça Reserva dos Proprietários nasceu para responder estas e outras perguntas com uma só garrafa.
E em sua quinta edição, a Middas Reserva dos Proprietários te convida para uma viagem ao período colonial, mais precisamente ao ano em que nasceu a nossa Cachaça, na Capitania de São Vicente, no litoral de São Paulo. São disponibilizadas apenas 1.532 garrafas.
Cada gota da Middas Reserva dos Proprietários – Edição 2021, é um convite para uma odisseia que desperta todos os sentidos. Rara e preciosa, esta cachaça é um produto do domínio do homem ao longo do tempo. Uma gama incomparável de aromas dá a Middas Reserva do Proprietário sua complexidade única.
A Middas Reserva edição 2021 vem repleta de novidades, complexidade e muita exclusividade, tudo na mesma garrafa.
E como um verdadeiro presente para você apreciador, nós fomos buscar ainda mais complexidade e harmonia em sua Middas.
E começamos pelo corpo. A nova edição da Middas Reserva dos Proprietários tem agora 42% de volume alcoólico, mais encorpada, com mais aromas e sabores e com ainda mais personalidade.
Você vai receber uma Cachaça rara envelhecida em 7 tipos de barris de primeiro uso por 6 anos: Carvalho Americano, Bálsamo, Eucalipto, Sassafrás, Jaqueira, Amburana e um toque de Acácia. Sua bela cor dourada, profunda e quente, anuncia sua força inegável. Seu aroma enche o nariz com delicadas nuances de flor de laranjeira, mel, coco, baunilha e chocolate branco, além de toques de especiarias como noz-moscada e cardamomo. A alquimia da mistura de madeiras, deixou ainda notas de frutas cristalizadas e pêssego maduro.
Na boca, poder e a profundidade dos aromas se encontram com sabores que remetem ao caramelo, chocolate e baunilha; tudo isso combinado com um retrogosto marcante, amadeirado, persistente e de longa duração.
Se provada puro, no gelo ou com um pouco de água, esta cachaça artesanal produzida em alambique de cobre de apenas 1.532 unidades numeradas e assinadas por Leandro Dias e João Almeida, oferece uma experiência inigualável que deixa uma impressão duradoura. Um eco infinito!
Eleita em 2018 e 2020 como uma das melhores cachaças envelhecidas do Brasil segundo o Ranking da Cúpula da Cachaça em parceria com o jornal O Estadão. Com o 9º lugar em 2018 e em 2020, recebendo o título de uma das 3 melhores Cachaças do Brasil.
Também foi premiada internacionalmente com medalha de ouro nos concursos Miami Rum Festival, New York Spirits Competition e International Wine & Spirit Competition.
Em cada gole da Middas Reserva do Proprietário, um novo lugar é descoberto, uma sensação distinta e uma extraordinária história compartilhada.
Não espere para experimentar a grandeza de sua Middas Cachaça Reserva dos Proprietários. Você vai impressionar a si mesmo e aos seus melhores amigos!
Todas as Middas vem com um frasco com flocos de ouro 23k importado da Alemanha, o que deixa a Middas Reserva ainda mais especial, pois você poderá fazer o seu toque de ouro e tornar sua experiência sensorial, algo único e inesquecíve",42%,,,,,15/7/2021 - 20:57:16,https://www.mocabonitacachacaria.com.br/product-page/middas-cachaca-reserva-dos-proprietários-700-ml-com-flocos-de-ouro
5,60fac0f89a4cc55a328655b6,Cachaça Middas Clássica 700ml com flocos de ouro,"R$ 327,00",700ml,"700ml
39%
02 anos em amendoim do campo
Dracena/SP","Volume
Graduação Alcoólica
Tempo de Armazenamento
Origem","Middas Cachaça Clássica
Os flocos de ouro 23 quilates que acompanham a Middas Clássica tornam esta Cachaça uma experiência única. Você vai fazer o seu toque de ouro e beber como se fosse um rei. A Middas Clássica é uma cachaça exclusiva armazenada em tonéis de madeira da amendoim do campo por um período de 2 anos.
Anexado à tampa da Cachaça Middas Clássica, o tubo de ouro comestível 23 quilates importado da Alemanha é um convite a uma incrível experiência sensorial.
Mas é ao abrir a garrafa que a jornada melhora ainda mais. A Middas Clássica é descansada por dois anos em tonéis de Amendoim do Campo, considerada a rainha das madeiras para envelhecer Cachaça.
O tempo de maturação confere à Middas Clássica um toque de maciez incomum e aveludado próprio de uma Cachaça bem produzida e bem maturada.
Desde 2014, data de sua entrada no mercado, a Middas foi apreciada e premiada pelos maiores juízes e especialistas do mundo. A Middas recebeu medalha em concursos famosos em Nova Iorque, Berlin.
A Middas recebeu ainda medalha de ouro no renomado festival China Wine & Spirits Awards e no famosíssimo Miami Rum Festival, além da medalha de Prata na edição 2016 da Etapa Brasil do Concurso Mundial de Bruxelas, se consolidando como uma Cachaça que agradou em cheio os paladares mais exigentes nos principais concursos de destilados do planeta.
A Middas Clássica pode ser consumida antes de uma boa refeição, seja almoço ou jantar, ou mesmo para acompanhar um prato de entrada, como um canapé ou uma porção leve de torresmo.
Provar a Middas Clássica com gelo ou gelada é outra experiência para se guardar bem na memória.
E se você quiser explorar ainda mais as maravilhas sensoriais da combinação Cachaça Middas e Amendoim do Campo, experimente adicionar a sua Cachaça uma pequena quantidade de água com gás.
Em seu aroma a Middas Clássica tem notas florais e presença discreta da cana-de-açúcar, presença esta amaciada pelo contato com a madeira.
A Cachaça tem toques frutados que vem ao nariz no primeiro contato com o copo, lembrando ao apreciador que o que vem a seguir é uma inesquecível festa sensorial.
E se a sua escolha for fazer um drink, a Middas é a Cachaça perfeita para coquetéis como nossa Caipirinha, que de quebra vai levar o charme dos flocos de ouro, o que a torna simplesmente incomparável com qualquer outra Cachaça branca para fazer o drink tipicamente brasileiro. Para dar um toque ainda mais especial experimente adicionar a sua caipirinha outras frutas, como abacaxi, kiwi ou carambola.
Graduação Alcoólica: 39%
Envelhecimento: 02 anos em Amendoim do campo
Origem: Dracena/SP",39%,,02 anos em amendoim do campo,,Dracena/SP,15/7/2021 - 20:57:23,https://www.mocabonitacachacaria.com.br/product-page/cachaça-middas-clássica-700ml-com-flocos-de-ouro
6,60fac0f99a4cc55a328655b7,Cachaça Matuta Umburana 250ml,"R$ 22,90",250ml,"250ml
39%
umburana","Volume
Graduação Alcoólica
Madeira","Graduação alcoólica: 39% Bidestilada
Cor: Amarelo-palha
Tempo de armazenamento:
De 6 meses a 01 ano.
Madeira: Umburana",39%,umburana,,,,15/7/2021 - 20:57:30,https://www.mocabonitacachacaria.com.br/product-page/cachaça-matuta-umburana-250ml
7,60fac0f99a4cc55a328655b8,Cachaça João Mendes Prata 970ml,"R$ 54,90",970ml,"970ml
38%
prata
Perdões","Volume
Graduação Alcoólica
Tipo
Origem","Teor Alcoólico: 38%
Volume: 970ml
Tipo: Prata
Origem: Perdões",38%,,,prata,Perdões,15/7/2021 - 20:57:37,https://www.mocabonitacachacaria.com.br/product-page/cachaça-joão-mendes-prata-970ml
8,60fac0f99a4cc55a328655b9,Cachaça João Mendes Amburana 670ml,"R$ 53,90",670ml,"670ml
38%
amburana
2 anos
ouro
Perdões","Volume
Graduação Alcoólica
Madeira
Tempo de Armazenamento
Tipo
Origem","Madeira: Amburana
Envelhecimento: 2 Anos
Teor Alcoólico: 38%
Volume: 50ml
Tipo: Ouro
Origem: Perdões",38%,amburana,2 anos,ouro,Perdões,15/7/2021 - 20:57:45,https://www.mocabonitacachacaria.com.br/product-page/cachaça-joão-mendes-amburana-670ml
9,60fac0f99a4cc55a328655ba,Cachaca Paratiana Gabriela Cravo e Canela 700ml,"R$ 84,90",700ml,"700ml
27%
bebida mista
Pataty/RJ","Volume
Graduação Alcoólica
Tipo
Origem","Licor Fino de cravo e Canela
Teor Alcoólico: 27%
Volume: 700ml
Tipo: Bebida Mista
Origem: Pataty/RJ",27%,,,bebida mista,Pataty/RJ,15/7/2021 - 20:57:53,https://www.mocabonitacachacaria.com.br/product-page/cachaca-paratiana-gabriela-cravo-e-canela-700ml-1
10,60fac0fa9a4cc55a328655bb,Cachaca Paratiana Ouro Ceramica 500ml,"R$ 105,90",500ml,"500ml
42%
carvalho
2 anos
ouro
Paraty/RJ","Volume
Graduação Alcoólica
Madeira
Tempo de Armazenamento
Tipo
Origem","Madeira: Carvalho
Envelhecimento: 2 anos
Teor Alcoólico: 42%
Volume: 700ml
Tipo: Ouro
Origem: Paraty/RJ
Envelhecida de 1 a 2 anos em 
 
 
História da Paratiana
 
Em Janeiro da 1996, Carlos José Gama Miranda ( Casé ) junto com Dom João Orleans e Bragança, iniciam no bairro do Corisco uma sociedade na produção da Cachaça Maré Alta.
Em Abril de 1999 Casé inicia uma nova sociedade com seu irmão Paulo Eduardo Gama Miranda e o desenvolvimento de um novo Alambique, em um antigo casarão, cercado pela mata atlântica ladeado de cachoeira no bairro Pedra Branca, aliando ao modo de fabricação da Cachaça de Paraty ele realiza seu antigo sonho, e lança a Cachaça Paratiana.
 
A Cachaça Paratiana, produzida na região de Paraty, é uma das mais tradicionais dentre as Cachaças artesanais de Alambique em sua região, possui o Selo de Indicação Geográfica de Procedência.",42%,carvalho,2 anos,ouro,Paraty/RJ,15/7/2021 - 20:58:2,https://www.mocabonitacachacaria.com.br/product-page/cachaca-paratiana-ouro-ceramica-500ml
11,60fac0fa9a4cc55a328655bc,Cachaça Orgânica Serra das Almas Cerâmica Ouro 670ml,"R$ 72,90",670ml,"670ml
42%
3 anos
ouro
Rio de Contas / BA","Volume
Graduação Alcoólica
Tempo de Armazenamento
Tipo
Origem","adeira: Grápia
Envelhecimento: 3 Anos
Teor Alcoólico: 42%
Volume: 670ml
Tipo: Ouro
Origem: Rio de Contas / BA",42%,,3 anos,ouro,Rio de Contas / BA,15/7/2021 - 20:58:9,https://www.mocabonitacachacaria.com.br/product-page/cachaça-orgânica-serra-das-almas-cerâmica-ouro-670ml
12,60fac0fa9a4cc55a328655bd,Cachaça Orgânica Serra das Almas Cerâmica Prata 670mlL,"R$ 61,90",670ml,"670ml
39%
prata
Rio das Contas/BA","Volume
Graduação Alcoólica
Tipo
Origem","Descansa em Inóx
Teor Alcoólico: 39%
Volume: 670ml
Tipo: Prata
Origem: Rio das Contas/BA",39%,,,prata,Rio das Contas/BA,15/7/2021 - 20:58:16,https://www.mocabonitacachacaria.com.br/product-page/cachaça-orgânica-serra-das-almas-cerâmica-prata-670mll
13,60fac0fa9a4cc55a328655be,Cachaça Coqueiro Envelhecida 700ml,"R$ 64,90",700ml,"700ml
42%
carvalho francês
02 anos
ouro
Pataty/RJ","Volume
Graduação Alcoólica
Madeira
Tempo de Armazenamento
Tipo
Origem","Madeira: Carvalho Francês
Tempo de envelhecimento: 02 anos
Teor Alcoólico: 42%
Volume: 700ml
Tipo: Ouro
Origem: Pataty/RJ",42%,carvalho francês,02 anos,ouro,Pataty/RJ,15/7/2021 - 20:58:24,https://www.mocabonitacachacaria.com.br/product-page/cachaça-coqueiro-envelhecida-700ml
14,60fac0fa9a4cc55a328655bf,Cachaça Colombina Coleção Chita 700ml,"R$ 129,90",700ml,"700ml
40%
4 anos
extra premium
Araguari / MG","Volume
Graduação Alcoólica
Tempo de Armazenamento
Tipo
Origem","Armazenamento:Jatobá
 Envelhecimento: 4 Anos
 Grad. Alcoólica: 40%
 Volume: 700ml
Tipo: Extra Premium
Origem: Araguari / MG",40%,,4 anos,extra premium,Araguari / MG,15/7/2021 - 20:58:33,https://www.mocabonitacachacaria.com.br/product-page/cachaça-colombina-coleção-chita-700ml-1
15,60fac0fa9a4cc55a328655c0,Cachaça Xanadu Jequitibá 670ml,"R$ 76,90",670ml,"670ml
39%
jequitibá
6 anos
premium
Blumenau / Santa Catarina","Volume
Graduação Alcoólica
Madeira
Tempo de Armazenamento
Tipo
Origem","Madeira: Jequitibá
Envelhecimento: 6 anos
Teor Alcoólico: 39%
Volume: 670ml
Tipo: Premium
Origem: Blumenau / Santa Catarina
 Esta é uma cachaça envelhecida em uma madeira muito nobre, que praticamente não confere cor a cachaça. O processo de envelhecimento nesta madeira, torna a bebida macia e marcante. Harmoniza bem com frutos do mar e sobremesas citricas.",39%,jequitibá,6 anos,premium,Blumenau / Santa Catarina,15/7/2021 - 20:58:40,https://www.mocabonitacachacaria.com.br/product-page/cachaça-xanadu-jequitibá-670ml
16,60fac0fa9a4cc55a328655c1,Cachaça Weber Haus Carvalho e Cabriúva 700ml,"R$ 79,90",700ml,"700ml
38%
carvalho e cabriúva
2 anos
ouro
Ivoti/RS","Volume
Graduação Alcoólica
Madeira
Tempo de Armazenamento
Tipo
Origem","Madeira: Carvalho e Cabriúva
Envelhecimento: 2 Anos
Teor Alcoólico: 38%
Volume: 700ml
Tipo: Ouro
Origem: Ivoti/RS",38%,carvalho e cabriúva,2 anos,ouro,Ivoti/RS,15/7/2021 - 20:58:48,https://www.mocabonitacachacaria.com.br/product-page/cachaça-weber-haus-carvalho-e-cabriúva-700ml
17,60fac0fb9a4cc55a328655c2,Cachaça Dom Bré Premium Jequitibá 700ml,"R$ 144,90",700ml,"700ml
40%
jequitibá
3 anos
extra premium
Guarani/MG","Volume
Graduação Alcoólica
Madeira
Tempo de Armazenamento
Tipo
Origem","Madeira: Jequitibá
Envelhecimento: 3 Anos
Teor Alcoólico: 40%
Volume: 700ml
Tipo: Extra Premium
Origem: Guarani/MG",40%,jequitibá,3 anos,extra premium,Guarani/MG,15/7/2021 - 20:58:55,https://www.mocabonitacachacaria.com.br/product-page/cachaça-dom-bré-premium-jequitibá-700ml
18,60fac0fb9a4cc55a328655c3,Cachaça Joselita Com Jambú E Gengibre 750ml,"R$ 76,90",750ml,"750ml
34%
Mococa","Volume
Graduação Alcoólica
Origem","Bebida Mista com Jambu Jós
Volume: 500ml
Graduação Alcoólica: 34%
Origem: Mococa
A Bebida Mista com Jambu e Gengibre Joselita 750ml é a combinação perfeita entre cachaça premium, jambu e gengibre. O tremosdo jambu com a picância característica do gengibre cria uma sensação inigualável. Pode ser servida com gelo ou utilizada na composição de drinks e coquetéis.",34%,,,,Mococa,15/7/2021 - 20:59:3,https://www.mocabonitacachacaria.com.br/product-page/cachaça-joselita-com-jambú-e-gengibre-750ml
19,60fac0fb9a4cc55a328655c4,Cachaça Jós com Jambu 500ml,"R$ 76,90",500ml,"500ml
34%","Volume
Graduação Alcoólica","Bebida Mista com Jambu Jós
Volume: 500ml
Graduação Alcoólica: 34%
Origem Mococa
A Bebida Mista com Jambu Jós é a combinação perfeita entre uma cachaça premium e o jambu. Na boca, apresenta um fleve tremor por conta do espilantol, propriedade principal do jambu. Doce, tem 34% de graduação alcoólica e é indicada para se degustar pura. Pode ser servida com gelo ou utilizada na composição de drinks e coquetéis.",34%,,,,,15/7/2021 - 20:59:11,https://www.mocabonitacachacaria.com.br/product-page/cachaça-jós-com-jambu-500ml
20,60fac0fb9a4cc55a328655c5,Cachaça Blend Nordestino,"R$ 161,90",750ml,"750ml
8%
prata
São Sebastião/AL","Volume
Graduação Alcoólica
Tipo
Origem","Teor Alcoólico: 45,8%
Volume: 750ml
Tipo: Prata
Origem: São Sebastião/AL",8%,,,prata,São Sebastião/AL,15/7/2021 - 20:59:18,https://www.mocabonitacachacaria.com.br/product-page/cachaça-blend-nordestino
21,60fac0fb9a4cc55a328655c6,Cachaça Maria Izabel Tradicional 700ml,"R$ 172,90",700ml,"700ml
44%
Paraty/RJ","Volume
Graduação Alcoólica
Origem","Descansada em Inox
Graduação Alcoólica: 44%
Origem: Paraty/RJ
 
uma cachaça divina, com pouca acidez, onde se percebe claramente a qualidade da bebida.",44%,,,,Paraty/RJ,15/7/2021 - 20:59:25,https://www.mocabonitacachacaria.com.br/product-page/cachaça-maria-izabel-tradicional-700ml
22,60fac0fb9a4cc55a328655c7,Cachaça Engenho São Luiz Premium Carvalho 600ml,"R$ 76,90",600ml,"600ml
42%
carvalho
18 meses
premium
Lençois Paulista/SP","Volume
Graduação Alcoólica
Madeira
Tempo de Armazenamento
Tipo
Origem","Madeira: Carvalho
Envelhecimento: 18 meses
Teor Alcoólico: 42%
Volume: 600ml
Tipo: Premium
Origem: Lençois Paulista/SP
Cachaça dourada, elegante, leve e suave po",42%,carvalho,18 meses,premium,Lençois Paulista/SP,15/7/2021 - 20:59:33,https://www.mocabonitacachacaria.com.br/product-page/cachaça-engenho-são-luiz-premium-carvalho-600ml
23,60fac0fc9a4cc55a328655c8,Cachaça Engenho São Luiz Premium Bálsamo 750ml,"R$ 96,90",750ml,"750ml
40%
bálsamo
18 meses
premium
Lençois Paulista/SP","Volume
Graduação Alcoólica
Madeira
Tempo de Armazenamento
Tipo
Origem","Madeira: Bálsamo
Envelhecimento: 18 meses
Teor Alcoólico: 40%
Volume: 750ml
Tipo: Premium
Origem: Lençois Paulista/SP
Cachaça d
e cor amarelo-dourada em tons âmbar avermelhados, possui aromas marcante e intenso, sabor amadeirado com notas de frutas secas.",40%,bálsamo,18 meses,premium,Lençois Paulista/SP,15/7/2021 - 20:59:41,https://www.mocabonitacachacaria.com.br/product-page/cachaça-engenho-são-luiz-premium-bálsamo-750ml
24,60fac0fc9a4cc55a328655c9,Cachaça Engenho São Luiz Premium Amburana 750ml,"R$ 96,90",750ml,"750ml
40%
amburana
18 meses
premium
Lençois Paulista/SP","Volume
Graduação Alcoólica
Madeira
Tempo de Armazenamento
Tipo
Origem","Madeira: Amburana
Tempo de envelhecimento: 18 meses
Teor Alcoólico: 40%
Volume: 750ml
Tipo: Premium
Origem: Lençois Paulista/SP
Cachaça com
 armazenamento por 18 meses em amburana confere à bebida uma redução de acidez e teor alcoólico, o resultado é uma cachaça mais suave, macia, com aroma e sabor levemente adocicado, frutado e com toques de especiarias.",40%,amburana,18 meses,premium,Lençois Paulista/SP,15/7/2021 - 20:59:48,https://www.mocabonitacachacaria.com.br/product-page/cachaça-engenho-são-luiz-premium-amburana-750ml
25,60fac0fd9a4cc55a328655ca,Cachaça Engenho São Luiz Extra Premium Carvalho 600ml,"R$ 104,90",600ml,"600ml
42%
carvalho
3 anos
extra premium
Lençois Paulista/SP","Volume
Graduação Alcoólica
Madeira
Tempo de Armazenamento
Tipo
Origem","Madeira: Carvalho
Envelhecimento: 3 Anos
Teor Alcoólico: 42%
Volume: 600ml
Tipo: Extra Premium
Origem: Lençois Paulista/SP
Cachaça dourada com experiência sensorial máxima, com o envelhecimento por 3 anos em barrís de carvalho resulta numa bebida única, tanto em aroma quanto em sabor.
De cor amarelo-dourada, possui uma mescla de aromas de mel, chocolate, caramelo e avelã. No paladar, traz sensação aveludada, licorosa e levemente picante na boca. Retrogosto agradável e forte.",42%,carvalho,3 anos,extra premium,Lençois Paulista/SP,15/7/2021 - 20:59:55,https://www.mocabonitacachacaria.com.br/product-page/cachaça-engenho-são-luiz-extra-premium-carvalho-600ml
26,60fac0fd9a4cc55a328655cb,Cachaça Manda Chuva Autêntica Se Sobrá 700ml,"R$ 45,90",700ml,"700ml
39%
jatobá","Volume
Graduação Alcoólica
Madeira","Local: Alfenas/MG

 
Madeira: Jatobá

 
Armazenada: 4 anos

 
Grad. Alcoólica: 39%

 
Volume: 700ml
 
 
Armazenada por 4 anos e tonéis de Jatobá, o que proporciona um sabor único e diferenciado.
Uma cachaça suave e ao mesmo tempo marcante no final.",39%,jatobá,,,,15/7/2021 - 21:0:3,https://www.mocabonitacachacaria.com.br/product-page/cachaça-manda-chuva-autêntica-se-sobrá-700ml
27,60fac0fd9a4cc55a328655cc,Cachaça Autêntica Se Sobra Ouro 700ml,"R$ 74,90",700ml,"700ml
38%
carvalho
Alfenas/MG","Volume
Graduação Alcoólica
Madeira
Origem","Origem: Alfenas/MG
Madeira: Carvalho

 

Armazenada: 4 anos

 

Grad. Alcoólica: 38%

 

Volume: 700ml

 

 

INFORMAÇÕES DO PRODUTO

 

Armazenada por 4 anos e tonéis de Carvalho, o que proporciona um sabor único e diferenciado.

Cachaça produzida em Alfenas/MG, qualidade e sabor garantido!",38%,carvalho,,,Alfenas/MG,15/7/2021 - 21:0:11,https://www.mocabonitacachacaria.com.br/product-page/cachaça-autêntica-se-sobra-ouro-700ml
28,60fac0fd9a4cc55a328655cd,Cachaça DiCafe D'Gusta 750ml,"R$ 75,90",750ml,"750ml
20%
São Pedro/SP","Volume
Graduação Alcoólica
Origem","Volume: 750 ml
graduação alcoólica: 20%
Origem: São Pedro/SP
Sabor suave e doce com aroma exclusivo de Café. Este sabor suave e doce com aroma exclusivo fez a marca D’GUSTA ser tão bem aceita, a propaganda bo
ca-a-boca fez a marca ganhar notoriedade, que em pouco tempo virou uma mania.

Excelente sabor tropical, suave, agrada todos os paladares.

Cachaça Nacional",20%,,,,São Pedro/SP,15/7/2021 - 21:0:18,https://www.mocabonitacachacaria.com.br/product-page/cachaça-dicafe-d-gusta-750ml
