,_id,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,VOLUME,GRADUAÇÃO_ALCOÓLICA,RECIPIENTE_DE_ARMAZENAMENTO,LOCAL_DE_PRODUÇÃO,TEMPO_DE_ARMAZENAMENTO,LINK,DATA_COLETA
0,60e5f1ab821b7dff8d507ae4,Cachaça Rubelitense Prata," R$ 35,20","Ela chegou 😊🥃A cachaça Rubelitense 💥A Rubelitense é um Sonho de 10 anos atrás 2011 quando Marcos J Pereira ainda tinha 15 anos e cursava ainda o ensino médio, ele foi até uma palestra sobre cachaça, desde então se interessou por conhecer mais sobre a cultura da bebida que e orgulho dos mineiros, após alguns anos começou a colecionar centenas de rótulos, estudar sobre o assunto e claro experimentar e apreciar centenas de sabores. O nome Rubelitense se dá pelo fato da sua cidade Natal se chamar Rubelita , que fica a 29Km de Salinas MG . O objetivo não e ser só mais uma bebida mas sim realizar sonhos, em cada dose tem um pedaço de história e uma vontade de transforma o mundo para melhor.",Volume: 670ml,Grad Alcool: 40%,Madeira: Inox,Origem: Rubelita MG,Envelhecimento: 6meses,https://www.cachacariasalinas.com.br/cachacas/cachaca-rubelitense-prata,26/06/2021 16:53
1,60e5f1ab821b7dff8d507ae5,Cachaça Rubelitense Balsamo," R$ 35,20","A Rubelitense é um Sonho de 10 anos atrás 2011 quando Marcos J Pereira ainda tinha 15 anos e cursava ainda o ensino médio, ele foi até uma palestra sobre cachaça, desde então se interessou por conhecer mais sobre a cultura da bebida que e orgulho dos mineiros, após alguns anos começou a colecionar centenas de rótulos, estudar sobre o assunto e claro experimentar e apreciar centenas de sabores. O nome Rubelitense se dá pelo fato da sua cidade Natal se chamar Rubelita , que fica a 29Km de Salinas MG . O objetivo não e ser só mais uma bebida mas sim realizar sonhos, em cada dose tem um pedaço de história e uma vontade de transforma o mundo para melhor.Marcos J Pereira",Volume: 670ml,Grad Alcool: 40%,Madeira: Balsamo,Origem: Rubelita MG,Envelhecimento: 2 anos,https://www.cachacariasalinas.com.br/cachacas/cachaca-rubelitense-balsamo,26/06/2021 16:53
2,60e5f1ab821b7dff8d507ae6,Cachaça Rubelitense Amburana," R$ 35,20","A Rubelitense é um Sonho de 10 anos atrás 2011 quando Marcos J Pereira ainda tinha 15 anos e cursava ainda o ensino médio, ele foi até uma palestra sobre cachaça, desde então se interessou por conhecer mais sobre a cultura da bebida que e orgulho dos mineiros, após alguns anos começou a colecionar centenas de rótulos, estudar sobre o assunto e claro experimentar e apreciar centenas de sabores. O nome Rubelitense se dá pelo fato da sua cidade Natal se chamar Rubelita , que fica a 29Km de Salinas MG . O objetivo não e ser só mais uma bebida mas sim realizar sonhos, em cada dose tem um pedaço de história e uma vontade de transforma o mundo para melhor. ",Volume: 670ml,Grad Alcool: 40%,Madeira: Umburana,Origem: Rubelita MG,Envelhecimento: 2 anos,https://www.cachacariasalinas.com.br/cachacas/cachaca-rubelitense-amburana,26/06/2021 16:53
3,60e5f1ab821b7dff8d507ae7,Cachaça Prosa Mineira Tradicional," R$ 39,90","A Cachaça Prosa Mineira tradicional é armazenada por um ano em tonéis de Inox, é uma bebida para quem gosta de uma cachaça branca pura sem sabor amadeirado",Volume: 670ml,Grad Alcool: 42%,Madeira: Inox,Origem: Minas Gerais,Envelhecimento: 1 Ano,https://www.cachacariasalinas.com.br/cachacas/cachaca-prosa-mineira-tradicional,26/06/2021 16:53
4,60e5f1ab821b7dff8d507ae8,Cachaça Prosa Mineira Classica," R$ 39,90","A Cachaça Prosa Mineira Clássica é armazenada por dois anos em tonéis de Jequitibá, madeira nacional que agrega um diferencial a bebida, tornando-a muito suave, com tom levemente amadeirado e aroma frutado.",Volume: 670ml,Grad Alcool: 42%,Madeira: Jequitibá,Origem: Minas Gerais,Envelhecimento: 2 anos,https://www.cachacariasalinas.com.br/cachacas/cachaca-prosa-mineira-classica,26/06/2021 16:53
5,60e5f1ac821b7dff8d507ae9,Cachaça Tziu 10 anos," R$ 95,80","Cachaça Tiziu Única 10 anosA Tziu Única (44%) é a cachaça top de linha da nossa marca. Lentamente maturada em barris de bálsamo (por 10 anos) é uma bebida elegante e extremamente saborosa. Os leves toques de adstringência característicos, os acentuado sabores de especiarias, a doçura, tudo isso vem embalado em uma bebida encorpada e expressiva. Sem dúvida, degustar essa variedade da Tziu, é uma experiência ÚNICA.",Volume: 670ml,Grad Alcool: 44%,Madeira: Balsamo,Origem: Salinas MG,Envelhecimento: 10 anos,https://www.cachacariasalinas.com.br/cachacas/cachaca-tziu-10-anos-670ml,26/06/2021 16:54
6,60e5f1ac821b7dff8d507aea,Cachaça Tziu Ouro Balsamo," R$ 47,90","O dourado claro dessa variedade da Tziu (44%) vem do bálsamo, madeira extraída de uma arvore brasileira e a mais utilizada nas dornas dos alambiques de Salinas. Nos 36 meses que a Tziu Ouro interage com o bálsamo, ganha aromas complexos, entre o doce, o herbal e o cítrico, remetendo a capim limão, coco, olivas e aniz . Na boca uma explosão de sabores especiais .Madeira: BalsamoGrad. Alcoólica: 44%Volume: 670 mlTempo de Envelhecimento: 3 anosOrigem: Salinas/MGColoração: Dourada",Volume: 670ml,Grad Alcool: 44%,Madeira: Balsamo,Origem: Salinas MG,Envelhecimento: 3 anos,https://www.cachacariasalinas.com.br/cachacas/cachaca-tziu-ouro-670ml,26/06/2021 16:54
7,60e5f1ac821b7dff8d507aeb,Cachaça Tziu Jaqueira," R$ 47,90","A cachaça Tiziu é produzida na famosa região de Salinas, Minas Gerais. A cachaça diferencia-se pelo envelhecimento do destilado na madeira jaqueira, a mesma da árvore que produz a fruta jaca. De forte coloração amarelo brilhante, Tiziu Jaqueira apresenta-se límpida e cristalina. Sensorialmente muito rica aguça-nos os sentidos. O teor alcoólico mais alto faz aflorar com facilidade aromas de frutas maduras e ervas. Notas de baunilha podem ser facilmente identificadas no sabor. Retrogosto mais amargo mas não agressivo. Desce macio e suave. Para os que procuram uma bebida mais alcoólica, encorpada, e que esta aberto a novas e inusitadas experiências sensoriais, é uma ótima pedida.Madeira: JaqueiraGrad. Alcoólica: 47%Volume: 670 mlTempo de Envelhecimento: 3 anosOrigem: Salinas/MGColoração: DouradaAnálise: Sensorialmente muito rica aguça-nos os sentidos. ",Volume: 670ml,Grad Alcool: 47%,Madeira: Jaqueira,Origem: Salinas MG,Envelhecimento: 3 anos,https://www.cachacariasalinas.com.br/cachacas/cachaca-tziu-jaqueira-670ml,26/06/2021 16:54
8,60e5f1ac821b7dff8d507aec,Cachaça Tziu Virgem," R$ 39,80","A cachaça Tiziu Virgem é produzida na famosa região de Salinas, Minas Gerais. Destilada em alambique de cobre no processo artesanal, Madeira: InoxGrad. Alcoólica: 47%Volume: 600 mlTempo de Envelhecimento: N/aOrigem: Salinas/MGColoração: Branca incolorAnálise: Aroma fresco que remete a cana.",Volume: 600ml,Grad Alcool: 47%,Madeira: Inox,,,https://www.cachacariasalinas.com.br/cachacas/cachaca-tziu-virgem-600ml,26/06/2021 16:54
9,60e5f1ac821b7dff8d507aed,Coquetel de Cachaça Cacharioca banana," R$ 48,00","Coquetel de Cachaça Cacharioca bananaProduzido artesanalmente , com delicioso sabor de bananaSabor : BananaVolume : 700 mlOrigem : Salinas Minas Gerais , brasil ",,,,,,https://www.cachacariasalinas.com.br/cachacas/coquetel-de-cachaca-cacharioca-banana,26/06/2021 16:54
10,60e5f1ac821b7dff8d507aee,Cachaça Seleta Eu Garanto caixa especial," R$ 64,00","A Seleta é uma bebida mista com cachaça , mel e barú , fruto conhecido pelo sabor e por suas propriedades energéticas de nutrientes. Uma mistura equilibrada , que torna a bebida suave e agradável ao paladar , com o selo de qualidade Seleta .Graduação : 33%Volume :500mlArmazenamento : 2,5 AnosIngredientes : Seleta Umburana , Mel e BaruCidade Origem : Salinas MGProdutor : Cachaça Seleta ",Volume: 500ml,,,,,https://www.cachacariasalinas.com.br/cachacas/cachaca-seleta-eu-garanto-caixa-especial-500ml,26/06/2021 16:54
