,_id,NOME_DA_CACHAÇA,DESCRIÇÃO_DA_CACHAÇA,GRADUAÇÃO_ALCOÓLICA,CONSUMO,DATA_COLETA,LINK
0,61116bf0bfc946f5fcfa4c9b,VELHO BARREIRO RESERVA PRATA,Velho Barreiro Reserva foi criada para incrementar ainda mais o elenco de produtos “premium” com uma belíssima embalagem premiada e totalmente prateada.,39% vol,"Ideal para ser consumida pura, em coquetéis de frutas ou na tradicional caipirinha com limão.",9/8/2021 - 14:54:56,https://tatuzinho.com.br/produtos/detalhes/id/18
1,61116bf1bfc946f5fcfa4c9c,VELHO BARREIRO COMPOSTA,"Uma aguardente com a mesma qualidade da Velho Barreiro Tradicional, agora com a presença do carvalho em extrato e aroma. Vale a pena conferir!",39% vol,"Ideal para ser consumida pura, em coquetéis de frutas ou na tradicional caipirinha com limão.",9/8/2021 - 14:54:57,https://tatuzinho.com.br/produtos/detalhes/id/7
2,61116bf5bfc946f5fcfa4c9d,DESEJOS SABOR CAFÉ,A grata combinação entre as bebidas mais apreciadas pelos brasileiros: a Cachaça e o Café. A Velho Barreiro Sabor Café é integralmente aprovada por aqueles que apreciam uma boa “cachaça” e também não abrem mão do tradicional “cafezinho”: uma combinação gostosa e feliz!,30% vol,Ideal para ser consumida pura.,9/8/2021 - 14:55:1,https://tatuzinho.com.br/produtos/detalhes/id/4
3,61116bf8bfc946f5fcfa4c9e,VELHO BARREIRO RESERVA,"Velho Barreiro Edição Especial Ouro em uma garrafa exclusiva de 700ml totalmente dourada.
Embalagem premiada com elegância ímpar.
Novidade: Novidade: Tampa rosqueável do tipo “ Pilfer Proof” totalmente em alumínio",39% vol,"Ideal para ser consumida pura, em coquetéis de frutas ou na tradicional caipirinha com limão.",9/8/2021 - 14:55:4,https://tatuzinho.com.br/produtos/detalhes/id/3
4,61116bf9bfc946f5fcfa4c9f,VELHO BARREIRO LIMÃO,"No ano de 2008, atenta às tendências de consumo nos canais de comercialização, a empresa provou seu valor mais uma vez lançando a Velho Barreiro Limão. Trata-se de um coquetel alcoólico com teor reduzido (30% vol.) em relação ao da cachaça tradicional, associado ao refrescante sabor do limão, superando as expectativas de aceitação e receptividade no mercado de consumo para produtos destilados combinados com sabor de fruta.",30% vol,Ideal para ser consumida pura ou em coquetéis de frutas.,9/8/2021 - 14:55:5,https://tatuzinho.com.br/produtos/detalhes/id/2
5,61116bf9bfc946f5fcfa4ca0,CACHAÇA VELHO BARREIRO,"A Velho Barreiro é conhecida como uma das cachaças mais tradicionais do Brasil. Sua qualidade e o sabor autêntico lhe garantiram personalidade e distinção, ganhando projeção internacional. Atualmente, é apreciada pura, em coquetéis de frutas ou na tradicional caipirinha com limão em vários países do mundo, marcando presença nas mais diversas culturas de todos os continentes. Também disponível nas versões 600ml e 1 litro para exportação.",39% vol,"Ideal para ser consumida pura, em coquetéis de frutas ou na tradicional caipirinha com limão.",9/8/2021 - 14:55:5,https://tatuzinho.com.br/produtos/detalhes/id/1
6,61116bfabfc946f5fcfa4ca1,LUXO ESPECIAL BLEND,"A Velho Barreiro Diamond, uma cachaça “Top Premium” elaborada a partir do “blend” de cachaça tradicional de alambique com a autêntica Velho Barreiro, foi criada simultaneamente com a cachaça em edição especial Diamond crivada com 212 diamantes.
Embalagem premiada: Categoria luxo.",39% vol,Ideal para ser consumida pura.,9/8/2021 - 14:55:6,https://tatuzinho.com.br/produtos/detalhes/id/17
7,61116c00bfc946f5fcfa4ca2,VELHO BARREIRO DIAMOND,"A Velho Barreiro Diamond é uma cachaça “Top Premium” elaborada a partir do “blend” da cachaça tradicional de alambique envelhecida em tonéis de carvalho com a autêntica Velho Barreiro.
Embalagem Premiada.",39% vol,Ideal para ser consumida pura.,9/8/2021 - 14:55:12,https://tatuzinho.com.br/produtos/detalhes/id/8
8,61116c01bfc946f5fcfa4ca3,CACHAÇA TATUZINHO,"Criada em Piracicaba em 1950 pela família D’Abronzzo, tornou-se uma das mais expressivas marcas de cachaça de sua época com jargões memoráveis como: “Ai tatu, tatuzinho, me abre a garrafa e me dá um pouquinho”.
Já teve grande penetração em todo o território nacional nas décadas de 50 e 60, inicialmente com a garrafa âmbar de 600ml e em seguida com a embalagem de 965ml, que perduram até os dias de hoje, com teor alcoólico de 39% vol.",39% vol,Ideal para ser consumida pura.,9/8/2021 - 14:55:13,https://tatuzinho.com.br/produtos/detalhes/id/9
9,61116c01bfc946f5fcfa4ca4,CACHAÇA 3 FAZENDAS,"Adquirida na década de 60, teve seu consumo intensificado especificamente na região sul do país e no interior do estado de São Paulo por ser mais associada ao “country-style” que, no Brasil, está relacionado aos fazendeiros, criadores de gado, peões boiadeiros e suas comemorações folclóricas.
Apresentações em garrafa âmbar de 600ml e embalagem de 965ml, com teor alcoólico 39% vol.",39% vol,,9/8/2021 - 14:55:13,https://tatuzinho.com.br/produtos/detalhes/id/10
