,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento,Particao,Identificacao_Treino_Teste
0,NOME,O,1,0,4,1,8,teste
1,DA,O,1,5,7,1,8,teste
2,CACHAÇA,O,1,8,15,1,8,teste
3,:,O,1,15,16,1,8,teste
4,Cachaça,O,1,17,24,1,8,teste
5,Três,B-NOME_BEBIDA,1,25,29,1,8,teste
6,Coronéis,I-NOME_BEBIDA,1,30,38,1,8,teste
7,PREÇO,O,2,0,5,1,8,teste
8,:,O,2,5,6,1,8,teste
9,R$,B-PRECO,2,7,9,1,8,teste
10,35,I-PRECO,2,10,12,1,8,teste
11,",",I-PRECO,2,12,13,1,8,teste
12,0,I-PRECO,2,13,15,1,8,teste
13,DESCRIÇÃO,O,3,0,9,1,8,teste
14,DA,O,3,10,12,1,8,teste
15,CACHAÇA,O,3,13,20,1,8,teste
16,:,O,3,20,21,1,8,teste
17,Cachaça,O,3,22,29,1,8,teste
18,Três,B-NOME_BEBIDA,3,30,34,1,8,teste
19,Coronéis,I-NOME_BEBIDA,3,35,43,1,8,teste
20,700ml,B-VOLUME,3,44,49,1,8,teste
21,Volume,O,4,0,6,1,8,teste
22,:,O,4,6,7,1,8,teste
23,750ml,B-VOLUME,4,8,13,1,8,teste
24,Graduação,O,5,0,9,1,8,teste
25,Alcoólica,O,5,10,19,1,8,teste
26,:,O,5,19,20,1,8,teste
27,39,B-GRADUACAO_ALCOOLICA,5,21,23,1,8,teste
28,",",I-GRADUACAO_ALCOOLICA,5,23,24,1,8,teste
29,2%,I-GRADUACAO_ALCOOLICA,5,24,26,1,8,teste
30,RECIPIENTE,O,6,0,10,1,8,teste
31,DE,O,6,11,13,1,8,teste
32,ARMAZENAMENTO,O,6,14,27,1,8,teste
33,:,O,6,27,28,1,8,teste
34,Tipo,O,6,29,33,1,8,teste
35,Barril,O,6,34,40,1,8,teste
36,:,O,6,40,41,1,8,teste
37,Carvalho,B-TIPO_MADEIRA,6,42,50,1,8,teste
38,Tipo,O,7,0,4,1,8,teste
39,:,O,7,4,5,1,8,teste
40,Envelhecida,O,7,6,17,1,8,teste
41,Produtor,O,8,0,8,1,8,teste
42,:,O,8,8,9,1,8,teste
43,Glauri,B-NOME_ORGANIZACAO,8,10,16,1,8,teste
44,Ind,I-NOME_ORGANIZACAO,8,17,20,1,8,teste
45,Com,I-NOME_ORGANIZACAO,8,21,24,1,8,teste
46,.,I-NOME_ORGANIZACAO,8,24,25,1,8,teste
47,Ltda,I-NOME_ORGANIZACAO,8,26,30,1,8,teste
48,Local,O,9,0,5,1,8,teste
49,de,O,9,6,8,1,8,teste
50,Produção,O,9,9,17,1,8,teste
51,:,O,9,17,18,1,8,teste
52,Boituva,B-NOME_LOCAL,9,19,26,1,8,teste
53,/,O,9,27,28,1,8,teste
54,São,B-NOME_LOCAL,9,29,32,1,8,teste
55,Paulo,I-NOME_LOCAL,9,33,38,1,8,teste
56,NOME,O,40,0,4,4,8,teste
57,DA,O,40,5,7,4,8,teste
58,CACHAÇA,O,40,8,15,4,8,teste
59,:,O,40,15,16,4,8,teste
60,Cachaça,O,40,17,24,4,8,teste
61,colombina,B-NOME_BEBIDA,40,25,34,4,8,teste
62,3,B-TEMPO_ARMAZENAMENTO,40,35,36,4,8,teste
63,anos,I-TEMPO_ARMAZENAMENTO,40,37,41,4,8,teste
64,PREÇO,O,41,0,5,4,8,teste
65,:,O,41,5,6,4,8,teste
66,R$,B-PRECO,41,7,9,4,8,teste
67,52,I-PRECO,41,10,12,4,8,teste
68,",",I-PRECO,41,12,13,4,8,teste
69,0,I-PRECO,41,13,15,4,8,teste
70,DESCRIÇÃO,O,42,0,9,4,8,teste
71,DA,O,42,10,12,4,8,teste
72,CACHAÇA,O,42,13,20,4,8,teste
73,:,O,42,20,21,4,8,teste
74,Envelhecida,O,42,22,33,4,8,teste
75,em,O,42,34,36,4,8,teste
76,seculares,B-RECIPIENTE_ARMAZENAMENTO,42,37,46,4,8,teste
77,paróis,I-RECIPIENTE_ARMAZENAMENTO,42,47,53,4,8,teste
78,de,O,42,54,56,4,8,teste
79,Jatobá,B-TIPO_MADEIRA,42,57,63,4,8,teste
80,",",O,42,63,64,4,8,teste
81,conserva,O,42,65,73,4,8,teste
82,o,O,42,74,75,4,8,teste
83,puro,O,42,76,80,4,8,teste
84,sabor,O,42,81,86,4,8,teste
85,da,O,42,87,89,4,8,teste
86,cana,B-CARACTERISTICA_SENSORIAL_SABOR,42,90,94,4,8,teste
87,e,O,42,95,96,4,8,teste
88,uma,O,42,97,100,4,8,teste
89,sutil,O,42,101,106,4,8,teste
90,coloração,O,42,107,116,4,8,teste
91,da,O,42,117,119,4,8,teste
92,madeira,B-CARACTERISTICA_SENSORIAL_COR,42,120,127,4,8,teste
93,.,O,42,127,128,4,8,teste
94,Premiações,O,43,0,10,4,8,teste
95,:,O,43,11,12,4,8,teste
96,1º,O,43,13,15,4,8,teste
97,Lugar,O,43,16,21,4,8,teste
98,na,O,43,22,24,4,8,teste
99,Exposição,O,43,25,34,4,8,teste
100,do,O,43,35,37,4,8,teste
101,Centenário,O,43,38,48,4,8,teste
102,",",O,43,48,49,4,8,teste
103,semana,O,43,49,55,4,8,teste
104,da,O,43,56,58,4,8,teste
105,arte,O,43,59,63,4,8,teste
106,moderna,O,43,64,71,4,8,teste
107,/,O,43,71,72,4,8,teste
108,1922,B-TEMPO,43,72,76,4,8,teste
109,1º,O,43,77,79,4,8,teste
110,Lugar,O,43,80,85,4,8,teste
111,no,O,43,86,88,4,8,teste
112,concurso,O,43,89,97,4,8,teste
113,de,O,43,98,100,4,8,teste
114,cachaça,O,43,101,108,4,8,teste
115,de,O,43,109,111,4,8,teste
116,qualidade,O,43,112,121,4,8,teste
117,Hotel,B-NOME_ORGANIZACAO,43,122,127,4,8,teste
118,Sofitel,I-NOME_ORGANIZACAO,43,128,135,4,8,teste
119,Rio,B-NOME_LOCAL,43,136,139,4,8,teste
120,de,I-NOME_LOCAL,43,140,142,4,8,teste
121,Janeiro,I-NOME_LOCAL,43,143,150,4,8,teste
122,/,O,43,150,151,4,8,teste
123,2005,B-TEMPO,43,151,155,4,8,teste
124,E,O,43,156,157,4,8,teste
125,destaque,O,43,158,166,4,8,teste
126,entre,O,43,167,172,4,8,teste
127,as,O,43,173,175,4,8,teste
128,10,O,43,176,178,4,8,teste
129,melhores,O,43,179,187,4,8,teste
130,cachaças,O,43,188,196,4,8,teste
131,envelhecida,O,43,197,208,4,8,teste
132,na,O,43,209,211,4,8,teste
133,Expocachaça,O,43,212,223,4,8,teste
134,São,B-NOME_LOCAL,43,224,227,4,8,teste
