,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,VOLUME,GRADUAÇÃO_ALCOÓLICA,RECIPIENTE_DE_ARMAZENAMENTO,TIPO,PRODUTOR,LOCAL_DE_PRODUÇÃO,TEMPO_DE_ARMAZENAMENTO,ANÁLISE_SENSORIAL,HISTÓRIA_DO_ALAMBIQUE,TIPO_DO_PRODUTO,HARMONIZAÇÃO,PREMIOS,ANÁLISE_DO_CACHACIER,INFORMAÇÕES_DO_PRODUTO,MODO_DE_PRODUÇÃO,PALAVRAS_COMUMENTE_USADAS,INGREDIENTES,INFORMAÇÕES_TÉCNICAS,TEXTO_DESCRITIVO,CONSUMO
0,NOME DA CACHAÇA: Cachaça Três Coronéis,"PREÇO: R$ 35,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Três Coronéis 700ml'],Volume: 750ml ,"Graduação Alcoólica: 39,2% ",RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Carvalho ,Tipo: Envelhecida ,Produtor: Glauri Ind Com. Ltda ,Local de Produção: Boituva / São Paulo ,,,,,,,,,,,,,,
1,NOME DA CACHAÇA: Cachaça Princesa Isabel Jaqueira Ouro,"PREÇO: R$ 85,00","['DESCRIÇÃO DA CACHAÇA: Na beira do Rio Doce cultivamos cacau na forma mais tradicional e sustentável.', 'Lá, um certo dia no ano de 2015, uma frondosa jaqueira secular tombou durante um temporal, foi quando nosso patriarca teve essa grande ideia.', 'Recolheu o tronco caído e levou para que nosso tanoeiro fizesse barris com a madeira.', 'De volta à fazenda Tupã eles foram enchidos de cachaça Princesa Isabel e o resultado foi essa surpreendente e singular bebida.', 'Uma bela cachaça, com coloração amarelho esverdeado, límpida, brilhante a muito encorpada.', 'No olfato percebemos pouco álcool, destacando aromas adocicados e frutados.', 'Do mesmo modo, apresenta baixa acidez e o sabor é suave, adocicado e levemente picante que lembra um pouco o gengibre.', 'O retrogosto é agradável e inusitado de uma madeira que poucos estão acostumados a utilizar.', 'Mais uma excelente cachaça da Princesa Isabel que todo apreciador deveria experimentar.De coloração amarela intensa, esta cachaça se apresenta límpida, brilhante e com ótimo corpo.', 'No olfato destaca-se cravo, canela, baunilha e um final de chocolate.', 'Na boca encontramos baunilha, coco, mel e rapadura em perfeita harmonia com seu corpo alcoólico mais acentuado.', 'Mais uma Cachaça de qualidade produzida pela Princesa Isabel sob os cuidados do Mestre Leandro Marelli, um mago dos destilados.>']",Volume: 500ml ,Graduação Alcoólica: 40% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Jaqueira ,Tipo: Armazenada ,Produtor: Princesa Isabel ,Local de Produção: Linhares / Espírito Santo ,,,,,,,,,,,,,,
2,NOME DA CACHAÇA: Cachaça Colombina Chita,"PREÇO: R$ 100,00",['DESCRIÇÃO DA CACHAÇA: Colombina Chita 700ml'],Volume: 700ml ,Graduação Alcoólica: 40% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Jatobá ,Tipo: Envelhecida ,Produtor: RXM Agropecuária ,Local de Produção: Alvinopolis / MG ,,,,,,,,,,,,,,
3,NOME DA CACHAÇA: Cachaça colombina 3 anos,"PREÇO: R$ 52,00","['DESCRIÇÃO DA CACHAÇA: Envelhecida em seculares paróis de Jatobá, conserva o puro sabor da cana e uma sutil coloração da madeira.', 'Premiações : 1º Lugar na Exposição do Centenário,semana da arte moderna/1922 1º Lugar no concurso de cachaça de qualidade Hotel Sofitel Rio de Janeiro/2005 E destaque entre as 10 melhores cachaças envelhecida na Expocachaça São Paulo(Mercado Municipal) 2011.']",Volume: 700ml ,"Graduação Alcoólica: 41,5% ",RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Paróis de Jatobá ,Tipo: Armazenada ,Produtor: RXM Agropecuaria ,Local de Produção: Alvinopolis / MG ,,,,,,,,,,,,,,
4,NOME DA CACHAÇA: Cachaça Colombina 10 anos,"PREÇO: R$ 272,00","['DESCRIÇÃO DA CACHAÇA: Cachaça Colombina 10 anos 700ml A colombina teve sua qualidade aferida como a melhor cachaça envelhecida.', 'Série Especial 10 Anos.', 'Envelhecida em seculares paróis de Jatobá, conserva o puro sabor da cana e uma sutil coloração da madeira.', 'Premiações : 1º Lugar no concurso de cachaça de qualidade Hotel Sofitel Rio de Janeiro/2005']",Volume: 700ml ,Graduação Alcoólica: 45% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: 10 anos Jatobá ,Tipo: Armazenada ,Produtor: RXM Agropecuaria ,Local de Produção: Alvinopolis / MG ,,,,,,,,,,,,,,
5,NOME DA CACHAÇA: Cachaça Babuxca Tangerina com Pimenta,"PREÇO: R$ 52,00","['DESCRIÇÃO DA CACHAÇA: Aperitivo Babuxca Mel Tangerina e Pimenta.', 'A Babuxca de Tangerina é diferente de tudo o que você já provou!', 'Agrada a todas a tribos.', 'Possui até um cheio especial vindo do óleo da casca da tangerina.', 'Conta com a pimenta doce de moça na composição, o que adiciona um toque leve e delicado mas não picante.', 'Para completar a composição, conta com uma cachaça com um rígido controle de qualidade.', 'O mel é TOTALMENTE orgânico e de alta qualidade.', 'Produto 100% natural e sem nenhum conservante ORIGEM DO NOME Babu é o apelido do criador da nossa fórmula.', 'Assim, resolvemos dar o mesmo nome para o nosso mascote (esse macaquinho simpático) e homenageá-lo com o nome da marca de uma forma divertida: Babuxca.']",Volume: 700ml ,"Graduação Alcoólica: 18,5% ",RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Não Há ,Tipo: Bebida Mista ,Produtor: BABUXCA ,Local de Produção: Sorocaba / São Paulo ,,,,,,,,,,,,,,
6,NOME DA CACHAÇA: Cachaça Babuxca Frutas Vermelhas,"PREÇO: R$ 52,00","['DESCRIÇÃO DA CACHAÇA: Este sabor é o xodó daqueles que flertam com algo mais doce.', 'Apesar disso, seu gosto final passa uma sensação distinta do comum, uma vez que todos os ingredientes são naturais e sem conservantes.', 'Por conta disso, essa é a Babuxca que mais muda de cor ao longo do tempo, suavemente alterando entre tons de vermelho, da cor do morango para a amora.', 'Mas não se preocupe, esse é um processo natural de alimentos sem corante.', 'Babuxca é uma bebida alcoólica mista feita com ingredientes 100% naturais.', 'ORIGEM DO NOME Babu é o apelido do criador da nossa fórmula.', 'Assim, resolvemos dar o mesmo nome para o nosso mascote (esse macaquinho simpático) e homenageá-lo com o nome da marca de uma forma divertida: Babuxca.']",Volume: 700ml ,"Graduação Alcoólica: 18,5% ",RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Não Há ,Tipo: Bebida mista ,Produtor: BABUXCA ,Local de Produção: Sorocaba / SP ,,,,,,,,,,,,,,
7,NOME DA CACHAÇA: CACHAÇA SERRA MORENA OURO,"PREÇO: R$ 56,00",['DESCRIÇÃO DA CACHAÇA: Serra Morena Ouro 670ml'],Volume: 670ml ,Graduação Alcoólica: 40% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Carvalho e Jequitibá ,Tipo: Ouro ,Produtor: Serra Morena ,Local de Produção: Belo Vale / Minas Gerais ,,,,,,,,,,,,,,
8,NOME DA CACHAÇA: Cachaça da Tulha Prata,"PREÇO: R$ 52,00",['DESCRIÇÃO DA CACHAÇA: Cachaça da Tulha Prata 750ml'],Volume: 750ml ,Graduação Alcoólica: 40% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: Armazenado em Jequitibá ,Tipo: Prata ,Produtor: Tulha ,Local de Produção: Mococa / São Paulo ,,,,,,,,,,,,,,
9,NOME DA CACHAÇA: CACHAÇA GOGÓ DA EMA SUBLIME ,"PREÇO: R$ 230,00",['DESCRIÇÃO DA CACHAÇA: CACHAÇA GOGÓ DA EMA SUBLIME ENVELHECIDA 10 ANOS NO BÁLSAMO E JEQUITIBÁ'],Volume: 750ml ,Graduação Alcoólica: 40% ,RECIPIENTE DE ARMAZENAMENTO: Tipo Barril: 10 anos Bálsamo e Jequitibá ,Tipo: Envelhecida ,Produtor: Gogó da Ema ,Local de Produção: São Sebastião / Alagoas ,,,,,,,,,,,,,,
