,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento
0,NOME,O,1,0,4,1
1,DA,O,1,5,7,1
2,CACHAÇA,O,1,8,15,1
3,:,O,1,15,16,1
4,Cachaça,O,1,17,24,1
5,Três,B-NOME_BEBIDA,1,25,29,1
6,Coronéis,I-NOME_BEBIDA,1,30,38,1
7,PREÇO,O,2,0,5,1
8,:,O,2,5,6,1
9,R$,B-PRECO,2,7,9,1
10,35,I-PRECO,2,10,12,1
11,",",I-PRECO,2,12,13,1
12,0,I-PRECO,2,13,15,1
13,DESCRIÇÃO,O,3,0,9,1
14,DA,O,3,10,12,1
15,CACHAÇA,O,3,13,20,1
16,:,O,3,20,21,1
17,Cachaça,O,3,22,29,1
18,Três,B-NOME_BEBIDA,3,30,34,1
19,Coronéis,I-NOME_BEBIDA,3,35,43,1
20,700ml,B-VOLUME,3,44,49,1
21,Volume,O,4,0,6,1
22,:,O,4,6,7,1
23,750ml,B-VOLUME,4,8,13,1
24,Graduação,O,5,0,9,1
25,Alcoólica,O,5,10,19,1
26,:,O,5,19,20,1
27,39,B-GRADUACAO_ALCOOLICA,5,21,23,1
28,",",I-GRADUACAO_ALCOOLICA,5,23,24,1
29,2%,I-GRADUACAO_ALCOOLICA,5,24,26,1
30,RECIPIENTE,O,6,0,10,1
31,DE,O,6,11,13,1
32,ARMAZENAMENTO,O,6,14,27,1
33,:,O,6,27,28,1
34,Tipo,O,6,29,33,1
35,Barril,O,6,34,40,1
36,:,O,6,40,41,1
37,Carvalho,B-TIPO_MADEIRA,6,42,50,1
38,Tipo,O,7,0,4,1
39,:,O,7,4,5,1
40,Envelhecida,O,7,6,17,1
41,Produtor,O,8,0,8,1
42,:,O,8,8,9,1
43,Glauri,B-NOME_ORGANIZACAO,8,10,16,1
44,Ind,I-NOME_ORGANIZACAO,8,17,20,1
45,Com,I-NOME_ORGANIZACAO,8,21,24,1
46,.,I-NOME_ORGANIZACAO,8,24,25,1
47,Ltda,I-NOME_ORGANIZACAO,8,26,30,1
48,Local,O,9,0,5,1
49,de,O,9,6,8,1
50,Produção,O,9,9,17,1
51,:,O,9,17,18,1
52,Boituva,B-NOME_LOCAL,9,19,26,1
53,/,O,9,27,28,1
54,São,B-NOME_LOCAL,9,29,32,1
55,Paulo,I-NOME_LOCAL,9,33,38,1
56,NOME,O,43,0,4,4
57,DA,O,43,5,7,4
58,CACHAÇA,O,43,8,15,4
59,:,O,43,15,16,4
60,Cachaça,O,43,17,24,4
61,colombina,B-NOME_BEBIDA,43,25,34,4
62,3,B-TEMPO_ARMAZENAMENTO,43,35,36,4
63,anos,I-TEMPO_ARMAZENAMENTO,43,37,41,4
64,PREÇO,O,44,0,5,4
65,:,O,44,5,6,4
66,R$,B-PRECO,44,7,9,4
67,52,I-PRECO,44,10,12,4
68,",",I-PRECO,44,12,13,4
69,0,I-PRECO,44,13,15,4
70,DESCRIÇÃO,O,45,0,9,4
71,DA,O,45,10,12,4
72,CACHAÇA,O,45,13,20,4
73,:,O,45,20,21,4
74,Envelhecida,O,45,22,33,4
75,em,O,45,34,36,4
76,seculares,B-RECIPIENTE_ARMAZENAMENTO,45,37,46,4
77,paróis,I-RECIPIENTE_ARMAZENAMENTO,45,47,53,4
78,de,O,45,54,56,4
79,Jatobá,B-TIPO_MADEIRA,45,57,63,4
80,",",O,45,63,64,4
81,conserva,O,45,65,73,4
82,o,O,45,74,75,4
83,puro,O,45,76,80,4
84,sabor,O,45,81,86,4
85,da,O,45,87,89,4
86,cana,B-CARACTERISTICA_SENSORIAL_SABOR,45,90,94,4
87,e,O,45,95,96,4
88,uma,O,45,97,100,4
89,sutil,O,45,101,106,4
90,coloração,O,45,107,116,4
91,da,O,45,117,119,4
92,madeira,B-CARACTERISTICA_SENSORIAL_COR,45,120,127,4
93,.,O,45,127,128,4
94,Premiações,O,46,0,10,4
95,:,O,46,11,12,4
96,1º,O,46,13,15,4
97,Lugar,O,46,16,21,4
98,na,O,46,22,24,4
99,Exposição,O,46,25,34,4
100,do,O,46,35,37,4
101,Centenário,O,46,38,48,4
102,",",O,46,48,49,4
103,semana,O,46,49,55,4
104,da,O,46,56,58,4
105,arte,O,46,59,63,4
106,moderna,O,46,64,71,4
107,/,O,46,71,72,4
108,1922,B-TEMPO,46,72,76,4
109,1º,O,46,77,79,4
110,Lugar,O,46,80,85,4
111,no,O,46,86,88,4
112,concurso,O,46,89,97,4
113,de,O,46,98,100,4
114,cachaça,O,46,101,108,4
115,de,O,46,109,111,4
116,qualidade,O,46,112,121,4
117,Hotel,B-NOME_ORGANIZACAO,46,122,127,4
118,Sofitel,I-NOME_ORGANIZACAO,46,128,135,4
119,Rio,B-NOME_LOCAL,46,136,139,4
120,de,I-NOME_LOCAL,46,140,142,4
121,Janeiro,I-NOME_LOCAL,46,143,150,4
122,/,O,46,150,151,4
123,2005,B-TEMPO,46,151,155,4
124,E,O,46,156,157,4
