,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento
0,NOME,O,85,0,4,7
1,DA,O,85,5,7,7
2,CACHAÇA,O,85,8,15,7
3,:,O,85,15,16,7
4,Cachaça,O,85,17,24,7
5,Babuxca,B-NOME_BEBIDA,85,25,32,7
6,Frutas,I-NOME_BEBIDA,85,33,39,7
7,Vermelhas,I-NOME_BEBIDA,85,40,49,7
8,PREÇO,O,86,0,5,7
9,:,O,86,5,6,7
10,R$,B-PRECO,86,7,9,7
11,52,I-PRECO,86,10,12,7
12,",",I-PRECO,86,12,13,7
13,0,I-PRECO,86,13,15,7
14,DESCRIÇÃO,O,87,0,9,7
15,DA,O,87,10,12,7
16,CACHAÇA,O,87,13,20,7
17,:,O,87,20,21,7
18,Este,O,87,22,26,7
19,sabor,O,87,27,32,7
20,é,O,87,33,34,7
21,o,O,87,35,36,7
22,xodó,O,87,37,41,7
23,daqueles,O,87,42,50,7
24,que,O,87,51,54,7
25,flertam,O,87,55,62,7
26,com,O,87,63,66,7
27,algo,O,87,67,71,7
28,mais,O,87,72,76,7
29,doce,B-CARACTERISTICA_SENSORIAL_SABOR,87,77,81,7
30,.,O,87,81,82,7
31,Apesar,O,88,0,6,7
32,disso,O,88,7,12,7
33,",",O,88,12,13,7
34,seu,O,88,14,17,7
35,gosto,O,88,18,23,7
36,final,O,88,24,29,7
37,passa,O,88,30,35,7
38,uma,O,88,36,39,7
39,sensação,O,88,40,48,7
40,distinta,O,88,49,57,7
41,do,O,88,58,60,7
42,comum,O,88,61,66,7
43,",",O,88,66,67,7
44,uma,O,88,68,71,7
45,vez,O,88,72,75,7
46,que,O,88,76,79,7
47,todos,O,88,80,85,7
48,os,O,88,86,88,7
49,ingredientes,O,88,89,101,7
50,são,O,88,102,105,7
51,naturais,O,88,106,114,7
52,e,O,88,115,116,7
53,sem,O,88,117,120,7
54,conservantes,O,88,121,133,7
55,.,O,88,133,134,7
56,Por,O,89,0,3,7
57,conta,O,89,4,9,7
58,disso,O,89,10,15,7
59,",",O,89,15,16,7
60,essa,O,89,17,21,7
61,é,O,89,22,23,7
62,a,O,89,24,25,7
63,Babuxca,B-NOME_BEBIDA,89,26,33,7
64,que,O,89,34,37,7
65,mais,O,89,38,42,7
66,muda,O,89,43,47,7
67,de,O,89,48,50,7
68,cor,O,89,51,54,7
69,ao,O,89,55,57,7
70,longo,O,89,58,63,7
71,do,O,89,64,66,7
72,tempo,O,89,67,72,7
73,",",O,89,72,73,7
74,suavemente,O,89,74,84,7
75,alterando,O,89,85,94,7
76,entre,O,89,95,100,7
77,tons,O,89,101,105,7
78,de,O,89,106,108,7
79,vermelho,O,89,109,117,7
80,",",O,89,117,118,7
81,da,O,89,119,121,7
82,cor,O,89,122,125,7
83,do,O,89,126,128,7
84,morango,B-CARACTERISTICA_SENSORIAL_COR,89,129,136,7
85,para,O,89,137,141,7
86,a,O,89,142,143,7
87,amora,B-CARACTERISTICA_SENSORIAL_COR,89,144,149,7
88,.,O,89,149,150,7
89,Mas,O,90,0,3,7
90,não,O,90,4,7,7
91,se,O,90,8,10,7
92,preocupe,O,90,11,19,7
93,",",O,90,19,20,7
94,esse,O,90,21,25,7
95,é,O,90,26,27,7
96,um,O,90,28,30,7
97,processo,O,90,31,39,7
98,natural,O,90,40,47,7
99,de,O,90,48,50,7
100,alimentos,O,90,51,60,7
101,sem,O,90,61,64,7
102,corante,O,90,65,72,7
103,.,O,90,72,73,7
104,Babuxca,B-NOME_BEBIDA,91,0,7,7
105,é,O,91,8,9,7
106,uma,O,91,10,13,7
107,bebida,O,91,14,20,7
108,alcoólica,O,91,21,30,7
109,mista,O,91,31,36,7
110,feita,O,91,37,42,7
111,com,O,91,43,46,7
112,ingredientes,O,91,47,59,7
113,100%,O,91,60,64,7
114,naturais,O,91,65,73,7
115,.,O,91,73,74,7
116,ORIGEM,O,92,0,6,7
117,DO,O,92,7,9,7
118,NOME,O,92,10,14,7
119,Babu,O,92,15,19,7
120,é,O,92,20,21,7
121,o,O,92,22,23,7
122,apelido,O,92,24,31,7
123,do,O,92,32,34,7
124,criador,O,92,35,42,7
125,da,O,92,43,45,7
126,nossa,O,92,46,51,7
127,fórmula,O,92,52,59,7
128,.,O,92,59,60,7
129,Assim,O,93,0,5,7
130,",",O,93,5,6,7
131,resolvemos,O,93,7,17,7
132,dar,O,93,18,21,7
133,o,O,93,22,23,7
134,mesmo,O,93,24,29,7
135,nome,O,93,30,34,7
136,para,O,93,35,39,7
137,o,O,93,40,41,7
138,nosso,O,93,42,47,7
139,mascote,O,93,48,55,7
140,(,O,93,56,57,7
141,esse,O,93,57,61,7
142,macaquinho,O,93,62,72,7
143,simpático,O,93,73,82,7
144,),O,93,82,83,7
145,e,O,93,84,85,7
146,homenageá,O,93,86,95,7
147,-,O,93,95,96,7
148,lo,O,93,96,98,7
149,com,O,93,99,102,7
150,o,O,93,103,104,7
151,nome,O,93,105,109,7
152,da,O,93,110,112,7
153,marca,O,93,113,118,7
154,de,O,93,119,121,7
155,uma,O,93,122,125,7
156,forma,O,93,126,131,7
157,divertida,O,93,132,141,7
158,:,O,93,141,142,7
159,Babuxca,B-NOME_ORGANIZACAO,93,143,150,7
160,.,O,93,150,151,7
161,Volume,O,94,0,6,7
162,:,O,94,6,7,7
163,700ml,B-VOLUME,94,8,13,7
164,Graduação,O,95,0,9,7
165,Alcoólica,O,95,10,19,7
166,:,O,95,19,20,7
167,18,B-GRADUACAO_ALCOOLICA,95,21,23,7
168,",",I-GRADUACAO_ALCOOLICA,95,23,24,7
169,5%,I-GRADUACAO_ALCOOLICA,95,24,26,7
170,RECIPIENTE,O,96,0,10,7
171,DE,O,96,11,13,7
172,ARMAZENAMENTO,O,96,14,27,7
173,:,O,96,27,28,7
174,Tipo,O,96,29,33,7
175,Barril,O,96,34,40,7
176,:,O,96,40,41,7
177,Não,O,96,42,45,7
178,Há,O,96,46,48,7
179,Tipo,O,97,0,4,7
180,:,O,97,4,5,7
181,Bebida,O,97,6,12,7
182,mista,O,97,13,18,7
183,Produtor,O,98,0,8,7
184,:,O,98,8,9,7
185,BABUXCA,B-NOME_ORGANIZACAO,98,10,17,7
186,Local,O,99,0,5,7
187,de,O,99,6,8,7
188,Produção,O,99,9,17,7
189,:,O,99,17,18,7
190,Sorocaba,B-NOME_LOCAL,99,19,27,7
191,/,O,99,28,29,7
192,SP,B-NOME_LOCAL,99,30,32,7
193,NOME,O,101,0,4,8
194,DA,O,101,5,7,8
195,CACHAÇA,O,101,8,15,8
196,:,O,101,15,16,8
197,CACHAÇA,O,101,17,24,8
198,SERRA,B-NOME_BEBIDA,101,25,30,8
199,MORENA,I-NOME_BEBIDA,101,31,37,8
200,OURO,B-CLASSIFICACAO_BEBIDA,101,38,42,8
201,PREÇO,O,102,0,5,8
202,:,O,102,5,6,8
203,R$,B-PRECO,102,7,9,8
204,56,I-PRECO,102,10,12,8
205,",",I-PRECO,102,12,13,8
206,0,I-PRECO,102,13,15,8
207,DESCRIÇÃO,O,103,0,9,8
208,DA,O,103,10,12,8
209,CACHAÇA,O,103,13,20,8
210,:,O,103,20,21,8
211,Serra,B-NOME_BEBIDA,103,22,27,8
212,Morena,I-NOME_BEBIDA,103,28,34,8
213,Ouro,B-CLASSIFICACAO_BEBIDA,103,35,39,8
214,670ml,B-VOLUME,103,40,45,8
215,Volume,O,104,0,6,8
216,:,O,104,6,7,8
217,670ml,B-VOLUME,104,8,13,8
218,Graduação,O,105,0,9,8
219,Alcoólica,O,105,10,19,8
220,:,O,105,19,20,8
221,40%,B-GRADUACAO_ALCOOLICA,105,21,24,8
222,RECIPIENTE,O,106,0,10,8
223,DE,O,106,11,13,8
224,ARMAZENAMENTO,O,106,14,27,8
225,:,O,106,27,28,8
226,Tipo,O,106,29,33,8
227,Barril,O,106,34,40,8
228,:,O,106,40,41,8
229,Carvalho,B-TIPO_MADEIRA,106,42,50,8
230,e,O,106,51,52,8
231,Jequitibá,B-TIPO_MADEIRA,106,53,62,8
232,Tipo,O,107,0,4,8
233,:,O,107,4,5,8
234,Ouro,B-CLASSIFICACAO_BEBIDA,107,6,10,8
235,Produtor,O,108,0,8,8
236,:,O,108,8,9,8
237,Serra,B-NOME_ORGANIZACAO,108,10,15,8
238,Morena,I-NOME_ORGANIZACAO,108,16,22,8
239,Local,O,109,0,5,8
240,de,O,109,6,8,8
241,Produção,O,109,9,17,8
242,:,O,109,17,18,8
243,Belo,B-NOME_LOCAL,109,19,23,8
244,Vale,I-NOME_LOCAL,109,24,28,8
245,/,O,109,29,30,8
246,Minas,B-NOME_LOCAL,109,31,36,8
247,Gerais,I-NOME_LOCAL,109,37,43,8
248,NOME,O,131,0,4,11
249,DA,O,131,5,7,11
250,CACHAÇA,O,131,8,15,11
251,:,O,131,15,16,11
252,Cachaça,O,131,17,24,11
253,Maribondo,B-NOME_BEBIDA,131,25,34,11
254,PREÇO,O,132,0,5,11
255,:,O,132,5,6,11
256,R$,B-PRECO,132,7,9,11
257,45,I-PRECO,132,10,12,11
258,",",I-PRECO,132,12,13,11
259,0,I-PRECO,132,13,15,11
260,DESCRIÇÃO,O,133,0,9,11
261,DA,O,133,10,12,11
262,CACHAÇA,O,133,13,20,11
263,:,O,133,20,21,11
264,A,O,133,22,23,11
265,cachaça,O,133,24,31,11
266,é,O,133,32,33,11
267,produzida,O,133,34,43,11
268,em,O,133,44,46,11
269,Guarabira,B-NOME_LOCAL,133,47,56,11
270,no,O,133,57,59,11
271,estado,O,133,60,66,11
272,da,O,133,67,69,11
273,Paraíba,B-NOME_LOCAL,133,70,77,11
274,desde,O,133,78,83,11
275,1901,B-TEMPO,133,84,88,11
276,",",O,133,88,89,11
277,e,O,133,90,91,11
278,orgulha,O,133,92,99,11
279,-,O,133,99,100,11
280,se,O,133,100,102,11
281,de,O,133,103,105,11
282,aproveitar,O,133,106,116,11
283,apenas,O,133,117,123,11
284,o,O,133,124,125,11
285,coração,O,133,126,133,11
286,da,O,133,134,136,11
287,destilação,O,133,137,147,11
288,na,O,133,148,150,11
289,produção,O,133,151,159,11
290,da,O,133,160,162,11
291,bebida,O,133,163,169,11
292,",",O,133,169,170,11
293,que,O,133,171,174,11
294,posteriormente,O,133,175,189,11
295,repousa,O,133,190,197,11
296,em,O,133,198,200,11
297,tonéis,B-RECIPIENTE_ARMAZENAMENTO,133,201,207,11
298,de,O,133,208,210,11
299,freijó,B-TIPO_MADEIRA,133,211,217,11
300,para,O,133,218,222,11
301,apurar,O,133,223,229,11
302,o,O,133,230,231,11
303,sabor,O,133,232,237,11
304,.,O,133,237,238,11
305,Volume,O,134,0,6,11
306,:,O,134,6,7,11
307,890ml,B-VOLUME,134,8,13,11
308,Graduação,O,135,0,9,11
309,Alcoólica,O,135,10,19,11
310,:,O,135,19,20,11
311,40,B-GRADUACAO_ALCOOLICA,135,21,23,11
312,%,I-GRADUACAO_ALCOOLICA,135,24,25,11
313,GL,O,135,26,28,11
314,RECIPIENTE,O,136,0,10,11
315,DE,O,136,11,13,11
316,ARMAZENAMENTO,O,136,14,27,11
317,:,O,136,27,28,11
318,Tipo,O,136,29,33,11
319,Barril,O,136,34,40,11
320,:,O,136,40,41,11
321,Freijó,B-TIPO_MADEIRA,136,42,48,11
322,Tipo,O,137,0,4,11
323,:,O,137,4,5,11
324,Armazenada,O,137,6,16,11
325,Produtor,O,138,0,8,11
326,:,O,138,8,9,11
327,Engenho,B-NOME_ORGANIZACAO,138,10,17,11
328,Palmeira,I-NOME_ORGANIZACAO,138,18,26,11
329,Local,O,139,0,5,11
330,de,O,139,6,8,11
331,Produção,O,139,9,17,11
332,:,O,139,17,18,11
333,Guarabira,B-NOME_LOCAL,139,19,28,11
334,/,O,139,29,30,11
335,Paraíba,B-NOME_LOCAL,139,31,38,11
336,NOME,O,262,0,4,24
337,DA,O,262,5,7,24
338,CACHAÇA,O,262,8,15,24
339,:,O,262,15,16,24
340,Lançamento,O,262,17,27,24
341,Weber,B-NOME_BEBIDA,262,28,33,24
342,Haus,I-NOME_BEBIDA,262,34,38,24
343,(,O,262,39,40,24
344,7,O,262,41,42,24
345,Madeiras,O,262,43,51,24
346,+,O,262,52,53,24
347,Umas,B-NOME_BEBIDA,262,54,58,24
348,e,I-NOME_BEBIDA,262,59,60,24
349,Outras,I-NOME_BEBIDA,262,61,67,24
350,+,O,262,68,69,24
351,Leandro,B-NOME_PESSOA,262,70,77,24
352,Batista,I-NOME_PESSOA,262,78,85,24
353,),O,262,86,87,24
354,PREÇO,O,263,0,5,24
355,:,O,263,5,6,24
356,R$,B-PRECO,263,7,9,24
357,220,I-PRECO,263,10,13,24
358,",",I-PRECO,263,13,14,24
359,0,I-PRECO,263,14,16,24
360,DESCRIÇÃO,O,264,0,9,24
361,DA,O,264,10,12,24
362,CACHAÇA,O,264,13,20,24
363,:,O,264,20,21,24
364,Lançamento,O,264,22,32,24
365,Weber,B-NOME_BEBIDA,264,33,38,24
366,Haus,I-NOME_BEBIDA,264,39,43,24
367,(,O,264,44,45,24
368,7,O,264,46,47,24
369,Madeiras,O,264,48,56,24
370,+,O,264,57,58,24
371,Umas,B-NOME_BEBIDA,264,59,63,24
372,e,I-NOME_BEBIDA,264,64,65,24
373,Outras,I-NOME_BEBIDA,264,66,72,24
374,+,O,264,73,74,24
375,Leandro,B-NOME_PESSOA,264,75,82,24
376,Batista,I-NOME_PESSOA,264,83,90,24
377,),O,264,91,92,24
