,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento,Particao
0,NOME,O,50,0,4,5,4
1,DA,O,50,5,7,5,4
2,CACHAÇA,O,50,8,15,5,4
3,:,O,50,15,16,5,4
4,Cachaça,O,50,17,24,5,4
5,Colombina,B-NOME_BEBIDA,50,25,34,5,4
6,10,B-TEMPO_ARMAZENAMENTO,50,35,37,5,4
7,anos,I-TEMPO_ARMAZENAMENTO,50,38,42,5,4
8,PREÇO,O,51,0,5,5,4
9,:,O,51,5,6,5,4
10,R$,B-PRECO,51,7,9,5,4
11,272,I-PRECO,51,10,13,5,4
12,",",I-PRECO,51,13,14,5,4
13,0,I-PRECO,51,14,16,5,4
14,DESCRIÇÃO,O,52,0,9,5,4
15,DA,O,52,10,12,5,4
16,CACHAÇA,O,52,13,20,5,4
17,:,O,52,20,21,5,4
18,Cachaça,O,52,22,29,5,4
19,Colombina,B-NOME_BEBIDA,52,30,39,5,4
20,10,B-TEMPO_ARMAZENAMENTO,52,40,42,5,4
21,anos,I-TEMPO_ARMAZENAMENTO,52,43,47,5,4
22,700ml,B-VOLUME,52,48,53,5,4
23,A,O,52,54,55,5,4
24,colombina,B-NOME_BEBIDA,52,56,65,5,4
25,teve,O,52,66,70,5,4
26,sua,O,52,71,74,5,4
27,qualidade,O,52,75,84,5,4
28,aferida,O,52,85,92,5,4
29,como,O,52,93,97,5,4
30,a,O,52,98,99,5,4
31,melhor,O,52,100,106,5,4
32,cachaça,O,52,107,114,5,4
33,envelhecida,O,52,115,126,5,4
34,.,O,52,126,127,5,4
35,Série,O,53,0,5,5,4
36,Especial,O,53,6,14,5,4
37,10,B-TEMPO_ARMAZENAMENTO,53,15,17,5,4
38,Anos,I-TEMPO_ARMAZENAMENTO,53,18,22,5,4
39,.,O,53,22,23,5,4
40,Envelhecida,O,54,0,11,5,4
41,em,O,54,12,14,5,4
42,seculares,B-RECIPIENTE_ARMAZENAMENTO,54,15,24,5,4
43,paróis,I-RECIPIENTE_ARMAZENAMENTO,54,25,31,5,4
44,de,O,54,32,34,5,4
45,Jatobá,B-TIPO_MADEIRA,54,35,41,5,4
46,",",O,54,41,42,5,4
47,conserva,O,54,43,51,5,4
48,o,O,54,52,53,5,4
49,puro,O,54,54,58,5,4
50,sabor,O,54,59,64,5,4
51,da,O,54,65,67,5,4
52,cana,B-CARACTERISTICA_SENSORIAL_SABOR,54,68,72,5,4
53,e,O,54,73,74,5,4
54,uma,O,54,75,78,5,4
55,sutil,O,54,79,84,5,4
56,coloração,O,54,85,94,5,4
57,da,O,54,95,97,5,4
58,madeira,B-CARACTERISTICA_SENSORIAL_COR,54,98,105,5,4
59,.,O,54,105,106,5,4
60,Premiações,O,55,0,10,5,4
61,:,O,55,11,12,5,4
62,1º,O,55,13,15,5,4
63,Lugar,O,55,16,21,5,4
64,no,O,55,22,24,5,4
65,concurso,O,55,25,33,5,4
66,de,O,55,34,36,5,4
67,cachaça,O,55,37,44,5,4
68,de,O,55,45,47,5,4
69,qualidade,O,55,48,57,5,4
70,Hotel,B-NOME_ORGANIZACAO,55,58,63,5,4
71,Sofitel,I-NOME_ORGANIZACAO,55,64,71,5,4
72,Rio,B-NOME_LOCAL,55,72,75,5,4
73,de,I-NOME_LOCAL,55,76,78,5,4
74,Janeiro,I-NOME_LOCAL,55,79,86,5,4
75,/,O,55,86,87,5,4
76,2005,B-TEMPO,55,87,91,5,4
77,Volume,O,56,0,6,5,4
78,:,O,56,6,7,5,4
79,700ml,B-VOLUME,56,8,13,5,4
80,Graduação,O,57,0,9,5,4
81,Alcoólica,O,57,10,19,5,4
82,:,O,57,19,20,5,4
83,45%,B-GRADUACAO_ALCOOLICA,57,21,24,5,4
84,RECIPIENTE,O,58,0,10,5,4
85,DE,O,58,11,13,5,4
86,ARMAZENAMENTO,O,58,14,27,5,4
87,:,O,58,27,28,5,4
88,Tipo,O,58,29,33,5,4
89,Barril,O,58,34,40,5,4
90,:,O,58,40,41,5,4
91,10,B-TEMPO_ARMAZENAMENTO,58,42,44,5,4
92,anos,I-TEMPO_ARMAZENAMENTO,58,45,49,5,4
93,Jatobá,B-TIPO_MADEIRA,58,50,56,5,4
94,Tipo,O,59,0,4,5,4
95,:,O,59,4,5,5,4
96,Armazenada,O,59,6,16,5,4
97,Produtor,O,60,0,8,5,4
98,:,O,60,8,9,5,4
99,RXM,B-NOME_ORGANIZACAO,60,10,13,5,4
100,Agropecuaria,I-NOME_ORGANIZACAO,60,14,26,5,4
101,Local,O,61,0,5,5,4
102,de,O,61,6,8,5,4
103,Produção,O,61,9,17,5,4
104,:,O,61,17,18,5,4
105,Alvinopolis,B-NOME_LOCAL,61,19,30,5,4
106,/,O,61,31,32,5,4
107,MG,B-NOME_LOCAL,61,33,35,5,4
108,NOME,O,194,0,4,19,4
109,DA,O,194,5,7,19,4
110,CACHAÇA,O,194,8,15,19,4
111,:,O,194,15,16,19,4
112,Cachaça,O,194,17,24,19,4
113,Taverna,B-NOME_BEBIDA,194,25,32,19,4
114,de,I-NOME_BEBIDA,194,33,35,19,4
115,Minas,I-NOME_BEBIDA,194,36,41,19,4
116,Carvalho,B-TIPO_MADEIRA,194,42,50,19,4
117,PREÇO,O,195,0,5,19,4
118,:,O,195,5,6,19,4
119,R$,B-PRECO,195,7,9,19,4
120,60,I-PRECO,195,10,12,19,4
121,",",I-PRECO,195,12,13,19,4
122,0,I-PRECO,195,13,15,19,4
123,DESCRIÇÃO,O,196,0,9,19,4
124,DA,O,196,10,12,19,4
125,CACHAÇA,O,196,13,20,19,4
126,:,O,196,20,21,19,4
127,Cachaça,O,196,22,29,19,4
128,Taverna,B-NOME_BEBIDA,196,30,37,19,4
129,de,I-NOME_BEBIDA,196,38,40,19,4
130,Minas,I-NOME_BEBIDA,196,41,46,19,4
131,Carvalho,B-TIPO_MADEIRA,196,47,55,19,4
132,750ml,B-VOLUME,196,56,61,19,4
133,Volume,O,197,0,6,19,4
134,:,O,197,6,7,19,4
135,750ml,B-VOLUME,197,8,13,19,4
136,Graduação,O,198,0,9,19,4
137,Alcoólica,O,198,10,19,19,4
138,:,O,198,19,20,19,4
139,39%,B-GRADUACAO_ALCOOLICA,198,21,24,19,4
140,RECIPIENTE,O,199,0,10,19,4
141,DE,O,199,11,13,19,4
142,ARMAZENAMENTO,O,199,14,27,19,4
143,:,O,199,27,28,19,4
144,Tipo,O,199,29,33,19,4
145,Barril,O,199,34,40,19,4
146,:,O,199,40,41,19,4
147,1,B-TEMPO_ARMAZENAMENTO,199,42,43,19,4
148,ano,I-TEMPO_ARMAZENAMENTO,199,44,47,19,4
149,no,O,199,48,50,19,4
150,Carvalho,B-TIPO_MADEIRA,199,51,59,19,4
151,Tipo,O,200,0,4,19,4
152,:,O,200,4,5,19,4
153,Envelhecida,O,200,6,17,19,4
154,Produtor,O,201,0,8,19,4
155,:,O,201,8,9,19,4
156,Taverna,B-NOME_ORGANIZACAO,201,10,17,19,4
157,de,I-NOME_ORGANIZACAO,201,18,20,19,4
158,Minas,I-NOME_ORGANIZACAO,201,21,26,19,4
159,Local,O,202,0,5,19,4
160,de,O,202,6,8,19,4
161,Produção,O,202,9,17,19,4
162,:,O,202,17,18,19,4
163,Itaverava,B-NOME_LOCAL,202,19,28,19,4
164,/,O,202,29,30,19,4
165,Minas,B-NOME_LOCAL,202,31,36,19,4
166,Gerais,I-NOME_LOCAL,202,37,43,19,4
167,NOME,O,341,0,4,36,4
168,DA,O,341,5,7,36,4
169,CACHAÇA,O,341,8,15,36,4
170,:,O,341,15,16,36,4
171,Cachaça,O,341,17,24,36,4
172,Taverna,B-NOME_BEBIDA,341,25,32,36,4
173,de,I-NOME_BEBIDA,341,33,35,36,4
174,Minas,I-NOME_BEBIDA,341,36,41,36,4
175,Carvalho,B-TIPO_MADEIRA,341,42,50,36,4
176,Garrafa,O,341,51,58,36,4
177,Especial,O,341,59,67,36,4
178,PREÇO,O,342,0,5,36,4
179,:,O,342,5,6,36,4
180,R$,B-PRECO,342,7,9,36,4
181,110,I-PRECO,342,10,13,36,4
182,",",I-PRECO,342,13,14,36,4
183,0,I-PRECO,342,14,16,36,4
184,DESCRIÇÃO,O,343,0,9,36,4
185,DA,O,343,10,12,36,4
186,CACHAÇA,O,343,13,20,36,4
