,Palavras,Rotulo,Sentenca
0,id,O,1
1,:,O,1
2,0,O,1
3,NOME,O,2
4,DA,O,2
5,CACHAÇA,O,2
6,:,O,2
7,Cachaça,O,2
8,Três,B-NOME_BEBIDA,2
9,Coronéis,I-NOME_BEBIDA,2
10,PREÇO,O,3
11,:,O,3
12,R$,B-PRECO,3
13,35,I-PRECO,3
14,",",I-PRECO,3
15,00,I-PRECO,3
16,DESCRIÇÃO,O,4
17,DA,O,4
18,CACHAÇA,O,4
19,:,O,4
20,Cachaça,O,4
21,Três,B-NOME_BEBIDA,4
22,Coronéis,I-NOME_BEBIDA,4
23,700ml,B-VOLUME,4
24,Volume,O,5
25,:,O,5
26,750ml,B-VOLUME,5
27,Graduação,O,6
28,Alcoólica,O,6
29,:,O,6
30,39,B-GRADUACAO_ALCOOLICA,6
31,",",I-GRADUACAO_ALCOOLICA,6
32,2%,I-GRADUACAO_ALCOOLICA,6
33,RECIPIENTE,O,7
34,DE,O,7
35,ARMAZENAMENTO,O,7
36,:,O,7
37,Tipo,O,7
38,Barril,O,7
39,:,O,7
40,Carvalho,B-RECIPIENTE_ARMAZENAMENTO,7
41,Tipo,O,8
42,:,O,8
43,Envelhecida,O,8
44,Produtor,O,9
45,:,O,9
46,Glauri,B-NOME_ORGANIZACAO,9
47,Ind,I-NOME_ORGANIZACAO,9
48,Com,I-NOME_ORGANIZACAO,9
49,.,I-NOME_ORGANIZACAO,9
50,Ltda,I-NOME_ORGANIZACAO,9
51,Local,O,10
52,de,O,10
53,Produção,O,10
54,:,O,10
55,Boituva,B-NOME_LOCAL,10
56,/,O,10
57,São,B-NOME_LOCAL,10
58,Paulo,I-NOME_LOCAL,10
59,id,O,11
60,:,O,11
61,1,O,11
62,NOME,O,12
63,DA,O,12
64,CACHAÇA,O,12
65,:,O,12
66,Cachaça,O,12
67,Princesa,B-NOME_BEBIDA,12
68,Isabel,I-NOME_BEBIDA,12
69,Jaqueira,I-NOME_BEBIDA,12
70,Ouro,B-CLASSIFICACAO_BEBIDA,12
71,PREÇO,O,13
72,:,O,13
73,R$,B-PRECO,13
74,85,I-PRECO,13
75,",",I-PRECO,13
76,00,I-PRECO,13
77,DESCRIÇÃO,O,14
78,DA,O,14
79,CACHAÇA,O,14
80,:,O,14
81,Na,O,14
82,beira,O,14
83,do,O,14
84,Rio,O,14
85,Doce,O,14
86,cultivamos,O,14
87,cacau,O,14
88,na,O,14
89,forma,O,14
90,mais,O,14
91,tradicional,O,14
92,e,O,14
93,sustentável,O,14
94,.,O,14
95,Lá,O,15
96,",",O,15
97,um,O,15
98,certo,O,15
99,dia,O,15
100,no,O,15
101,ano,O,15
102,de,O,15
103,2015,B-TEMPO,15
104,",",O,15
105,uma,O,15
106,frondosa,O,15
107,jaqueira,O,15
108,secular,O,15
109,tombou,O,15
110,durante,O,15
111,um,O,15
112,temporal,O,15
113,",",O,15
114,foi,O,15
115,quando,O,15
116,nosso,O,15
117,patriarca,O,15
118,teve,O,15
119,essa,O,15
120,grande,O,15
121,ideia,O,15
122,.,O,15
123,Recolheu,O,16
124,o,O,16
125,tronco,O,16
126,caído,O,16
127,e,O,16
128,levou,O,16
129,para,O,16
130,que,O,16
131,nosso,O,16
132,tanoeiro,O,16
133,fizesse,O,16
134,barris,O,16
135,com,O,16
136,a,O,16
137,madeira,O,16
138,.,O,16
139,De,O,17
140,volta,O,17
141,à,O,17
142,fazenda,B-NOME_LOCAL,17
143,Tupã,I-NOME_LOCAL,17
144,eles,O,17
145,foram,O,17
146,enchidos,O,17
147,de,O,17
148,cachaça,O,17
149,Princesa,B-NOME_BEBIDA,17
150,Isabel,I-NOME_BEBIDA,17
151,e,O,17
152,o,O,17
153,resultado,O,17
154,foi,O,17
155,essa,O,17
156,surpreendente,O,17
157,e,O,17
158,singular,O,17
159,bebida,O,17
160,.,O,17
161,Uma,O,18
162,bela,O,18
163,cachaça,O,18
164,",",O,18
165,com,O,18
166,coloração,O,18
167,amarelho,B-CARACTERISTICA_SENSORIAL_COR,18
168,esverdeado,I-CARACTERISTICA_SENSORIAL_COR,18
169,",",O,18
170,límpida,B-CARACTERISTICA_SENSORIAL_COR,18
171,",",O,18
172,brilhante,B-CARACTERISTICA_SENSORIAL_COR,18
173,a,O,18
174,muito,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,18
175,encorpada,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,18
176,.,O,18
177,No,O,19
178,olfato,O,19
